industry,Computers_and_peripheral_equipment,Communication_equipment,Nonelectronic_medical_instruments,Electronic_medical_instruments,Nonmedical_instruments,Photocopy_and_related_equipment,Office_and_accounting_equipment,Nuclear_fuel,Other_fabricated_metal_products,Steam_engines,Internal_combustion_engines,Metalworking_machinery,Special_industrial_machinery,General_industrial_equipment,Electric_transmission_distribution_and_industrial_apparatus,Light_trucks_(including_utility_vehicles),Other_trucks_buses_and_truck_trailers,Autos,Aircraft,Ships_and_boats,Railroad_equipment,Household_furniture,Other_furniture_and_fixtures,Other_agricultural_machinery,Farm_tractors,Other_construction_machinery,Construction_tractors,Mining_and_oilfield_machinery,Service_industry_machinery,Household_appliances,Other_electrical_equipment,Other_nonresidential_equipment,Office_and_medical_buildings,Hospitals_and_special_care_facilities,Warehouses,Mobile_structures,Other_commercial_buildings,Manufacturing_buildings,Electric_power_structures,Wind_and_solar_power_structures,Gas_power_structures,Petroleum_pipelines,Communication_structures,Depreciable_petroleum_and_natural_gas_structures,Depreciable_mining_structures,Religious_buildings,Educational_and_vocational_buildings,Lodging_buildings,Amusement_and_recreation_buildings,Track_replacement,Other_railroad_structures,Other_transportation_structures,Farm_buildings,Water_supply_and_sewer_and_waste_disposal_facilities,Public_safety_highways_conservation_and_development,Prepackaged_software,Custom_software,Own_account_software,Research_and_development,Theatrical_movies,Long_lived_television_programs,Books,Music,Other_entertainment_originals,Residential_equipment,Residential_buildings
Farms,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
"Forestry,_Fishing,_and_Related_Activites",2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Oil_and_Gas_Extraction,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,2,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Mining_(Except_Oil_and_Gas),2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Support_Activities_For_Mining,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Hydroelectric_Power_Generation,2,2,1.5,1.5,1.5,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,1.5,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Nuclear_Electric_Power_Generation,2,2,1.5,1.5,1.5,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,1.5,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",2,2,1.5,1.5,1.5,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,1.5,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
"Fossil_Fuel_Electric_Power_Generation,_Combustion",2,2,1.5,1.5,1.5,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,1.5,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Other_Electric_Power_Generation,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Electric_Power_Transmission_and_Distribution,2,2,1.5,1.5,1.5,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,1.5,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Natural_Gas_Distribution_and_Transmission,2,2,1.5,1.5,1.5,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,1.5,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Water_and_Sewer_Systems,2,2,1,1,1,2,2,2,1,1.5,1,1,1,1,1.5,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Construction,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Other_Food_Products_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Beverage_and_Tobacco_Products_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Other_Textile_and_Textile_Product_Mills,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Apparel_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Leather_and_Allied_Products_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Wood_Product_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Paper_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,2,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Printing_and_Related_Support_Activities,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Petroleum_Refining,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Other_Petroleum_and_Coal_Products_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Chemical_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,2,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Plastics_and_Rubber_Products_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Glass_Products_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Cement_Manufacturing,2,2,1.5,1.5,1.5,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,1.5,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Other_Nonmetalic_Mineral_Products_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Primary_Ferrous_Metal_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,2,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Primary_Nonferrous_Metal_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Fabricated_Metal_Product_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Machinery_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Computer_and_Electronic_Product_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing",2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Motor_Vehicle_and_Parts_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Ships_and_Boats_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,2,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Other_Transportation_Equipment_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Furniture_and_Related_Products_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Medical_and_Dental_Supplies_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Other_Miscellaneous_Manufacturing,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Wholesale_Durable_Goods,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Wholesale_Nondurable_Goods,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Motor_Vehicle_and_Parts_Dealers,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Food_and_Beverages_Stores,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
General_Merchandise_Stores,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Gas_Stations,2,2,1.5,1.5,1.5,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,1.5,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,2,1.5,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Other_Non_Gas_Stations_Retail,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Air_Transportation,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
