year,schedule,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
2025,,33.33333333333333,44.44444444444444,14.814814814814815,3.703703703703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,,40,64,38.400000000000006,23.04,13.823999999999998,5.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,,42.85714285714286,73.46938775510205,52.478134110787174,37.484381507705116,26.774558219789366,19.124684442706695,13.66048888764764,5.6918703698531825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,,40,72,57.599999999999994,46.079999999999984,36.86399999999999,29.4912,23.592959999999998,18.874368000000004,15.099494400000005,12.079595520000002,5.368709120000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,,33.333333333333314,62.2222222222222,53.925925925925924,46.73580246913579,40.50436213991769,35.10378052126201,30.4232764517604,26.366839591525675,22.851260979322262,19.804426182079297,17.163836024468715,14.875324554539553,12.891947947267617,11.173021554298607,9.683285347058792,4.495811053991581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,,30,57,51.29999999999998,46.16999999999999,41.553,37.397699999999986,33.65792999999999,30.292136999999997,27.262923299999997,24.536630970000004,22.082967873,19.8746710857,17.88720397713,16.098483579416992,14.488635221475299,13.039771699327773,11.735794529394994,10.562215076455495,9.505993568809949,8.555394211928956,4.052555153018979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,,0,33.33333333333333,44.44444444444444,14.814814814814815,3.703703703703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,,0,40,64,38.400000000000006,23.04,13.823999999999998,5.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,,0,42.85714285714286,73.46938775510205,52.478134110787174,37.484381507705116,26.774558219789366,19.124684442706695,13.66048888764764,5.6918703698531825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,,0,40,72,57.599999999999994,46.079999999999984,36.86399999999999,29.4912,23.592959999999998,18.874368000000004,15.099494400000005,12.079595520000002,5.368709120000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
