detailed_industry,soi_industry,business_receipts
Farms,Agricultural production,126392532
"Forestry,_Fishing,_and_Related_Activites",Forestry and logging,11550948
"Forestry,_Fishing,_and_Related_Activites","Support activities and fishing, hunting, and trapping",42715026
Oil_and_Gas_Extraction,Oil and gas extraction,226212165
Mining_(Except_Oil_and_Gas),Coal mining,33057636
Mining_(Except_Oil_and_Gas),Metal ore mining,57728873
Mining_(Except_Oil_and_Gas),Nonmetallic mineral mining and quarrying,25602868
Support_Activities_For_Mining,Support activities for mining,113277439
Electric_Power_Transmission_and_Distribution,"Electric power generation, transmission, and distribution",286494195
Hydroelectric_Power_Generation,"Electric power generation, transmission, and distribution",286494195
Nuclear_Electric_Power_Generation,"Electric power generation, transmission, and distribution",286494195
"Fossil_Fuel_Electric_Power_Generation,_Combustion","Electric power generation, transmission, and distribution",286494195
Other_Electric_Power_Generation,"Electric power generation, transmission, and distribution",286494195
Natural_Gas_Distribution_and_Transmission,Natural gas distribution,52753906
Water_and_Sewer_Systems,"Water, sewage, and other systems",10588742
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Combination gas and electric,156464261
Construction,Construction,1194736096
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing","Animal food manufacturing, grain and oilseed milling",150546067
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Sugar and confectionery product,66123442
Other_Food_Products_Manufacturing,"Fruit and vegetable preserving, and specialty food",55577606
Other_Food_Products_Manufacturing,Dairy product,58025997
Other_Food_Products_Manufacturing,Meat and seafood processing,145676700
Other_Food_Products_Manufacturing,Bakeries and tortilla manufacturing,50448825
Other_Food_Products_Manufacturing,Other food,129914672
Beverage_and_Tobacco_Products_Manufacturing,Beverage and tobacco product manufacturing,147286001
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile mills,13307115
Other_Textile_and_Textile_Product_Mills,Textile product mills,22281938
Apparel_Manufacturing,Apparel manufacturing,53066864
Leather_and_Allied_Products_Manufacturing,Leather and allied product manufacturing,9140719
Wood_Product_Manufacturing,Wood product manufacturing,73090409
Paper_Manufacturing,Paper manufacturing,165165585
Printing_and_Related_Support_Activities,Printing and related support activities,72974952
Petroleum_Refining,Petroleum refineries (including integrated),2282715109
Other_Petroleum_and_Coal_Products_Manufacturing,"Asphalt paving, roofing, other petroleum and coal products",21063571
Chemical_Manufacturing,Chemical manufacturing,848811791
Plastics_and_Rubber_Products_Manufacturing,Plastics and rubber products manufacturing,194259032
Other_Nonmetalic_Mineral_Products_Manufacturing,"Clay, refractory, and other nonmetallic mineral product",20897201
Glass_Products_Manufacturing,Glass and glass product,27897974
Cement_Manufacturing,"Cement, concrete, lime and gypsum product",59847153
Primary_Ferrous_Metal_Manufacturing,"Iron, steel mills and steel product",154816426
Primary_Nonferrous_Metal_Manufacturing,Nonferrous metal production and processing,112332497
Primary_Ferrous_Metal_Manufacturing,Foundries,27712201
Primary_Nonferrous_Metal_Manufacturing,Foundries,27712201
Fabricated_Metal_Product_Manufacturing,Fabricated metal product manufacturing,302547996
Machinery_Manufacturing,Machinery manufacturing,482730448
Computer_and_Electronic_Product_Manufacturing,Computer and electronic product manufacturing,657896585
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing","Electrical equipment, appliance, and component manufacturing",241198947
Motor_Vehicle_and_Parts_Manufacturing,Motor vehicles and parts,672387951
Other_Transportation_Equipment_Manufacturing,Aerospace product and parts,318365181
Ships_and_Boats_Manufacturing,Ship and boat building,45462696
Other_Transportation_Equipment_Manufacturing,Other transportation equipment and railroad rolling stock,29744998
Furniture_and_Related_Products_Manufacturing,Furniture and related product manufacturing,60019734
Medical_and_Dental_Supplies_Manufacturing,Medical equipment and supplies,132141895
Other_Miscellaneous_Manufacturing,Other miscellaneous manufacturing,77242796
Wholesale_Durable_Goods,"Merchant wholesalers, durable goods",1875067256
Wholesale_Nondurable_Goods,"Merchant wholesalers, nondurable goods",2492221383
Motor_Vehicle_and_Parts_Dealers,Motor vehicle dealers and parts dealers,777786618
Other_Non_Gas_Stations_Retail,Furniture and home furnishings stores,80078026
Other_Non_Gas_Stations_Retail,Electronics and appliance stores,93124352
Other_Non_Gas_Stations_Retail,Building material and garden equipment and supplies dealers,224124069
Food_and_Beverages_Stores,"Food, beverage and liquor stores",608125643
Other_Non_Gas_Stations_Retail,Health and personal care stores,324145864
Gas_Stations,Gasoline stations,360729541
Other_Non_Gas_Stations_Retail,Clothing and clothing accessories stores,212655648
Other_Non_Gas_Stations_Retail,"Sporting goods, hobby, book, and music stores",79387545
General_Merchandise_Stores,General merchandise stores,679015751
Other_Non_Gas_Stations_Retail,Miscellaneous store retailers,122004089
Other_Non_Gas_Stations_Retail,Nonstore retailers,208132593
Air_Transportation,Air transportation,169149778
Rail_Transportation,Rail transportation,56423052
Water_Transportation,Water transportation,29885779
Truck_Transportation,Truck transportation,256431484
Transit_and_Ground_Passenger_Transportation,Transit and ground passenger transportation,26585026
Pipeline_Transportation,Pipeline transportation,7599284
Other_Transportation_and_Support_Activities,Other transportation and support activities,245419302
Warehousing_and_Storage,Warehousing and storage,26091400
Publishing_Industries_(Except_Internet),Publishing industries (except Internet),223403902
Movie_Theaters,Motion picture and video industries (except video rental),94892244
Other_Motion_Picture_and_Sound_Recording,Motion picture and video industries (except video rental),94892244
Other_Motion_Picture_and_Sound_Recording,Sound recording industries,6592630
Broadcasting_(Except_Internet)_and_Telecommunications,Broadcasting (except Internet),101384319
Telephone_Communication,"Telecommunications (including paging, cellular, satellite, cable and Internet service providers)",415537706
Cable_Television,"Telecommunications (including paging, cellular, satellite, cable and Internet service providers)",415537706
Other_Telecommunication,"Telecommunications (including paging, cellular, satellite, cable and Internet service providers)",415537706
Information_and_Data_Processing,"Data Processing, Hosting, and Related Services",40456402
Information_and_Data_Processing,Other information services,86842450
Depository_Credit_Intermediation,Depository credit intermediation,21566713
Nondepository_Credit_Intermediation,Credit card issuing and other consumer credit,60987942
Nondepository_Credit_Intermediation,Real estate credit (including mortgage bankers and originators),17523865
Nondepository_Credit_Intermediation,"International, secondary financing, and other nondepository credit intermediation",8241028
Other_Intermediation,"Activities related to credit intermediation (loan brokers, check clearing, etc.)",49731252
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities","Securities, commodity contracts, other financial investments and related activities",198540989
Insurance_Carriers,Life insurance,713298436
Insurance_Carriers,Mutual property and casualty companies (Form 1120-PC),239951673
Insurance_Carriers,Stock property and casualty companies (Form 1120-PC),704292345
Insurance_Agencies_and_Brokers_and_Related_Services,Insurance agencies and brokerages,75312508
Insurance_Agencies_and_Brokers_and_Related_Services,"Other insurance related activities (including third-party admin. of Ins., etc.)",49776611
"Funds,_Trusts,_and_Other_Financial_Vehicles_","Funds, trusts, and other financial vehicles",1008002
Real_Estate,Real estate,125007780
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Rental and leasing services,111872132
Legal_Services,Legal services,107327228
"Other_Professional,_Scientific,_and_Technical_Services","Accounting, tax preparation, bookkeeping, and payroll services",51641254
"Other_Professional,_Scientific,_and_Technical_Services","Architectural, engineering, and related services",223422878
"Other_Professional,_Scientific,_and_Technical_Services",Specialized design services,22188676
Computer_Systems_Design_and_Related_Services,Computer systems design and related services,280819498
"Other_Professional,_Scientific,_and_Technical_Services","Management, scientific, and technical consulting services",212570808
"Other_Professional,_Scientific,_and_Technical_Services",Scientific research and development services,51584427
"Other_Professional,_Scientific,_and_Technical_Services",Advertising and related services,98299399
"Other_Professional,_Scientific,_and_Technical_Services","Other professional, scientific, and technical services",105205542
Management_Of_Companies_and_Enterprises,Management of companies (holding companies),180564138
Administrative_and_Support_Services,Administrative and support services,444711260
Waste_Management_and_Remediation_Services,Waste management and remediation services,75214977
Educational_Services,Educational services,67075520
Ambulatory_Health_Care_Services,Offices of health practitioners and outpatient care centers,427126313
Social_Assistance,Miscellaneous health care and social assistance,112228272
Hospitals,"Hospitals, nursing, and residential care facilities",152051805
Nursing_and_Residential_Care_Facilities,"Hospitals, nursing, and residential care facilities",152051805
"Independent_Artists,_Writers,_and_Performers","Other arts, entertainment, and recreation",58831167
"Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities","Other arts, entertainment, and recreation",58831167
Amusement_Parks,"Amusement, gambling, and recreation industries",51968853
Gambling_and_Bowling,"Amusement, gambling, and recreation industries",51968853
Other_Recreation_Services,"Amusement, gambling, and recreation industries",51968853
Accomodation,Accommodation,86642788
Food_Services_and_Drinking_Places,Food services and drinking places,381339528
Other_Services_(Except_Public_Administration),Other services,207556664
