detailed_industry,soi_industry,business_receipts,remainder,use_total_receipts,weight
Farms,Agricultural production,60343009,NA,NA,NA
"Forestry,_Fishing,_and_Related_Activites",Forestry and logging,3175363,NA,NA,NA
"Forestry,_Fishing,_and_Related_Activites","Support activities and fishing, hunting, and trapping",12842675,NA,NA,NA
Oil_and_Gas_Extraction,Oil and gas extraction,148317194,NA,NA,NA
Mining_(Except_Oil_and_Gas),Coal mining,NA,42021000,FALSE,NA
Mining_(Except_Oil_and_Gas),Metal ore mining,NA,42021000,FALSE,NA
Mining_(Except_Oil_and_Gas),Nonmetallic mineral mining and quarrying,22406455,NA,NA,NA
Support_Activities_For_Mining,Support activities for mining,38351135,NA,NA,NA
Electric_Power_Transmission_and_Distribution,"Electric power generation, transmission, and distribution",276613669,NA,NA,NA
Hydroelectric_Power_Generation,"Electric power generation, transmission, and distribution",276613669,NA,NA,NA
Nuclear_Electric_Power_Generation,"Electric power generation, transmission, and distribution",276613669,NA,NA,NA
"Fossil_Fuel_Electric_Power_Generation,_Combustion","Electric power generation, transmission, and distribution",276613669,NA,NA,NA
Other_Electric_Power_Generation,"Electric power generation, transmission, and distribution",276613669,NA,NA,NA
Natural_Gas_Distribution_and_Transmission,Natural gas distribution,NA,232535998,FALSE,NA
Water_and_Sewer_Systems,"Water, sewage, and other systems",10111026,NA,NA,NA
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Combination gas and electric,NA,232535998,FALSE,NA
Construction,Construction,625506841,NA,NA,NA
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Animal food manufacturing and grain and oilseed milling,118732673,NA,NA,NA
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Sugar and confectionery product,32975947,NA,NA,NA
Other_Food_Products_Manufacturing,Fruit and vegetable preserving and specialty food manufacturing,66661288,NA,NA,NA
Other_Food_Products_Manufacturing,Dairy product,44963763,NA,NA,NA
Other_Food_Products_Manufacturing,Meat and seafood processing,126430766,NA,NA,NA
Other_Food_Products_Manufacturing,Bakeries and tortilla manufacturing,30239652,NA,NA,NA
Other_Food_Products_Manufacturing,Other food,134680828,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Soft drink and ice,51391180,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Breweries,30015690,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Wineries and distilleries,18910064,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Tobacco manufacturing,53664049,NA,NA,NA
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile mills,7491116,NA,NA,NA
Other_Textile_and_Textile_Product_Mills,Textile product mills,14955970,NA,NA,NA
Apparel_Manufacturing,Apparel knitting mills,1885302,NA,NA,NA
Apparel_Manufacturing,Cut and sew apparel contractors and manufacturers,14997435,NA,NA,NA
Apparel_Manufacturing,Apparel accessories and other apparel,338779,NA,NA,NA
Leather_and_Allied_Products_Manufacturing,Leather and allied product manufacturing,5179975,NA,NA,NA
Wood_Product_Manufacturing,Wood product manufacturing,60322735,NA,NA,NA
Paper_Manufacturing,"Pulp, paper, and paperboard mills",49458397,NA,NA,NA
Paper_Manufacturing,Converted paper product,65685878,NA,NA,NA
Printing_and_Related_Support_Activities,Printing and related support activities,28281162,NA,NA,NA
Petroleum_Refining,Petroleum refineries (including integrated),830893269,NA,NA,NA
Other_Petroleum_and_Coal_Products_Manufacturing,"Asphalt paving, roofing, other petroleum and coal products",13086740,NA,NA,NA
Chemical_Manufacturing,Basic chemical,179668419,NA,NA,NA
Chemical_Manufacturing,"Resin, synthetic rubber, and artificial and synthetic fibers and filaments",40758321,NA,NA,NA
Chemical_Manufacturing,Pharmaceutical and medicine,424540439,NA,NA,NA
Chemical_Manufacturing,"Paint, coating, and adhesive",47245283,NA,NA,NA
Chemical_Manufacturing,"Soap, cleaning compound, and toilet preparation",99977063,NA,NA,NA
Chemical_Manufacturing,Other chemical product and preparation,58330799,NA,NA,NA
Plastics_and_Rubber_Products_Manufacturing,Plastics product,81491581,NA,NA,NA
Plastics_and_Rubber_Products_Manufacturing,Rubber product,49258970,NA,NA,NA
Other_Nonmetalic_Mineral_Products_Manufacturing,"Clay, refractory, and other nonmetallic mineral product",14755912,NA,NA,NA
Glass_Products_Manufacturing,Glass and glass product,22237439,NA,NA,NA
Cement_Manufacturing,"Cement, concrete, lime, and gypsum product",62334034,NA,NA,NA
Primary_Ferrous_Metal_Manufacturing,"Iron, steel mills, and steel product",92551525,NA,NA,NA
Primary_Nonferrous_Metal_Manufacturing,Nonferrous metal production and processing,62389986,NA,NA,NA
Primary_Ferrous_Metal_Manufacturing,Foundries,9472712,NA,NA,NA
Primary_Nonferrous_Metal_Manufacturing,Foundries,9472712,NA,NA,NA
Fabricated_Metal_Product_Manufacturing,Forging and stamping,3748558,NA,NA,NA
Fabricated_Metal_Product_Manufacturing,"Cutlery, hardware, spring and wire: machine shops, screw, nut, and bolt",30227722,NA,NA,NA
Fabricated_Metal_Product_Manufacturing,Architectural and structural metals,35618861,NA,NA,NA
Fabricated_Metal_Product_Manufacturing,"Boiler, tank, and shipping container",19837103,NA,NA,NA
Fabricated_Metal_Product_Manufacturing,"Coating, engraving, heat treating, and allied activities",6592274,NA,NA,NA
Fabricated_Metal_Product_Manufacturing,Other fabricated metal product,60890286,NA,NA,NA
Machinery_Manufacturing,"Agriculture, construction, and mining machinery",95301015,NA,NA,NA
Machinery_Manufacturing,Industrial machinery,28460902,NA,NA,NA
Machinery_Manufacturing,Commercial and service industry machinery,19887907,NA,NA,NA
Machinery_Manufacturing,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment",47891821,NA,NA,NA
Machinery_Manufacturing,Metalworking machinery,12655895,NA,NA,NA
Machinery_Manufacturing,"Engine, turbine, and power transmission equipment",36102525,NA,NA,NA
Machinery_Manufacturing,Other general purpose machinery,73934499,NA,NA,NA
Computer_and_Electronic_Product_Manufacturing,Computer and peripheral equipment,254426613,NA,NA,NA
Computer_and_Electronic_Product_Manufacturing,Communications equipment,59945234,NA,NA,NA
Computer_and_Electronic_Product_Manufacturing,Audio and video equipment manufacturing and reproducing magnetic and optical media,38658674,NA,NA,NA
Computer_and_Electronic_Product_Manufacturing,Semiconductor and other electronic component,251474420,NA,NA,NA
Computer_and_Electronic_Product_Manufacturing,"Navigational, measuring, electromedical, and control instruments",132298463,NA,NA,NA
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing",Electrical lighting equipment and household appliance,99676333,NA,NA,NA
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing",Electrical equipment,67144985,NA,NA,NA
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing",Other electrical equipment and component,35400620,NA,NA,NA
Motor_Vehicle_and_Parts_Manufacturing,Motor vehicles and parts,733983569,NA,NA,NA
Other_Transportation_Equipment_Manufacturing,Aerospace product and parts,294690506,NA,NA,NA
Ships_and_Boats_Manufacturing,Ship and boat building,49098012,NA,NA,NA
Other_Transportation_Equipment_Manufacturing,Other transportation equipment and railroad rolling stock,29165430,NA,NA,NA
Furniture_and_Related_Products_Manufacturing,Furniture and related product manufacturing,44223484,NA,NA,NA
Medical_and_Dental_Supplies_Manufacturing,Medical equipment and supplies,149327768,NA,NA,NA
Other_Miscellaneous_Manufacturing,Other miscellaneous manufacturing,48316041,NA,NA,NA
Wholesale_Durable_Goods,Motor vehicle and motor vehicle parts and supplies,262719906,NA,NA,NA
Wholesale_Durable_Goods,Lumber and other construction materials,60822076,NA,NA,NA
Wholesale_Durable_Goods,Professional and commercial equipment and supplies,201157581,NA,NA,NA
Wholesale_Durable_Goods,Metal and mineral (except petroleum),82420375,NA,NA,NA
Wholesale_Durable_Goods,Electrical and electronic goods,371681361,NA,NA,NA
Wholesale_Durable_Goods,"Hardware, plumbing, heating equipment, and supplies",76072445,NA,NA,NA
Wholesale_Durable_Goods,"Machinery, equipment, and supplies",203512996,NA,NA,NA
Wholesale_Durable_Goods,"Furniture, sports, toys, recycle, jewelry, and other durable goods",187819267,NA,NA,NA
Wholesale_Nondurable_Goods,Paper and paper product,33034246,NA,NA,NA
Wholesale_Nondurable_Goods,Drugs and druggists' sundries,863028770,NA,NA,NA
Wholesale_Nondurable_Goods,"Apparel, piece goods, and notions",85864745,NA,NA,NA
Wholesale_Nondurable_Goods,Grocery and related product,509074833,NA,NA,NA
Wholesale_Nondurable_Goods,Farm product raw material,118806173,NA,NA,NA
Wholesale_Nondurable_Goods,Chemical and allied products,53940516,NA,NA,NA
Wholesale_Nondurable_Goods,Petroleum and petroleum products,378540890,NA,NA,NA
Wholesale_Nondurable_Goods,"Beer, wine, and distilled alcoholic beverage",41178738,NA,NA,NA
Wholesale_Nondurable_Goods,Miscellaneous nondurable goods,103281062,NA,NA,NA
Motor_Vehicle_and_Parts_Dealers,New and used car dealers,197064857,NA,NA,NA
Motor_Vehicle_and_Parts_Dealers,Other motor vehicle and parts dealers,85169381,NA,NA,NA
Other_Non_Gas_Stations_Retail,Furniture and home furnishings stores,54591317,NA,NA,NA
Other_Non_Gas_Stations_Retail,Electronics and appliance stores,68077199,NA,NA,NA
Other_Non_Gas_Stations_Retail,Home centers; paint and wallpaper stores,210053084,NA,NA,NA
Other_Non_Gas_Stations_Retail,Hardware stores,9101852,NA,NA,NA
Other_Non_Gas_Stations_Retail,Other building materials dealers,30053466,NA,NA,NA
Other_Non_Gas_Stations_Retail,Lawn and garden equipment and supplies stores,17516017,NA,NA,NA
Food_and_Beverages_Stores,Food and beverage stores,564301935,NA,NA,NA
Food_and_Beverages_Stores,"Beer, wine, and liquor stores",7371052,NA,NA,NA
Other_Non_Gas_Stations_Retail,Health and personal care stores,426074553,NA,NA,NA
Gas_Stations,Gasoline stations,103849709,NA,NA,NA
Other_Non_Gas_Stations_Retail,Clothing and clothing accessories stores,145237030,NA,NA,NA
Other_Non_Gas_Stations_Retail,"Sporting goods, hobby, book, and music stores",36323055,NA,NA,NA
General_Merchandise_Stores,General merchandise stores,811480139,NA,NA,NA
Other_Non_Gas_Stations_Retail,Miscellaneous store retailers,90158865,NA,NA,NA
Other_Non_Gas_Stations_Retail,Nonstore retailers,468193041,NA,NA,NA
Air_Transportation,Air transportation,97251625,NA,NA,NA
Rail_Transportation,Rail transportation,50521948,NA,NA,NA
Water_Transportation,Water transportation,8846357.135812905,17939359,TRUE,0.4931255980669602
Truck_Transportation,Truck transportation,120079573,NA,NA,NA
Transit_and_Ground_Passenger_Transportation,Transit and ground passenger transportation,10783108,NA,NA,NA
Pipeline_Transportation,Pipeline transportation,9093001.864187095,17939359,TRUE,0.5068744019330398
Other_Transportation_and_Support_Activities,Other transportation and support activities,285029549,NA,NA,NA
Warehousing_and_Storage,Warehousing and storage,17781954,NA,NA,NA
Publishing_Industries_(Except_Internet),Newspaper publishers,13088658,NA,NA,NA
Publishing_Industries_(Except_Internet),Periodical publishers,18476104,NA,NA,NA
Publishing_Industries_(Except_Internet),Book publishers,10808572,NA,NA,NA
Publishing_Industries_(Except_Internet),Database directory and other publishers,6305463,NA,NA,NA
Movie_Theaters,Motion picture and video industries (except video rental),15957329,NA,NA,NA
Other_Motion_Picture_and_Sound_Recording,Motion picture and video industries (except video rental),15957329,NA,NA,NA
Other_Motion_Picture_and_Sound_Recording,Sound recording industries,8134915,NA,NA,NA
Broadcasting_(Except_Internet)_and_Telecommunications,Broadcasting (except internet),129576279,NA,NA,NA
Telephone_Communication,"Telecommunications (paging, cellular, cable, satellite, & internet service providers",465302284,NA,NA,NA
Cable_Television,"Telecommunications (paging, cellular, cable, satellite, & internet service providers",465302284,NA,NA,NA
Other_Telecommunication,"Telecommunications (paging, cellular, cable, satellite, & internet service providers",465302284,NA,NA,NA
Information_and_Data_Processing,"Data processing, hosting, and related services",224543003,NA,NA,NA
Information_and_Data_Processing,Other information services,163158045,NA,NA,NA
Depository_Credit_Intermediation,Commercial banking,19480992,NA,NA,NA
Depository_Credit_Intermediation,"Savings institutions, credit unions, and other depository credit intermediation",9006477,NA,NA,NA
Nondepository_Credit_Intermediation,Credit card issuing and other consumer credit,66644964,NA,NA,NA
Nondepository_Credit_Intermediation,Real estate credit (including mortgage bankers and originators),19704672,NA,NA,NA
Nondepository_Credit_Intermediation,"International, secondary financing, and other nondepository credit intermediation",17702996,NA,NA,NA
Other_Intermediation,"Activities related to credit intermediation (loan brokers, check clearing, etc.)",77968770,NA,NA,NA
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities",Investment banking and securities dealing,72126502,NA,NA,NA
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities",Securities brokerage,49745584,NA,NA,NA
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities",Commodity contracts dealing and brokerage,2640736,NA,NA,NA
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities","Securities, commodity exchanges, and other financial investment activities",114208313,NA,NA,NA
Insurance_Carriers,Life insurance,637592813,NA,NA,NA
Insurance_Carriers,Property and casualty insurance,1058207362,NA,NA,NA
Insurance_Agencies_and_Brokers_and_Related_Services,Insurance agencies and brokerages,78833779,NA,NA,NA
Insurance_Agencies_and_Brokers_and_Related_Services,"Other insurance related activities (third-party administrator of insurance, etc.)",39890356,NA,NA,NA
"Funds,_Trusts,_and_Other_Financial_Vehicles_",Other financial vehicles,3148036,NA,NA,NA
Real_Estate,Lessors of buildings,25923253,NA,NA,NA
Real_Estate,"Lessors of miniwarehouses, self-storage units, and other real estate",5310770,NA,NA,NA
Real_Estate,Offices of real estate agents and brokers,35180038,NA,NA,NA
Real_Estate,Other real estate activities,29954643,NA,NA,NA
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Automotive equipment rental and leasing,47438268,NA,NA,NA
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Other consumer goods and general rental centers,4769792,NA,NA,NA
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Commercial and industrial machinery and equipment rental and leasing,38371884,NA,NA,NA
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Lessors of nonfinancial intangible assets (except copyrighted works),16096511,NA,NA,NA
Legal_Services,Legal services,41760087,NA,NA,NA
"Other_Professional,_Scientific,_and_Technical_Services","Accounting, tax preparation, bookkeeping, and payroll services",56268937,NA,NA,NA
"Other_Professional,_Scientific,_and_Technical_Services","Architectural, engineering, and related services",142750187,NA,NA,NA
"Other_Professional,_Scientific,_and_Technical_Services",Specialized design services,5785712,NA,NA,NA
Computer_Systems_Design_and_Related_Services,Computer systems design and related services,195786359,NA,NA,NA
"Other_Professional,_Scientific,_and_Technical_Services","Management, scientific, and technical consulting services",200657017,NA,NA,NA
"Other_Professional,_Scientific,_and_Technical_Services",Scientific research and development services,74640682,NA,NA,NA
"Other_Professional,_Scientific,_and_Technical_Services",Advertising and related services,69854049,NA,NA,NA
"Other_Professional,_Scientific,_and_Technical_Services","Other professional, scientific, and technical services",75571044,NA,NA,NA
Management_Of_Companies_and_Enterprises,Offices of bank holding companies,216852054,NA,NA,NA
Management_Of_Companies_and_Enterprises,Offices of other holding companies,460278,NA,NA,NA
Administrative_and_Support_Services,Employment services,109456730,NA,NA,NA
Administrative_and_Support_Services,Travel arrangement and reservation services,19234707,NA,NA,NA
Administrative_and_Support_Services,Other administrative and support services,147607408,NA,NA,NA
Waste_Management_and_Remediation_Services,Waste management and remediation services,51649538,NA,NA,NA
Educational_Services,Educational services,29357974,NA,NA,NA
Ambulatory_Health_Care_Services,Offices of physicians,164958953,NA,NA,NA
Ambulatory_Health_Care_Services,Offices of dentists,15979891,NA,NA,NA
Ambulatory_Health_Care_Services,Offices of other health practitioners,301940129,NA,NA,NA
Ambulatory_Health_Care_Services,Outpatient care centers,44295946,NA,NA,NA
Social_Assistance,Miscellaneous health care and social assistance,79398267,NA,NA,NA
Hospitals,"Hospitals, nursing, and residential care facilities",104223888,NA,NA,NA
Nursing_and_Residential_Care_Facilities,"Hospitals, nursing, and residential care facilities",104223888,NA,NA,NA
"Independent_Artists,_Writers,_and_Performers","Other arts, entertainment, and recreation",13287249,NA,NA,NA
"Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities","Other arts, entertainment, and recreation",13287249,NA,NA,NA
Amusement_Parks,"Amusement, gambling, and recreation industries",24881697,NA,NA,NA
Gambling_and_Bowling,"Amusement, gambling, and recreation industries",24881697,NA,NA,NA
Other_Recreation_Services,"Amusement, gambling, and recreation industries",24881697,NA,NA,NA
Accomodation,Accommodation,46731563,NA,NA,NA
Food_Services_and_Drinking_Places,Food services and drinking places,156352595,NA,NA,NA
Other_Services_(Except_Public_Administration),Other services,83315065,NA,NA,NA
