detailed_industry,soi_industry,business_receipts
Farms,Agricultural production,129600400
"Forestry,_Fishing,_and_Related_Activites",Forestry and logging,15382013
"Forestry,_Fishing,_and_Related_Activites","Support activities and fishing, hunting, and trapping",39360747
Oil_and_Gas_Extraction,Oil and gas extraction,249604211
Mining_(Except_Oil_and_Gas),Coal mining,27517850
Mining_(Except_Oil_and_Gas),Metal ore mining,57307208
Mining_(Except_Oil_and_Gas),Nonmetallic mineral mining and quarrying,26482510
Support_Activities_For_Mining,Support activities for mining,111400522
Electric_Power_Transmission_and_Distribution,"Electric power generation, transmission, and distribution",296864858
Hydroelectric_Power_Generation,"Electric power generation, transmission, and distribution",296864858
Nuclear_Electric_Power_Generation,"Electric power generation, transmission, and distribution",296864858
"Fossil_Fuel_Electric_Power_Generation,_Combustion","Electric power generation, transmission, and distribution",296864858
Other_Electric_Power_Generation,"Electric power generation, transmission, and distribution",296864858
Natural_Gas_Distribution_and_Transmission,Natural gas distribution,64171536
Water_and_Sewer_Systems,"Water, sewage, and other systems",10954801
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Combination gas and electric,171233668
Construction,Construction,1322187755
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing","Animal food manufacturing, grain and oilseed milling",146746119
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Sugar and confectionery product,42257167
Other_Food_Products_Manufacturing,"Fruit and vegetable preserving, and specialty food",55755437
Other_Food_Products_Manufacturing,Dairy product,60929203
Other_Food_Products_Manufacturing,Meat and seafood processing,146527548
Other_Food_Products_Manufacturing,Bakeries and tortilla manufacturing,48493784
Other_Food_Products_Manufacturing,Other food,175037974
Beverage_and_Tobacco_Products_Manufacturing,Beverage and tobacco product manufacturing,150196670
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile mills,15309172
Other_Textile_and_Textile_Product_Mills,Textile product mills,23018987
Apparel_Manufacturing,Apparel manufacturing,50555439
Leather_and_Allied_Products_Manufacturing,Leather and allied product manufacturing,10689959
Wood_Product_Manufacturing,Wood product manufacturing,83851456
Paper_Manufacturing,Paper manufacturing,170831816
Printing_and_Related_Support_Activities,Printing and related support activities,76134901
Petroleum_Refining,Petroleum refineries (including integrated),2117427865
Other_Petroleum_and_Coal_Products_Manufacturing,"Asphalt paving, roofing, other petroleum and coal products",19256740
Chemical_Manufacturing,Chemical manufacturing,873549631
Plastics_and_Rubber_Products_Manufacturing,Plastics and rubber products manufacturing,194214744
Other_Nonmetalic_Mineral_Products_Manufacturing,"Clay, refractory, and other nonmetallic mineral product",20287416
Glass_Products_Manufacturing,Glass and glass product,28662811
Cement_Manufacturing,"Cement, concrete, lime and gypsum product",62084772
Primary_Ferrous_Metal_Manufacturing,"Iron, steel mills and steel product",141660321
Primary_Nonferrous_Metal_Manufacturing,Nonferrous metal production and processing,102957532
Primary_Ferrous_Metal_Manufacturing,Foundries,28457148
Primary_Nonferrous_Metal_Manufacturing,Foundries,28457148
Fabricated_Metal_Product_Manufacturing,Fabricated metal product manufacturing,314120965
Machinery_Manufacturing,Machinery manufacturing,465622648
Computer_and_Electronic_Product_Manufacturing,Computer and electronic product manufacturing,632936009
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing","Electrical equipment, appliance, and component manufacturing",254334326
Motor_Vehicle_and_Parts_Manufacturing,Motor vehicles and parts,739955614
Other_Transportation_Equipment_Manufacturing,Aerospace product and parts,327832309
Ships_and_Boats_Manufacturing,Ship and boat building,46810528
Other_Transportation_Equipment_Manufacturing,Other transportation equipment and railroad rolling stock,29500896
Furniture_and_Related_Products_Manufacturing,Furniture and related product manufacturing,63099769
Medical_and_Dental_Supplies_Manufacturing,Medical equipment and supplies,135560557
Other_Miscellaneous_Manufacturing,Other miscellaneous manufacturing,79576619
Wholesale_Durable_Goods,"Merchant wholesalers, durable goods",1947873720
Wholesale_Nondurable_Goods,"Merchant wholesalers, nondurable goods",2585899195
Motor_Vehicle_and_Parts_Dealers,Motor vehicle dealers and parts dealers,840049815
Other_Non_Gas_Stations_Retail,Furniture and home furnishings stores,83110261
Other_Non_Gas_Stations_Retail,Electronics and appliance stores,97988471
Other_Non_Gas_Stations_Retail,Building material and garden equipment and supplies dealers,248140828
Food_and_Beverages_Stores,"Food, beverage and liquor stores",670761172
Other_Non_Gas_Stations_Retail,Health and personal care stores,339155495
Gas_Stations,Gasoline stations,364176090
Other_Non_Gas_Stations_Retail,Clothing and clothing accessories stores,214473992
Other_Non_Gas_Stations_Retail,"Sporting goods, hobby, book, and music stores",79635282
General_Merchandise_Stores,General merchandise stores,697806079
Other_Non_Gas_Stations_Retail,Miscellaneous store retailers,120514446
Other_Non_Gas_Stations_Retail,Nonstore retailers,244881550
Air_Transportation,Air transportation,179262195
Rail_Transportation,Rail transportation,58860190
Water_Transportation,Water transportation,29497264
Truck_Transportation,Truck transportation,255339513
Transit_and_Ground_Passenger_Transportation,Transit and ground passenger transportation,28398002
Pipeline_Transportation,Pipeline transportation,7448638
Other_Transportation_and_Support_Activities,Other transportation and support activities,245139892
Warehousing_and_Storage,Warehousing and storage,22893420
Publishing_Industries_(Except_Internet),Publishing industries (except Internet),224994780
Movie_Theaters,Motion picture and video industries (except video rental),92463030
Other_Motion_Picture_and_Sound_Recording,Motion picture and video industries (except video rental),92463030
Other_Motion_Picture_and_Sound_Recording,Sound recording industries,6358801
Broadcasting_(Except_Internet)_and_Telecommunications,Broadcasting (except Internet),103201873
Telephone_Communication,"Telecommunications (including paging, cellular, satellite, cable and Internet service providers)",441809551
Cable_Television,"Telecommunications (including paging, cellular, satellite, cable and Internet service providers)",441809551
Other_Telecommunication,"Telecommunications (including paging, cellular, satellite, cable and Internet service providers)",441809551
Information_and_Data_Processing,"Data Processing, Hosting, and Related Services",44548493
Information_and_Data_Processing,Other information services,97533037
Depository_Credit_Intermediation,Depository credit intermediation,21833699
Nondepository_Credit_Intermediation,Credit card issuing and other consumer credit,62201929
Nondepository_Credit_Intermediation,Real estate credit (including mortgage bankers and originators),16930282
Nondepository_Credit_Intermediation,"International, secondary financing, and other nondepository credit intermediation",7997609
Other_Intermediation,"Activities related to credit intermediation (loan brokers, check clearing, etc.)",50836428
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities","Securities, commodity contracts, other financial investments and related activities",215427661
Insurance_Carriers,Life insurance,646981214
Insurance_Carriers,Mutual property and casualty companies (Form 1120-PC),271786660
Insurance_Carriers,Stock property and casualty companies (Form 1120-PC),832470021
Insurance_Agencies_and_Brokers_and_Related_Services,Insurance agencies and brokerages,82456559
Insurance_Agencies_and_Brokers_and_Related_Services,"Other insurance related activities (including third-party administration of insurance, etc.)",37995477
"Funds,_Trusts,_and_Other_Financial_Vehicles_","Funds, trusts, and other financial vehicles",1840316
Real_Estate,Real estate,138751564
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Rental and leasing services,116819553
Legal_Services,Legal services,102627647
"Other_Professional,_Scientific,_and_Technical_Services","Accounting, tax preparation, bookkeeping, and payroll services",50062749
"Other_Professional,_Scientific,_and_Technical_Services","Architectural, engineering, and related services",230741133
"Other_Professional,_Scientific,_and_Technical_Services",Specialized design services,22114933
Computer_Systems_Design_and_Related_Services,Computer systems design and related services,294765849
"Other_Professional,_Scientific,_and_Technical_Services","Management, scientific, and technical consulting services",258681556
"Other_Professional,_Scientific,_and_Technical_Services",Scientific research and development services,49706089
"Other_Professional,_Scientific,_and_Technical_Services",Advertising and related services,108915206
"Other_Professional,_Scientific,_and_Technical_Services","Other professional, scientific, and technical services",104193570
Management_Of_Companies_and_Enterprises,Management of companies (holding companies),184965490
Administrative_and_Support_Services,Administrative and support services,451438855
Waste_Management_and_Remediation_Services,Waste management and remediation services,75605768
Educational_Services,Educational services,64673755
Ambulatory_Health_Care_Services,Offices of health practitioners and outpatient care centers,438923941
Social_Assistance,Miscellaneous health care and social assistance,111507965
Hospitals,"Hospitals, nursing, and residential care facilities",147962306
Nursing_and_Residential_Care_Facilities,"Hospitals, nursing, and residential care facilities",147962306
"Independent_Artists,_Writers,_and_Performers","Other arts, entertainment, and recreation",60495106
"Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities","Other arts, entertainment, and recreation",60495106
Amusement_Parks,"Amusement, gambling, and recreation industries",55158613
