detailed_industry,soi_industry,business_receipts,remainder,use_total_receipts,weight
Farms,Agricultural production,53908570,NA,NA,NA
"Forestry,_Fishing,_and_Related_Activites",Forestry and logging,3889555,NA,NA,NA
"Forestry,_Fishing,_and_Related_Activites","Support activities and fishing, hunting, and trapping",13838058,NA,NA,NA
Oil_and_Gas_Extraction,Oil and gas extraction,162206823,NA,NA,NA
Mining_(Except_Oil_and_Gas),Coal mining,16239589,NA,NA,NA
Mining_(Except_Oil_and_Gas),Metal ore mining,41729858,NA,NA,NA
Mining_(Except_Oil_and_Gas),Nonmetallic mineral mining and quarrying,20773098,NA,NA,NA
Support_Activities_For_Mining,Support activities for mining,69697524,NA,NA,NA
Electric_Power_Transmission_and_Distribution,"Electric power generation, transmission, and distribution",295884162,NA,NA,NA
Hydroelectric_Power_Generation,"Electric power generation, transmission, and distribution",295884162,NA,NA,NA
Nuclear_Electric_Power_Generation,"Electric power generation, transmission, and distribution",295884162,NA,NA,NA
"Fossil_Fuel_Electric_Power_Generation,_Combustion","Electric power generation, transmission, and distribution",295884162,NA,NA,NA
Other_Electric_Power_Generation,"Electric power generation, transmission, and distribution",295884162,NA,NA,NA
Natural_Gas_Distribution_and_Transmission,Natural gas distribution,56544319,NA,NA,NA
Water_and_Sewer_Systems,"Water, sewage, and other systems",9816313,NA,NA,NA
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Combination gas and electric,162166760,NA,NA,NA
Construction,Construction,478752051,NA,NA,NA
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Animal food manufacturing and grain and oilseed milling,104788350,NA,NA,NA
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Sugar and confectionery product,36248385,NA,NA,NA
Other_Food_Products_Manufacturing,Fruit and vegetable preserving and specialty food manufacturing,56531196,NA,NA,NA
Other_Food_Products_Manufacturing,Dairy product,40389285,NA,NA,NA
Other_Food_Products_Manufacturing,Meat and seafood processing,121859138,NA,NA,NA
Other_Food_Products_Manufacturing,Bakeries and tortilla manufacturing,32050737,NA,NA,NA
Other_Food_Products_Manufacturing,Other food,153148455,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Soft drink and ice,NA,122572809,FALSE,NA
Beverage_and_Tobacco_Products_Manufacturing,Breweries,21055633,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Wineries and distilleries,NA,122572809,FALSE,NA
Beverage_and_Tobacco_Products_Manufacturing,Tobacco manufacturing,NA,122572809,FALSE,NA
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile mills,10246711,NA,NA,NA
Other_Textile_and_Textile_Product_Mills,Textile product mills,15213582,NA,NA,NA
Apparel_Manufacturing,Apparel knitting mills,NA,122572809,FALSE,NA
Apparel_Manufacturing,Cut and sew apparel contractors and manufacturers,15333797,NA,NA,NA
Apparel_Manufacturing,Apparel accessories and other apparel,NA,122572809,FALSE,NA
Leather_and_Allied_Products_Manufacturing,Leather and allied product manufacturing,5826253,NA,NA,NA
Wood_Product_Manufacturing,Wood product manufacturing,45520017,NA,NA,NA
Paper_Manufacturing,"Pulp, paper, and paperboard mills",52600478,NA,NA,NA
Paper_Manufacturing,Converted paper product,80885638,NA,NA,NA
Printing_and_Related_Support_Activities,Printing and related support activities,40730811,NA,NA,NA
Petroleum_Refining,Petroleum refineries (including integrated),1246707613,NA,NA,NA
Other_Petroleum_and_Coal_Products_Manufacturing,"Asphalt paving, roofing, other petroleum and coal products",11104315,NA,NA,NA
