detailed_industry,soi_industry,business_receipts
Educational_Services,Educational services,5431807
Ambulatory_Health_Care_Services,Offices of physicians and dentists,60320438
Ambulatory_Health_Care_Services,Offices of other health practitioners,9095274
Ambulatory_Health_Care_Services,Outpatient care centers,30274692
Ambulatory_Health_Care_Services,Medical and diagnostic laboratories,12771202
Ambulatory_Health_Care_Services,Home health care services,6804109
Ambulatory_Health_Care_Services,Other ambulatory health care services,1746382
Hospitals,Hospitals,46452753
Nursing_and_Residential_Care_Facilities,Nursing and residential care facilities,52914938
Social_Assistance,Social assistance,3139996
"Independent_Artists,_Writers,_and_Performers","Performing arts, spectator sports and related industries",30676092
"Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities","Performing arts, spectator sports and related industries",30676092
"Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities","Museums, historical sites, and similar institutions",286323
Amusement_Parks,"Amusement, gambling, and recreation industries",28157278
Gambling_and_Bowling,"Amusement, gambling, and recreation industries",28157278
Other_Recreation_Services,"Amusement, gambling, and recreation industries",28157278
Accomodation,Accommodation,67930105
Food_Services_and_Drinking_Places,Food services and drinking places,106126819
Other_Services_(Except_Public_Administration),Other services,28219704
