detailed_industry,soi_industry,business_receipts,remainder,use_total_receipts,weight
Farms,Agricultural production,50104512,NA,NA,NA
"Forestry,_Fishing,_and_Related_Activites",Forestry and logging,4019515,NA,NA,NA
"Forestry,_Fishing,_and_Related_Activites","Support activities and fishing, hunting and trapping",12353528,NA,NA,NA
Oil_and_Gas_Extraction,Mining,276544534,NA,NA,NA
Mining_(Except_Oil_and_Gas),Mining,276544534,NA,NA,NA
Support_Activities_For_Mining,Mining,276544534,NA,NA,NA
Hydroelectric_Power_Generation,Utilities,563692738,NA,NA,NA
Nuclear_Electric_Power_Generation,Utilities,563692738,NA,NA,NA
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Utilities,563692738,NA,NA,NA
"Fossil_Fuel_Electric_Power_Generation,_Combustion",Utilities,563692738,NA,NA,NA
Other_Electric_Power_Generation,Utilities,563692738,NA,NA,NA
Electric_Power_Transmission_and_Distribution,Utilities,563692738,NA,NA,NA
Natural_Gas_Distribution_and_Transmission,Utilities,563692738,NA,NA,NA
Water_and_Sewer_Systems,Utilities,563692738,NA,NA,NA
Construction,Construction,421648702,NA,NA,NA
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Food manufacturing,438257841,NA,NA,NA
Other_Food_Products_Manufacturing,Food manufacturing,438257841,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Beverage and tobacco product manufacturing,135503524,NA,NA,NA
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile mills and textile product mills,21640716,NA,NA,NA
Other_Textile_and_Textile_Product_Mills,Textile mills and textile product mills,21640716,NA,NA,NA
Apparel_Manufacturing,Apparel manufacturing,27972312,NA,NA,NA
Leather_and_Allied_Products_Manufacturing,Leather and allied product manufacturing,3735066,NA,NA,NA
Wood_Product_Manufacturing,Wood product manufacturing,31823256,NA,NA,NA
Paper_Manufacturing,Paper manufacturing,135733487,NA,NA,NA
Printing_and_Related_Support_Activities,Printing and related support activities,41105406,NA,NA,NA
Petroleum_Refining,Petroleum and coal products manufacturing,1386486908,NA,NA,NA
Other_Petroleum_and_Coal_Products_Manufacturing,Petroleum and coal products manufacturing,1386486908,NA,NA,NA
Chemical_Manufacturing,Chemical manufacturing,690865747,NA,NA,NA
Plastics_and_Rubber_Products_Manufacturing,Plastics and rubber products manufacturing,104518844,NA,NA,NA
Glass_Products_Manufacturing,Nonmetallic mineral product manufacturing,71427944,NA,NA,NA
Cement_Manufacturing,Nonmetallic mineral product manufacturing,71427944,NA,NA,NA
Other_Nonmetalic_Mineral_Products_Manufacturing,Nonmetallic mineral product manufacturing,71427944,NA,NA,NA
Primary_Ferrous_Metal_Manufacturing,Primary metal manufacturing,145582412,NA,NA,NA
Primary_Nonferrous_Metal_Manufacturing,Primary metal manufacturing,145582412,NA,NA,NA
Fabricated_Metal_Product_Manufacturing,Fabricated metal product manufacturing,162606084,NA,NA,NA
Machinery_Manufacturing,Machinery manufacturing,273600842,NA,NA,NA
Computer_and_Electronic_Product_Manufacturing,Computer and electronic product manufacturing,549926035,NA,NA,NA
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing","Electrical equipment, appliance, and component manufacturing",200841502,NA,NA,NA
