detailed_industry,soi_industry,business_receipts,remainder,use_total_receipts,weight
Farms,Agricultural production,63468063,NA,NA,NA
"Forestry,_Fishing,_and_Related_Activites",Forestry and logging,3116243,NA,NA,NA
"Forestry,_Fishing,_and_Related_Activites","Support activities and fishing, hunting, and trapping",11725071,NA,NA,NA
Oil_and_Gas_Extraction,Oil and gas extraction,209878216,NA,NA,NA
Mining_(Except_Oil_and_Gas),Coal mining,NA,51410881,FALSE,NA
Mining_(Except_Oil_and_Gas),Metal ore mining,NA,51410881,FALSE,NA
Mining_(Except_Oil_and_Gas),Nonmetallic mineral mining and quarrying,24925807,NA,NA,NA
Support_Activities_For_Mining,Support activities for mining,64058177,NA,NA,NA
Electric_Power_Transmission_and_Distribution,"Electric power generation, transmission, and distribution",307547806,NA,NA,NA
Hydroelectric_Power_Generation,"Electric power generation, transmission, and distribution",307547806,NA,NA,NA
Nuclear_Electric_Power_Generation,"Electric power generation, transmission, and distribution",307547806,NA,NA,NA
"Fossil_Fuel_Electric_Power_Generation,_Combustion","Electric power generation, transmission, and distribution",307547806,NA,NA,NA
Other_Electric_Power_Generation,"Electric power generation, transmission, and distribution",307547806,NA,NA,NA
Natural_Gas_Distribution_and_Transmission,Natural gas distribution,NA,262435693,FALSE,NA
Water_and_Sewer_Systems,"Water, sewage, and other systems",9811877,NA,NA,NA
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Combination gas and electric,NA,262435693,FALSE,NA
Construction,Construction,621750926,NA,NA,NA
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Animal food manufacturing and grain and oilseed milling,117503799,NA,NA,NA
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Sugar and confectionery product,32175866,NA,NA,NA
Other_Food_Products_Manufacturing,Fruit and vegetable preserving and specialty food manufacturing,66830884,NA,NA,NA
Other_Food_Products_Manufacturing,Dairy product,48575712,NA,NA,NA
Other_Food_Products_Manufacturing,Meat and seafood processing,115337926,NA,NA,NA
Other_Food_Products_Manufacturing,Bakeries and tortilla manufacturing,31164137,NA,NA,NA
Other_Food_Products_Manufacturing,Other food,143087908,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Soft drink and ice,44499646,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Breweries,28204126,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Wineries and distilleries,18962818,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Tobacco manufacturing,50692292,NA,NA,NA
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile mills,11618697,NA,NA,NA
Other_Textile_and_Textile_Product_Mills,Textile product mills,16673306,NA,NA,NA
Apparel_Manufacturing,Apparel knitting mills,2244791,NA,NA,NA
Apparel_Manufacturing,Cut and sew apparel contractors and manufacturers,17333873,NA,NA,NA
Apparel_Manufacturing,Apparel accessories and other apparel,847611,NA,NA,NA
Leather_and_Allied_Products_Manufacturing,Leather and allied product manufacturing,5368997,NA,NA,NA
Wood_Product_Manufacturing,Wood product manufacturing,59984859,NA,NA,NA
Paper_Manufacturing,"Pulp, paper, and paperboard mills",58751562,NA,NA,NA
Paper_Manufacturing,Converted paper product,75079625,NA,NA,NA
Printing_and_Related_Support_Activities,Printing and related support activities,41586878,NA,NA,NA
Petroleum_Refining,Petroleum refineries (including integrated),1273458484,NA,NA,NA
Other_Petroleum_and_Coal_Products_Manufacturing,"Asphalt paving, roofing, other petroleum and coal products",16679767,NA,NA,NA
Chemical_Manufacturing,Basic chemical,213826590,NA,NA,NA
Chemical_Manufacturing,"Resin, synthetic rubber, and artificial and synthetic fibers and filaments",45655191,NA,NA,NA
Chemical_Manufacturing,Pharmaceutical and medicine,432206378,NA,NA,NA
Chemical_Manufacturing,"Paint, coating, and adhesive",51423494,NA,NA,NA
Chemical_Manufacturing,"Soap, cleaning compound, and toilet preparation",100115309,NA,NA,NA
