detailed_industry,soi_industry,business_receipts
Farms,Agricultural production,141728702
"Forestry,_Fishing,_and_Related_Activites",Forestry and logging,15394067
"Forestry,_Fishing,_and_Related_Activites","Support activities and fishing, hunting, and trapping",45487196
Oil_and_Gas_Extraction,Oil and gas extraction,221750113
Mining_(Except_Oil_and_Gas),Coal mining,18863281
Mining_(Except_Oil_and_Gas),Metal ore mining,35825538
Mining_(Except_Oil_and_Gas),Nonmetallic mineral mining and quarrying,35673117
Support_Activities_For_Mining,Support activities for mining,88901881
Electric_Power_Transmission_and_Distribution,"Electric power generation, transmission, and distribution",310558489
Hydroelectric_Power_Generation,"Electric power generation, transmission, and distribution",310558489
Nuclear_Electric_Power_Generation,"Electric power generation, transmission, and distribution",310558489
"Fossil_Fuel_Electric_Power_Generation,_Combustion","Electric power generation, transmission, and distribution",310558489
Other_Electric_Power_Generation,"Electric power generation, transmission, and distribution",310558489
Natural_Gas_Distribution_and_Transmission,Natural gas distribution,75014281
Water_and_Sewer_Systems,"Water, sewage, and other systems",12329193
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Combination gas and electric,192651404
Construction,Construction,2098155736
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing","Animal food manufacturing, grain and oilseed milling",134424454
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Sugar and confectionery product,36823691
Other_Food_Products_Manufacturing,"Fruit and vegetable preserving, and specialty food",81009096
Other_Food_Products_Manufacturing,Dairy product,67278348
Other_Food_Products_Manufacturing,Meat and seafood processing,159399310
Other_Food_Products_Manufacturing,Bakeries and tortilla manufacturing,46002923
Other_Food_Products_Manufacturing,Other food,172308762
Beverage_and_Tobacco_Products_Manufacturing,Beverage and tobacco product manufacturing,163807585
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile mills,18143588
Other_Textile_and_Textile_Product_Mills,Textile product mills,26598043
Apparel_Manufacturing,Apparel manufacturing,35093288
Leather_and_Allied_Products_Manufacturing,Leather and allied product manufacturing,10410479
Wood_Product_Manufacturing,Wood product manufacturing,102356833
Paper_Manufacturing,Paper manufacturing,159287919
Printing_and_Related_Support_Activities,Printing and related support activities,77911195
Petroleum_Refining,Petroleum refineries (including integrated),1275414306
Other_Petroleum_and_Coal_Products_Manufacturing,"Asphalt paving, roofing, other petroleum and coal products",24665561
Chemical_Manufacturing,Chemical manufacturing,951795172
Plastics_and_Rubber_Products_Manufacturing,Plastics and rubber products manufacturing,206775668
Other_Nonmetalic_Mineral_Products_Manufacturing,"Clay, refractory, and other nonmetallic mineral product",23526521
Glass_Products_Manufacturing,Glass and glass product,33296312
Cement_Manufacturing,"Cement, concrete, lime and gypsum product",86912927
Primary_Ferrous_Metal_Manufacturing,"Iron, steel mills and steel product",140423177
Primary_Nonferrous_Metal_Manufacturing,Nonferrous metal production and processing,96016928
Primary_Ferrous_Metal_Manufacturing,Foundries,21735622
Primary_Nonferrous_Metal_Manufacturing,Foundries,21735622
Fabricated_Metal_Product_Manufacturing,Fabricated metal product manufacturing,328176534
Machinery_Manufacturing,Machinery manufacturing,435809470
Computer_and_Electronic_Product_Manufacturing,Computer and electronic product manufacturing,735060439
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing","Electrical equipment, appliance, and component manufacturing",266510423
Motor_Vehicle_and_Parts_Manufacturing,Motor vehicles and parts,952323297
Other_Transportation_Equipment_Manufacturing,Aerospace product and parts,357774841
Ships_and_Boats_Manufacturing,Ship and boat building,56563776
Other_Transportation_Equipment_Manufacturing,Other transportation equipment and railroad rolling stock,36405063
Furniture_and_Related_Products_Manufacturing,Furniture and related product manufacturing,80111599
Medical_and_Dental_Supplies_Manufacturing,Medical equipment and supplies,185239707
Other_Miscellaneous_Manufacturing,Other miscellaneous manufacturing,86285880
Wholesale_Durable_Goods,"Merchant wholesalers, durable goods",2271358758
Wholesale_Nondurable_Goods,"Merchant wholesalers, nondurable goods",3136179195
Motor_Vehicle_and_Parts_Dealers,Motor vehicle dealers and parts dealers,1075080047
Other_Non_Gas_Stations_Retail,Furniture and home furnishings stores,107307299
Other_Non_Gas_Stations_Retail,Electronics and appliance stores,107584761
Other_Non_Gas_Stations_Retail,Building material and garden equipment and supplies dealers,334374753
Food_and_Beverages_Stores,"Food, beverage and liquor stores",729703732
Other_Non_Gas_Stations_Retail,Health and personal care stores,487408697
Gas_Stations,Gasoline stations,353595119
Other_Non_Gas_Stations_Retail,Clothing and clothing accessories stores,251091734
Other_Non_Gas_Stations_Retail,"Sporting goods, hobby, book, and music stores",65638882
General_Merchandise_Stores,General merchandise stores,762034487
Other_Non_Gas_Stations_Retail,Miscellaneous store retailers,156086586
Other_Non_Gas_Stations_Retail,Nonstore retailers,464708321
Air_Transportation,Air transportation,221118090
Rail_Transportation,Rail transportation,60015113
Water_Transportation,Water transportation,25141375
Truck_Transportation,Truck transportation,302024934
Transit_and_Ground_Passenger_Transportation,Transit and ground passenger transportation,35043528
Pipeline_Transportation,Pipeline transportation,8872598
Other_Transportation_and_Support_Activities,Other transportation and support activities,325560807
Warehousing_and_Storage,Warehousing and storage,26885841
Publishing_Industries_(Except_Internet),Publishing industries (except Internet),334294185
Movie_Theaters,Motion picture and video industries (except video rental),58609055
Other_Motion_Picture_and_Sound_Recording,Motion picture and video industries (except video rental),58609055
Other_Motion_Picture_and_Sound_Recording,Sound recording industries,9498888
