detailed_industry,soi_industry,business_receipts
Farms,Agricultural production,141856315
"Forestry,_Fishing,_and_Related_Activites",Forestry and logging,16163701
"Forestry,_Fishing,_and_Related_Activites","Support activities and fishing, hunting, and trapping",48530783
Oil_and_Gas_Extraction,Oil and gas extraction,156327221
Mining_(Except_Oil_and_Gas),Coal mining,11319111
Mining_(Except_Oil_and_Gas),Metal ore mining,33024383
Mining_(Except_Oil_and_Gas),Nonmetallic mineral mining and quarrying,35412519
Support_Activities_For_Mining,Support activities for mining,52206165
Electric_Power_Transmission_and_Distribution,"Electric power generation, transmission, and distribution",279432133
Hydroelectric_Power_Generation,"Electric power generation, transmission, and distribution",279432133
Nuclear_Electric_Power_Generation,"Electric power generation, transmission, and distribution",279432133
"Fossil_Fuel_Electric_Power_Generation,_Combustion","Electric power generation, transmission, and distribution",279432133
Other_Electric_Power_Generation,"Electric power generation, transmission, and distribution",279432133
Natural_Gas_Distribution_and_Transmission,Natural gas distribution,61603975
Water_and_Sewer_Systems,"Water, sewage, and other systems",12906868
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Combination gas and electric,175060068
Construction,Construction,2087948327
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing","Animal food manufacturing, grain and oilseed milling",134692984
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Sugar and confectionery product,36813808
Other_Food_Products_Manufacturing,"Fruit and vegetable preserving, and specialty food",78055222
Other_Food_Products_Manufacturing,Dairy product,63214570
Other_Food_Products_Manufacturing,Meat and seafood processing,174221837
Other_Food_Products_Manufacturing,Bakeries and tortilla manufacturing,45051886
Other_Food_Products_Manufacturing,Other food,163090252
Beverage_and_Tobacco_Products_Manufacturing,Beverage and tobacco product manufacturing,173502506
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile mills,11274967
Other_Textile_and_Textile_Product_Mills,Textile product mills,23893689
Apparel_Manufacturing,Apparel manufacturing,29030915
Leather_and_Allied_Products_Manufacturing,Leather and allied product manufacturing,9058651
Wood_Product_Manufacturing,Wood product manufacturing,106758268
Paper_Manufacturing,Paper manufacturing,140235093
Printing_and_Related_Support_Activities,Printing and related support activities,56442489
Petroleum_Refining,Petroleum refineries (including integrated),832566470
Other_Petroleum_and_Coal_Products_Manufacturing,"Asphalt paving, roofing, other petroleum and coal products",21022364
Chemical_Manufacturing,Chemical manufacturing,891911080
Plastics_and_Rubber_Products_Manufacturing,Plastics and rubber products manufacturing,178105975
Other_Nonmetalic_Mineral_Products_Manufacturing,"Clay, refractory, and other nonmetallic mineral product",21228363
Glass_Products_Manufacturing,Glass and glass product,27280050
Cement_Manufacturing,"Cement, concrete, lime and gypsum product",82235728
Primary_Ferrous_Metal_Manufacturing,"Iron, steel mills and steel product",106414546
Primary_Nonferrous_Metal_Manufacturing,Nonferrous metal production and processing,76774771
Primary_Ferrous_Metal_Manufacturing,Foundries,15660066
Primary_Nonferrous_Metal_Manufacturing,Foundries,15660066
Fabricated_Metal_Product_Manufacturing,Fabricated metal product manufacturing,279547713
Machinery_Manufacturing,Machinery manufacturing,378649649
Computer_and_Electronic_Product_Manufacturing,Computer and electronic product manufacturing,772438036
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing","Electrical equipment, appliance, and component manufacturing",231310914
Motor_Vehicle_and_Parts_Manufacturing,Motor vehicles and parts,762502752
Other_Transportation_Equipment_Manufacturing,Aerospace product and parts,301257432
Ships_and_Boats_Manufacturing,Ship and boat building,54889535
Other_Transportation_Equipment_Manufacturing,Other transportation equipment and railroad rolling stock,33323952
Furniture_and_Related_Products_Manufacturing,Furniture and related product manufacturing,68325227
Medical_and_Dental_Supplies_Manufacturing,Medical equipment and supplies,181351757
Other_Miscellaneous_Manufacturing,Other miscellaneous manufacturing,87915096
Wholesale_Durable_Goods,"Merchant wholesalers, durable goods",2146396564
Wholesale_Nondurable_Goods,"Merchant wholesalers, nondurable goods",2831326322
Motor_Vehicle_and_Parts_Dealers,Motor vehicle dealers and parts dealers,1028691869
Other_Non_Gas_Stations_Retail,Furniture and home furnishings stores,97185161
Other_Non_Gas_Stations_Retail,Electronics and appliance stores,110074717
Other_Non_Gas_Stations_Retail,Building material and garden equipment and supplies dealers,381837443
Food_and_Beverages_Stores,"Food, beverage and liquor stores",788886702
Other_Non_Gas_Stations_Retail,Health and personal care stores,497675650
Gas_Stations,Gasoline stations,273778362
Other_Non_Gas_Stations_Retail,Clothing and clothing accessories stores,176520013
Other_Non_Gas_Stations_Retail,"Sporting goods, hobby, book, and music stores",71322856
General_Merchandise_Stores,General merchandise stores,819946295
Other_Non_Gas_Stations_Retail,Miscellaneous store retailers,163297051
Other_Non_Gas_Stations_Retail,Nonstore retailers,550363404
Air_Transportation,Air transportation,106146891
Rail_Transportation,Rail transportation,52048324
Water_Transportation,Water transportation,16358547
Truck_Transportation,Truck transportation,298069775
Transit_and_Ground_Passenger_Transportation,Transit and ground passenger transportation,22897614
Pipeline_Transportation,Pipeline transportation,8486913
Other_Transportation_and_Support_Activities,Other transportation and support activities,353679808
Warehousing_and_Storage,Warehousing and storage,29451810
Publishing_Industries_(Except_Internet),Publishing industries (except Internet),341523603
Movie_Theaters,Motion picture and video industries (except video rental),27826994
Other_Motion_Picture_and_Sound_Recording,Motion picture and video industries (except video rental),27826994
Other_Motion_Picture_and_Sound_Recording,Sound recording industries,9555809
Broadcasting_(Except_Internet)_and_Telecommunications,Broadcasting (except Internet),134306325
Telephone_Communication,"Telecommunications (including paging, cellular, satellite, cable and Internet service providers)",490949363
Cable_Television,"Telecommunications (including paging, cellular, satellite, cable and Internet service providers)",490949363
Other_Telecommunication,"Telecommunications (including paging, cellular, satellite, cable and Internet service providers)",490949363
Information_and_Data_Processing,"Data processing, hosting, and related services",243611856
Information_and_Data_Processing,Other information services,169291066
Depository_Credit_Intermediation,Depository credit intermediation,30925750
Nondepository_Credit_Intermediation,Credit card issuing and other consumer credit,74771040
Nondepository_Credit_Intermediation,Real estate credit (including mortgage bankers and originators),54165910
Nondepository_Credit_Intermediation,"International, secondary financing, and other nondepository credit intermediation",20635078
Other_Intermediation,"Activities related to credit intermediation  (loan brokers, check clearing, etc.)",89344860
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities","Securities, commodity contracts, other financial investments and related activities",285826164
Insurance_Carriers,Life insurance (Form 1120-L),637592813
Insurance_Carriers,Property and casualty companies (Form 1120-PC),1058207362
Insurance_Agencies_and_Brokers_and_Related_Services,Insurance agencies and brokerages,130231821
Insurance_Agencies_and_Brokers_and_Related_Services,"Other insurance related activities
(including third-party administration of insurance, etc.)",47335748
"Funds,_Trusts,_and_Other_Financial_Vehicles_","Funds, trusts, and other financial vehicles",3842666
Real_Estate,Real estate,218293563
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Rental and leasing services,123220775
Legal_Services,Legal services,127730767
"Other_Professional,_Scientific,_and_Technical_Services","Accounting, tax preparation, bookkeeping, and payroll services",85976231
"Other_Professional,_Scientific,_and_Technical_Services","Architectural, engineering, and related services",270252335
"Other_Professional,_Scientific,_and_Technical_Services",Specialized design services,25838812
Computer_Systems_Design_and_Related_Services,Computer systems design and related services,336543441
"Other_Professional,_Scientific,_and_Technical_Services","Management, scientific, and technical consulting services",315711305
"Other_Professional,_Scientific,_and_Technical_Services",Scientific research and development services,89181669
"Other_Professional,_Scientific,_and_Technical_Services",Advertising and related services,121225497
"Other_Professional,_Scientific,_and_Technical_Services","Other professional, scientific, and technical services",160587859
Management_Of_Companies_and_Enterprises,Management of companies (holding companies),227131469
Administrative_and_Support_Services,Administrative and support services,539435340
Waste_Management_and_Remediation_Services,Waste management and remediation services,83699998
Educational_Services,Educational services,51497426
Ambulatory_Health_Care_Services,Offices of health practitioners and outpatient care centers,834421957
Social_Assistance,Miscellaneous health care and social assistance,145232908
Hospitals,"Hospitals, nursing, and residential care facilities",154852628
Nursing_and_Residential_Care_Facilities,"Hospitals, nursing, and residential care facilities",154852628
"Independent_Artists,_Writers,_and_Performers","Other arts, entertainment, and recreation",56065149
"Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities","Other arts, entertainment, and recreation",56065149
Amusement_Parks,"Amusement, gambling, and recreation industries",48481949
Gambling_and_Bowling,"Amusement, gambling, and recreation industries",48481949
Other_Recreation_Services,"Amusement, gambling, and recreation industries",48481949
Accomodation,Accommodation,66503246
Food_Services_and_Drinking_Places,Food services and drinking places,393597220
Other_Services_(Except_Public_Administration),Other services,242779906
