detailed_industry,soi_industry,business_receipts
"Forestry,_Fishing,_and_Related_Activites","Agriculture, forestry, hunting, and fishing",25372844
Farms,Animal production (including breeding of cats and dogs),0
Oil_and_Gas_Extraction,Oil and gas extraction,5285091
Mining_(Except_Oil_and_Gas),Other mining,671283
Support_Activities_For_Mining,Support activities for mining,2284669
Hydroelectric_Power_Generation,Utilities,679331
Nuclear_Electric_Power_Generation,Utilities,679331
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Utilities,679331
"Fossil_Fuel_Electric_Power_Generation,_Combustion",Utilities,679331
Other_Electric_Power_Generation,Utilities,679331
Electric_Power_Transmission_and_Distribution,Utilities,679331
Natural_Gas_Distribution_and_Transmission,Utilities,679331
Water_and_Sewer_Systems,Utilities,679331
Construction,Construction,320021155
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Food manufacturing,6937762
Other_Food_Products_Manufacturing,Food manufacturing,6937762
Beverage_and_Tobacco_Products_Manufacturing,Food manufacturing,6937762
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile and textile product mills,494293
Other_Textile_and_Textile_Product_Mills,Textile and textile product mills,494293
Apparel_Manufacturing,Apparel,1141223
Leather_and_Allied_Products_Manufacturing,Leather and allied products,200575
Wood_Product_Manufacturing,Wood products,3857749
Paper_Manufacturing,Paper products,365555
Printing_and_Related_Support_Activities,Printing and related support activities,1282033
Petroleum_Refining,Petroleum and coal products,173711
Other_Petroleum_and_Coal_Products_Manufacturing,Petroleum and coal products,173711
Chemical_Manufacturing,Chemical manufacturing,2488634
Plastics_and_Rubber_Products_Manufacturing,Plastic and rubber products,489570
Glass_Products_Manufacturing,Nonmetallic mineral products,1044025
Cement_Manufacturing,Nonmetallic mineral products,1044025
Other_Nonmetalic_Mineral_Products_Manufacturing,Nonmetallic mineral products,1044025
Primary_Ferrous_Metal_Manufacturing,Primary metal industries,410546
Primary_Nonferrous_Metal_Manufacturing,Primary metal industries,410546
Fabricated_Metal_Product_Manufacturing,Fabricated metal products,5509015
Machinery_Manufacturing,Machinery,2146751
Computer_and_Electronic_Product_Manufacturing,Computer and electronic products,643331
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing","Electrical equipment, appliances, and components",799333
Motor_Vehicle_and_Parts_Manufacturing,Transportation equipment,2035395
Other_Transportation_Equipment_Manufacturing,Transportation equipment,2035395
Ships_and_Boats_Manufacturing,Transportation equipment,2035395
Furniture_and_Related_Products_Manufacturing,Furniture and related products,1888381
Medical_and_Dental_Supplies_Manufacturing,Miscellaneous manufacturing,6942285
Other_Miscellaneous_Manufacturing,Miscellaneous manufacturing,6942285
