detailed_industry,soi_industry,business_receipts
"Forestry,_Fishing,_and_Related_Activites","Agriculture, forestry, hunting, and fishing",20908373
Farms,Animal production (including breeding of cats and dogs),0
Oil_and_Gas_Extraction,Oil and gas extraction,10064375
Mining_(Except_Oil_and_Gas),Other mining,978238
Support_Activities_For_Mining,Support activities for mining,3050218
Hydroelectric_Power_Generation,Utilities,789278
Nuclear_Electric_Power_Generation,Utilities,789278
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Utilities,789278
"Fossil_Fuel_Electric_Power_Generation,_Combustion",Utilities,789278
Other_Electric_Power_Generation,Utilities,789278
Electric_Power_Transmission_and_Distribution,Utilities,789278
Natural_Gas_Distribution_and_Transmission,Utilities,789278
Water_and_Sewer_Systems,Utilities,789278
Construction,Construction,188517429
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Food manufacturing,3970679
Other_Food_Products_Manufacturing,Food manufacturing,3970679
Beverage_and_Tobacco_Products_Manufacturing,Food manufacturing,3970679
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile and textile product mills,651497
Other_Textile_and_Textile_Product_Mills,Textile and textile product mills,651497
Apparel_Manufacturing,Apparel,1481320
Leather_and_Allied_Products_Manufacturing,Leather and allied products,74294
Wood_Product_Manufacturing,Wood products,2733216
Paper_Manufacturing,Paper products,0
Printing_and_Related_Support_Activities,Printing and related support activities,3015328
Petroleum_Refining,Petroleum and coal products,69709
Other_Petroleum_and_Coal_Products_Manufacturing,Petroleum and coal products,69709
Chemical_Manufacturing,Chemical manufacturing,732064
Plastics_and_Rubber_Products_Manufacturing,Plastic and rubber products,473190
Glass_Products_Manufacturing,Nonmetallic mineral products,581214
Cement_Manufacturing,Nonmetallic mineral products,581214
Other_Nonmetalic_Mineral_Products_Manufacturing,Nonmetallic mineral products,581214
Primary_Ferrous_Metal_Manufacturing,Primary metal industries,551153
Primary_Nonferrous_Metal_Manufacturing,Primary metal industries,551153
Fabricated_Metal_Product_Manufacturing,Fabricated metal products,3660350
Machinery_Manufacturing,Machinery,2050228
Computer_and_Electronic_Product_Manufacturing,Computer and electronic products,391714
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing","Electrical equipment, appliances, and components",643117
Motor_Vehicle_and_Parts_Manufacturing,Transportation equipment,684027
Other_Transportation_Equipment_Manufacturing,Transportation equipment,684027
Ships_and_Boats_Manufacturing,Transportation equipment,684027
Furniture_and_Related_Products_Manufacturing,Furniture and related products,1527349
Medical_and_Dental_Supplies_Manufacturing,Miscellaneous manufacturing,4202744
Other_Miscellaneous_Manufacturing,Miscellaneous manufacturing,4202744
Wholesale_Durable_Goods,"Durable goods, including machinery, wood, metals, etc.",23406559
Wholesale_Nondurable_Goods,"Nondurable goods, including food, fiber, chemicals, etc.",23266890
Motor_Vehicle_and_Parts_Dealers,Motor vehicle and parts dealers,37661824
Other_Non_Gas_Stations_Retail,Furniture and home furnishing stores,3439546
Other_Non_Gas_Stations_Retail,Electronic stores and household appliance stores,3422732
Other_Non_Gas_Stations_Retail,Building material and garden equipment and supplies dealers,6591738
Food_and_Beverages_Stores,Food and beverage stores,27658417
Other_Non_Gas_Stations_Retail,Health and personal care stores,8498982
Gas_Stations,Gasoline stations,24133643
Other_Non_Gas_Stations_Retail,Clothing and accessories stores,10115969
Other_Non_Gas_Stations_Retail,"Sporting goods, hobby, book, and music stores",6860075
General_Merchandise_Stores,General merchandise stores,2640965
Other_Non_Gas_Stations_Retail,Miscellaneous store retailers,31449075
Other_Non_Gas_Stations_Retail,Nonstore retailers,28416605
Air_Transportation,Air and rail transportation,1692719
Rail_Transportation,Air and rail transportation,1692719
Water_Transportation,Water transportation,1471033
Truck_Transportation,Truck transportation,69647540
Transit_and_Ground_Passenger_Transportation,Other transit and ground transportation,9047087
Pipeline_Transportation,Pipeline transportation,12166
Other_Transportation_and_Support_Activities,Scenic and sightseeing transportation,556511
Other_Transportation_and_Support_Activities,Support activities for transportation (including motor vehicle towing),4406881
Other_Transportation_and_Support_Activities,Couriers and messengers,5497590
Warehousing_and_Storage,Warehousing and storage facilities,659428
Publishing_Industries_(Except_Internet),Publishing industries (except internet),1719959
Movie_Theaters,Motion picture and sound recording,3535784
Other_Motion_Picture_and_Sound_Recording,Motion picture and sound recording,3535784
Broadcasting_(Except_Internet)_and_Telecommunications,Broadcasting (except internet) and telecommunications and internet service providers,4233633
Telephone_Communication,Broadcasting (except internet) and telecommunications and internet service providers,4233633
Cable_Television,Broadcasting (except internet) and telecommunications and internet service providers,4233633
Other_Telecommunication,Broadcasting (except internet) and telecommunications and internet service providers,4233633
Information_and_Data_Processing,"Data processing, internet publishing and broadcasting, and web search portals",2081049
Depository_Credit_Intermediation,Credit intermediation and related activities,3316291
Nondepository_Credit_Intermediation,Credit intermediation and related activities,3316291
Other_Intermediation,Credit intermediation and related activities,3316291
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities","Securities, commodity contracts, and other financial investments",42799507
Insurance_Carriers,"Insurance agents, brokers, and related activities",0
Insurance_Agencies_and_Brokers_and_Related_Services,Insurance agencies and brokerages,24125046
Insurance_Agencies_and_Brokers_and_Related_Services,Other insurance related activities and other financial vehicles,4209726
"Funds,_Trusts,_and_Other_Financial_Vehicles_",Other insurance related activities and other financial vehicles,4209726
Real_Estate,Real estate,57022372
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Rental and leasing services,4747066
Legal_Services,Legal services,40067658
"Other_Professional,_Scientific,_and_Technical_Services",Offices of certified public accountants,4459072
"Other_Professional,_Scientific,_and_Technical_Services",Other accounting services,10372519
"Other_Professional,_Scientific,_and_Technical_Services","Architectural, engineering, and related services",13703529
"Other_Professional,_Scientific,_and_Technical_Services",Specialized design services,7284112
Computer_Systems_Design_and_Related_Services,Computer systems design services,11558165
"Other_Professional,_Scientific,_and_Technical_Services","Other professional, scientific, and technical services",86165166
Management_Of_Companies_and_Enterprises,Administrative and support services,67438150
Administrative_and_Support_Services,Administrative and support services,67438150
Waste_Management_and_Remediation_Services,Waste management and remediation services,1877502
Educational_Services,Educational services,10877777
Ambulatory_Health_Care_Services,Ambulatory health care services,100239487
Nursing_and_Residential_Care_Facilities,Home health care services,7164439
Hospitals,Hospitals,672097
Social_Assistance,Social assistance,16379272
