detailed_industry,soi_industry,business_receipts
Farms,Agricultural production,128014598
"Forestry,_Fishing,_and_Related_Activites",Forestry and logging,12820842
"Forestry,_Fishing,_and_Related_Activites","Support activities and fishing, hunting, and trapping",39827352
Oil_and_Gas_Extraction,Oil and gas extraction,180918832
Mining_(Except_Oil_and_Gas),Coal mining,17152915
Mining_(Except_Oil_and_Gas),Metal ore mining,36533226
Mining_(Except_Oil_and_Gas),Nonmetallic mineral mining and quarrying,32196932
Support_Activities_For_Mining,Support activities for mining,75388143
Electric_Power_Transmission_and_Distribution,"Electric power generation, transmission, and distribution",289382668
Hydroelectric_Power_Generation,"Electric power generation, transmission, and distribution",289382668
Nuclear_Electric_Power_Generation,"Electric power generation, transmission, and distribution",289382668
"Fossil_Fuel_Electric_Power_Generation,_Combustion","Electric power generation, transmission, and distribution",289382668
Other_Electric_Power_Generation,"Electric power generation, transmission, and distribution",289382668
Natural_Gas_Distribution_and_Transmission,Natural gas distribution,66249619
Water_and_Sewer_Systems,"Water, sewage, and other systems",11282967
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Combination gas and electric,173095634
Construction,Construction,1807862538
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing","Animal food manufacturing, grain and oilseed milling",131953872
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Sugar and confectionery product,38825122
Other_Food_Products_Manufacturing,"Fruit and vegetable preserving, and specialty food",80825404
Other_Food_Products_Manufacturing,Dairy product,60480827
Other_Food_Products_Manufacturing,Meat and seafood processing,168314048
Other_Food_Products_Manufacturing,Bakeries and tortilla manufacturing,44194563
Other_Food_Products_Manufacturing,Other food,163338459
Beverage_and_Tobacco_Products_Manufacturing,Beverage and tobacco product manufacturing,170532912
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile mills,18785407
Other_Textile_and_Textile_Product_Mills,Textile product mills,25862115
Apparel_Manufacturing,Apparel manufacturing,31753490
Leather_and_Allied_Products_Manufacturing,Leather and allied product manufacturing,10806474
Wood_Product_Manufacturing,Wood product manufacturing,93478562
Paper_Manufacturing,Paper manufacturing,161971541
Printing_and_Related_Support_Activities,Printing and related support activities,77030028
Petroleum_Refining,Petroleum refineries (including integrated),1273374248
Other_Petroleum_and_Coal_Products_Manufacturing,"Asphalt paving, roofing, other petroleum and coal products",21678452
Chemical_Manufacturing,Chemical manufacturing,908356644
Plastics_and_Rubber_Products_Manufacturing,Plastics and rubber products manufacturing,209722848
Other_Nonmetalic_Mineral_Products_Manufacturing,"Clay, refractory, and other nonmetallic mineral product",25543794
Glass_Products_Manufacturing,Glass and glass product,27782813
Cement_Manufacturing,"Cement, concrete, lime and gypsum product",81041126
Primary_Ferrous_Metal_Manufacturing,"Iron, steel mills and steel product",130869687
Primary_Nonferrous_Metal_Manufacturing,Nonferrous metal production and processing,94894359
Primary_Ferrous_Metal_Manufacturing,Foundries,19958740
Primary_Nonferrous_Metal_Manufacturing,Foundries,19958740
Fabricated_Metal_Product_Manufacturing,Fabricated metal product manufacturing,310280319
Machinery_Manufacturing,Machinery manufacturing,402353421
Computer_and_Electronic_Product_Manufacturing,Computer and electronic product manufacturing,635452891
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing","Electrical equipment, appliance, and component manufacturing",253788393
Motor_Vehicle_and_Parts_Manufacturing,Motor vehicles and parts,957718125
Other_Transportation_Equipment_Manufacturing,Aerospace product and parts,338410791
Ships_and_Boats_Manufacturing,Ship and boat building,45149459
Other_Transportation_Equipment_Manufacturing,Other transportation equipment and railroad rolling stock,35964878
Furniture_and_Related_Products_Manufacturing,Furniture and related product manufacturing,76774934
Medical_and_Dental_Supplies_Manufacturing,Medical equipment and supplies,163409862
Other_Miscellaneous_Manufacturing,Other miscellaneous manufacturing,86555909
Wholesale_Durable_Goods,"Merchant wholesalers, durable goods",2175292575
Wholesale_Nondurable_Goods,"Merchant wholesalers, nondurable goods",2629887930
Motor_Vehicle_and_Parts_Dealers,Motor vehicle dealers and parts dealers,1024308037
Other_Non_Gas_Stations_Retail,Furniture and home furnishings stores,102430074
Other_Non_Gas_Stations_Retail,Electronics and appliance stores,106558344
Other_Non_Gas_Stations_Retail,Building material and garden equipment and supplies dealers,307205110
Food_and_Beverages_Stores,"Food, beverage and liquor stores",754992918
Other_Non_Gas_Stations_Retail,Health and personal care stores,424869137
Gas_Stations,Gasoline stations,333119144
Other_Non_Gas_Stations_Retail,Clothing and clothing accessories stores,244092500
Other_Non_Gas_Stations_Retail,"Sporting goods, hobby, book, and music stores",74242750
General_Merchandise_Stores,General merchandise stores,731986382
Other_Non_Gas_Stations_Retail,Miscellaneous store retailers,144952759
Other_Non_Gas_Stations_Retail,Nonstore retailers,362842122
Air_Transportation,Air transportation,199804733
Rail_Transportation,Rail transportation,56199403
Water_Transportation,Water transportation,25575843
Truck_Transportation,Truck transportation,265052146
Transit_and_Ground_Passenger_Transportation,Transit and ground passenger transportation,30815169
Pipeline_Transportation,Pipeline transportation,9601229
Other_Transportation_and_Support_Activities,Other transportation and support activities,321143463
Warehousing_and_Storage,Warehousing and storage,24262096
Publishing_Industries_(Except_Internet),Publishing industries (except Internet),307110632
Movie_Theaters,Motion picture and video industries (except video rental),115408040
Other_Motion_Picture_and_Sound_Recording,Motion picture and video industries (except video rental),115408040
Other_Motion_Picture_and_Sound_Recording,Sound recording industries,8900393
Broadcasting_(Except_Internet)_and_Telecommunications,Broadcasting (except Internet),123803041
Telephone_Communication,"Telecommunications (including paging, cellular, satellite, cable and Internet service providers)",445997852
Cable_Television,"Telecommunications (including paging, cellular, satellite, cable and Internet service providers)",445997852
Other_Telecommunication,"Telecommunications (including paging, cellular, satellite, cable and Internet service providers)",445997852
Information_and_Data_Processing,"Data processing, hosting, and related services",145404281
Information_and_Data_Processing,Other information services,137545433
Depository_Credit_Intermediation,Depository credit intermediation,29403781
Nondepository_Credit_Intermediation,Credit card issuing and other consumer credit,51695681
Nondepository_Credit_Intermediation,Real estate credit (including mortgage bankers and originators),20500589
Nondepository_Credit_Intermediation,"International, secondary financing, and other nondepository credit intermediation",10704937
Other_Intermediation,"Activities related to credit intermediation  (loan brokers, check clearing, etc.)",58903429
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities","Securities, commodity contracts, other financial investments and related activities",243856367
Insurance_Carriers,Life insurance (Form 1120-L),646110003
Insurance_Carriers,Property and casualty companies (Form 1120-PC),1491076962
Insurance_Agencies_and_Brokers_and_Related_Services,Insurance agencies and brokerages,92034344
Insurance_Agencies_and_Brokers_and_Related_Services,"Other insurance related activities
(including third-party administration of insurance, etc.)",39501652
"Funds,_Trusts,_and_Other_Financial_Vehicles_","Funds, trusts, and other financial vehicles",2133148
Real_Estate,Real estate,187656093
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Rental and leasing services,127821301
Legal_Services,Legal services,129045692
"Other_Professional,_Scientific,_and_Technical_Services","Accounting, tax preparation, bookkeeping, and payroll services",71878269
"Other_Professional,_Scientific,_and_Technical_Services","Architectural, engineering, and related services",270784771
"Other_Professional,_Scientific,_and_Technical_Services",Specialized design services,25162121
Computer_Systems_Design_and_Related_Services,Computer systems design and related services,349527826
"Other_Professional,_Scientific,_and_Technical_Services","Management, scientific, and technical consulting services",319146328
"Other_Professional,_Scientific,_and_Technical_Services",Scientific research and development services,80881008
"Other_Professional,_Scientific,_and_Technical_Services",Advertising and related services,127993799
"Other_Professional,_Scientific,_and_Technical_Services","Other professional, scientific, and technical services",122681036
Management_Of_Companies_and_Enterprises,Management of companies (holding companies),236463178
Administrative_and_Support_Services,Administrative and support services,593579887
Waste_Management_and_Remediation_Services,Waste management and remediation services,90372164
Educational_Services,Educational services,53857449
Ambulatory_Health_Care_Services,Offices of health practitioners and outpatient care centers,537809385
Social_Assistance,Miscellaneous health care and social assistance,131596370
Hospitals,"Hospitals, nursing, and residential care facilities",164468986
Nursing_and_Residential_Care_Facilities,"Hospitals, nursing, and residential care facilities",164468986
"Independent_Artists,_Writers,_and_Performers","Other arts, entertainment, and recreation",77827192
"Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities","Other arts, entertainment, and recreation",77827192
Amusement_Parks,"Amusement, gambling, and recreation industries",64533456
Gambling_and_Bowling,"Amusement, gambling, and recreation industries",64533456
Other_Recreation_Services,"Amusement, gambling, and recreation industries",64533456
Accomodation,Accommodation,106743892
Food_Services_and_Drinking_Places,Food services and drinking places,473497117
Other_Services_(Except_Public_Administration),Other services,250763085
