detailed_industry,soi_industry,business_receipts
Farms,"Agriculture, forestry, fishing, and hunting",32944055
"Forestry,_Fishing,_and_Related_Activites","Agriculture, forestry, fishing, and hunting",32944055
Oil_and_Gas_Extraction,Mining,132046341
Mining_(Except_Oil_and_Gas),Mining,132046341
Support_Activities_For_Mining,Mining,132046341
Hydroelectric_Power_Generation,Utilities,151352178
Nuclear_Electric_Power_Generation,Utilities,151352178
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Utilities,151352178
"Fossil_Fuel_Electric_Power_Generation,_Combustion",Utilities,151352178
Other_Electric_Power_Generation,Utilities,151352178
Electric_Power_Transmission_and_Distribution,Utilities,151352178
Natural_Gas_Distribution_and_Transmission,Utilities,151352178
Water_and_Sewer_Systems,Utilities,151352178
Construction,Construction,296527531
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Manufacturing,887266738
Other_Food_Products_Manufacturing,Manufacturing,887266738
Beverage_and_Tobacco_Products_Manufacturing,Manufacturing,887266738
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Manufacturing,887266738
Other_Textile_and_Textile_Product_Mills,Manufacturing,887266738
Apparel_Manufacturing,Manufacturing,887266738
Leather_and_Allied_Products_Manufacturing,Manufacturing,887266738
Wood_Product_Manufacturing,Manufacturing,887266738
Paper_Manufacturing,Manufacturing,887266738
Printing_and_Related_Support_Activities,Manufacturing,887266738
Petroleum_Refining,Manufacturing,887266738
Other_Petroleum_and_Coal_Products_Manufacturing,Manufacturing,887266738
Chemical_Manufacturing,Manufacturing,887266738
Plastics_and_Rubber_Products_Manufacturing,Manufacturing,887266738
Glass_Products_Manufacturing,Manufacturing,887266738
Cement_Manufacturing,Manufacturing,887266738
Other_Nonmetalic_Mineral_Products_Manufacturing,Manufacturing,887266738
Primary_Ferrous_Metal_Manufacturing,Manufacturing,887266738
Primary_Nonferrous_Metal_Manufacturing,Manufacturing,887266738
Fabricated_Metal_Product_Manufacturing,Manufacturing,887266738
Machinery_Manufacturing,Manufacturing,887266738
Computer_and_Electronic_Product_Manufacturing,Manufacturing,887266738
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing",Manufacturing,887266738
Motor_Vehicle_and_Parts_Manufacturing,Manufacturing,887266738
Ships_and_Boats_Manufacturing,Manufacturing,887266738
Other_Transportation_Equipment_Manufacturing,Manufacturing,887266738
Furniture_and_Related_Products_Manufacturing,Manufacturing,887266738
Medical_and_Dental_Supplies_Manufacturing,Manufacturing,887266738
Other_Miscellaneous_Manufacturing,Manufacturing,887266738
Wholesale_Durable_Goods,Wholesale trade,631587448
Wholesale_Nondurable_Goods,Wholesale trade,631587448
Motor_Vehicle_and_Parts_Dealers,Retail trade,535925791
Food_and_Beverages_Stores,Retail trade,535925791
General_Merchandise_Stores,Retail trade,535925791
Gas_Stations,Retail trade,535925791
Other_Non_Gas_Stations_Retail,Retail trade,535925791
Air_Transportation,Transportation and warehousing,212213818
Rail_Transportation,Transportation and warehousing,212213818
Water_Transportation,Transportation and warehousing,212213818
Truck_Transportation,Transportation and warehousing,212213818
Transit_and_Ground_Passenger_Transportation,Transportation and warehousing,212213818
Pipeline_Transportation,Transportation and warehousing,212213818
Other_Transportation_and_Support_Activities,Transportation and warehousing,212213818
Warehousing_and_Storage,Transportation and warehousing,212213818
Publishing_Industries_(Except_Internet),Information,367222495
Movie_Theaters,Information,367222495
Other_Motion_Picture_and_Sound_Recording,Information,367222495
Broadcasting_(Except_Internet)_and_Telecommunications,Information,367222495
Telephone_Communication,Information,367222495
Cable_Television,Information,367222495
Other_Telecommunication,Information,367222495
Information_and_Data_Processing,Information,367222495
Depository_Credit_Intermediation,Finance and insurance,233994532
Other_Intermediation,Finance and insurance,233994532
Nondepository_Credit_Intermediation,Finance and insurance,233994532
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities",Finance and insurance,233994532
Insurance_Carriers,Finance and insurance,233994532
Insurance_Agencies_and_Brokers_and_Related_Services,Finance and insurance,233994532
"Funds,_Trusts,_and_Other_Financial_Vehicles_",Finance and insurance,233994532
Real_Estate,Real estate and rental and leasing,170737752
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Real estate and rental and leasing,170737752
Legal_Services,"Professional, scientific, and technical services",467373626
Computer_Systems_Design_and_Related_Services,"Professional, scientific, and technical services",467373626
"Other_Professional,_Scientific,_and_Technical_Services","Professional, scientific, and technical services",467373626
Management_Of_Companies_and_Enterprises,Management of companies (holding companies),23357126
Administrative_and_Support_Services,Administrative and support and waste management and remediation services,116883984
Waste_Management_and_Remediation_Services,Administrative and support and waste management and remediation services,116883984
Ambulatory_Health_Care_Services,Health care and social assistance,282174253
Hospitals,Health care and social assistance,282174253
Nursing_and_Residential_Care_Facilities,Health care and social assistance,282174253
Social_Assistance,Health care and social assistance,282174253
"Independent_Artists,_Writers,_and_Performers","Arts, entertainment, and recreation",76325742
"Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities","Arts, entertainment, and recreation",76325742
Amusement_Parks,"Arts, entertainment, and recreation",76325742
Gambling_and_Bowling,"Arts, entertainment, and recreation",76325742
Other_Recreation_Services,"Arts, entertainment, and recreation",76325742
Accomodation,Accommodation and food services,216792213
Food_Services_and_Drinking_Places,Accommodation and food services,216792213
Educational_Services,Educational and Other services,42688888
Other_Services_(Except_Public_Administration),Educational and Other services,42688888
