detailed_industry,soi_industry,business_receipts,remainder,use_total_receipts,weight
Farms,Agricultural production,55504248,NA,NA,NA
"Forestry,_Fishing,_and_Related_Activites",Forestry and logging,4606166,NA,NA,NA
"Forestry,_Fishing,_and_Related_Activites","Support activities and fishing, hunting, and trapping",15937326,NA,NA,NA
Oil_and_Gas_Extraction,Oil and gas extraction,257169182,NA,NA,NA
Mining_(Except_Oil_and_Gas),Coal mining,21870622,NA,NA,NA
Mining_(Except_Oil_and_Gas),Metal ore mining,53145640,NA,NA,NA
Mining_(Except_Oil_and_Gas),Nonmetallic mineral mining and quarrying,20794636,NA,NA,NA
Support_Activities_For_Mining,Support activities for mining,102233001,NA,NA,NA
Electric_Power_Transmission_and_Distribution,"Electric power generation, transmission, and distribution",313010724,NA,NA,NA
Hydroelectric_Power_Generation,"Electric power generation, transmission, and distribution",313010724,NA,NA,NA
Nuclear_Electric_Power_Generation,"Electric power generation, transmission, and distribution",313010724,NA,NA,NA
"Fossil_Fuel_Electric_Power_Generation,_Combustion","Electric power generation, transmission, and distribution",313010724,NA,NA,NA
Other_Electric_Power_Generation,"Electric power generation, transmission, and distribution",313010724,NA,NA,NA
Natural_Gas_Distribution_and_Transmission,Natural gas distribution,75156854,NA,NA,NA
Water_and_Sewer_Systems,"Water, sewage, and other systems",9670415,NA,NA,NA
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Combination gas and electric,184673797,NA,NA,NA
Construction,Construction,454130774,NA,NA,NA
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Animal food manufacturing and grain and oilseed milling,119618996,NA,NA,NA
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Sugar and confectionery product,36267073,NA,NA,NA
Other_Food_Products_Manufacturing,Fruit and vegetable preserving and specialty food manufacturing,44168046,NA,NA,NA
Other_Food_Products_Manufacturing,Dairy product,41559981,NA,NA,NA
Other_Food_Products_Manufacturing,Meat and seafood processing,118204111,NA,NA,NA
Other_Food_Products_Manufacturing,Bakeries and tortilla manufacturing,30555003,NA,NA,NA
Other_Food_Products_Manufacturing,Other food,151492547,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Soft drink and ice,55715360,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Breweries,21026784,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Wineries and distilleries,29822900,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Tobacco manufacturing,NA,239491319,FALSE,NA
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile mills,10928612,NA,NA,NA
Other_Textile_and_Textile_Product_Mills,Textile product mills,13548815,NA,NA,NA
Apparel_Manufacturing,Apparel knitting mills,NA,239491319,FALSE,NA
Apparel_Manufacturing,Cut and sew apparel contractors and manufacturers,16087301,NA,NA,NA
Apparel_Manufacturing,Apparel accessories and other apparel,NA,239491319,FALSE,NA
Leather_and_Allied_Products_Manufacturing,Leather and allied product manufacturing,6464573,NA,NA,NA
Wood_Product_Manufacturing,Wood product manufacturing,44770575,NA,NA,NA
Paper_Manufacturing,"Pulp, paper, and paperboard mills",55975431,NA,NA,NA
Paper_Manufacturing,Converted paper product,84439804,NA,NA,NA
Printing_and_Related_Support_Activities,Printing and related support activities,NA,239491319,FALSE,NA
Petroleum_Refining,Petroleum refineries (including integrated),1997481285,NA,NA,NA
Other_Petroleum_and_Coal_Products_Manufacturing,"Asphalt paving, roofing, other petroleum and coal products",12468902,NA,NA,NA
Chemical_Manufacturing,Basic chemical,227247387,NA,NA,NA
Chemical_Manufacturing,"Resin, synthetic rubber, and artificial and synthetic fibers and filaments",69790619,NA,NA,NA
Chemical_Manufacturing,Pharmaceutical and medicine,350446198,NA,NA,NA
Chemical_Manufacturing,"Paint, coating, and adhesive",49856714,NA,NA,NA
Chemical_Manufacturing,"Soap, cleaning compound, and toilet preparation",92574329,NA,NA,NA
Chemical_Manufacturing,Other chemical product and preparation,66234074,NA,NA,NA
Plastics_and_Rubber_Products_Manufacturing,Plastics product,NA,239491319,FALSE,NA
Plastics_and_Rubber_Products_Manufacturing,Rubber product,NA,239491319,FALSE,NA
Other_Nonmetalic_Mineral_Products_Manufacturing,"Clay, refractory, and other nonmetallic mineral product",15300651,NA,NA,NA
Glass_Products_Manufacturing,Glass and glass product,25786366,NA,NA,NA
Cement_Manufacturing,"Cement, concrete, lime, and gypsum product",50765869,NA,NA,NA
Primary_Ferrous_Metal_Manufacturing,"Iron, steel mills, and steel product",135163652,NA,NA,NA
Primary_Nonferrous_Metal_Manufacturing,Nonferrous metal production and processing,80292652,NA,NA,NA
Primary_Ferrous_Metal_Manufacturing,Foundries,22065218,NA,NA,NA
Primary_Nonferrous_Metal_Manufacturing,Foundries,22065218,NA,NA,NA
Fabricated_Metal_Product_Manufacturing,Forging and stamping,9098950,NA,NA,NA
Fabricated_Metal_Product_Manufacturing,"Cutlery, hardware, spring and wire: machine shops, screw, nut, and bolt",40364451,NA,NA,NA
Fabricated_Metal_Product_Manufacturing,Architectural and structural metals,26079161,NA,NA,NA
Fabricated_Metal_Product_Manufacturing,"Boiler, tank, and shipping container",25342669,NA,NA,NA
Fabricated_Metal_Product_Manufacturing,"Coating, engraving, heat treating, and allied activities",7580360,NA,NA,NA
Fabricated_Metal_Product_Manufacturing,Other fabricated metal product,77534698,NA,NA,NA
Machinery_Manufacturing,"Agriculture, construction, and mining machinery",162690411,NA,NA,NA
Machinery_Manufacturing,Industrial machinery,36724253,NA,NA,NA
Machinery_Manufacturing,Commercial and service industry machinery,34856573,NA,NA,NA
Machinery_Manufacturing,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment",27139302,NA,NA,NA
Machinery_Manufacturing,Metalworking machinery,18636823,NA,NA,NA
