detailed_industry,soi_industry,business_receipts
Farms,Crop production,5044702
Farms,Animal production,7039903
"Forestry,_Fishing,_and_Related_Activites",Forestry and logging,2941030
"Forestry,_Fishing,_and_Related_Activites","Fishing, hunting, and trapping",2441104
"Forestry,_Fishing,_and_Related_Activites",Support activities for agriculture and forestry,11446144
Oil_and_Gas_Extraction,Oil and gas extraction,122294964
Mining_(Except_Oil_and_Gas),Other mining,25112645
Support_Activities_For_Mining,Support activities for mining,14736256
Hydroelectric_Power_Generation,Utilities,189661508
Nuclear_Electric_Power_Generation,Utilities,189661508
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Utilities,189661508
"Fossil_Fuel_Electric_Power_Generation,_Combustion",Utilities,189661508
Other_Electric_Power_Generation,Utilities,189661508
Electric_Power_Transmission_and_Distribution,Utilities,189661508
Natural_Gas_Distribution_and_Transmission,Utilities,189661508
Water_and_Sewer_Systems,Utilities,189661508
Construction,Construction,191670186
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Food manufacturing,82771810
Other_Food_Products_Manufacturing,Food manufacturing,82771810
Beverage_and_Tobacco_Products_Manufacturing,Beverage and tobacco product manufacturing,29144046
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile mills and textile product mills,5482600
Other_Textile_and_Textile_Product_Mills,Textile mills and textile product mills,5482600
Apparel_Manufacturing,Apparel manufacturing,5895118
Leather_and_Allied_Products_Manufacturing,Leather and allied product manufacturing,317586
Wood_Product_Manufacturing,Wood product manufacturing,10452946
Paper_Manufacturing,Paper manufacturing,23627143
Printing_and_Related_Support_Activities,Printing and related support activities,7625024
Petroleum_Refining,Petroleum and coal products manufacturing,456212766
Other_Petroleum_and_Coal_Products_Manufacturing,Petroleum and coal products manufacturing,456212766
Chemical_Manufacturing,Chemical manufacturing,146703891
Plastics_and_Rubber_Products_Manufacturing,Plastics and rubber products manufacturing,18148583
Glass_Products_Manufacturing,Nonmetallic mineral products manufacturing,8141370
Cement_Manufacturing,Nonmetallic mineral products manufacturing,8141370
Other_Nonmetalic_Mineral_Products_Manufacturing,Nonmetallic mineral products manufacturing,8141370
Primary_Ferrous_Metal_Manufacturing,Primary metal manufacturing,37574904
Primary_Nonferrous_Metal_Manufacturing,Primary metal manufacturing,37574904
Fabricated_Metal_Product_Manufacturing,Fabricated metal products manufacturing,25315700
Machinery_Manufacturing,Machinery manufacturing,33000749
Computer_and_Electronic_Product_Manufacturing,Computer and electrical product manufacturing,17560920
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing","Electrical equipment, appliance and component manufacturing",6172957
Motor_Vehicle_and_Parts_Manufacturing,Transportation equipment manufacturing,97861027
Other_Transportation_Equipment_Manufacturing,Transportation equipment manufacturing,97861027
Ships_and_Boats_Manufacturing,Transportation equipment manufacturing,97861027
Furniture_and_Related_Products_Manufacturing,Furniture and related product manufacturing,2475307
Medical_and_Dental_Supplies_Manufacturing,Miscellaneous manufacturing,22121511
Other_Miscellaneous_Manufacturing,Miscellaneous manufacturing,22121511
Wholesale_Durable_Goods,"Merchant wholesalers, durable goods",178506352
Wholesale_Nondurable_Goods,"Merchant wholesalers, nondurable goods",500605737
Motor_Vehicle_and_Parts_Dealers,Motor vehicle and parts dealers,127976423
Other_Non_Gas_Stations_Retail,Furniture and home furnishing stores,12121322
Other_Non_Gas_Stations_Retail,Electronics and appliance stores,6899960
Other_Non_Gas_Stations_Retail,Building materials and garden equipment and supplies dealers,10866923
Food_and_Beverages_Stores,Food and beverage stores,83745302
Other_Non_Gas_Stations_Retail,Health and personal care stores,13979293
Gas_Stations,Gasoline stations,88928195
Other_Non_Gas_Stations_Retail,Clothing and clothing accessories stores,12273352
Other_Non_Gas_Stations_Retail,"Sporting goods, hobby, book, and music stores",5377114
General_Merchandise_Stores,General merchandise stores,10669290
Other_Non_Gas_Stations_Retail,Miscellaneous store retailers,19600038
Other_Non_Gas_Stations_Retail,Nonstore retailers,40555504
Air_Transportation,Air and rail transportation,9325214
Rail_Transportation,Air and rail transportation,9325214
Water_Transportation,Water transportation,7099301
Truck_Transportation,Truck transportation,28178119
Transit_and_Ground_Passenger_Transportation,Other transit and ground passenger transportation,2710444
Pipeline_Transportation,Pipeline transportation,84042980
Other_Transportation_and_Support_Activities,Scenic and sightseeing transportation,464767
Other_Transportation_and_Support_Activities,Support activities for transportation,22329475
Other_Transportation_and_Support_Activities,Couriers and messengers,1531585
Warehousing_and_Storage,Warehousing and storage,12472239
Publishing_Industries_(Except_Internet),Publishing industries (except internet),14993569
Movie_Theaters,Motion picture and sound recording industries,16017700
Other_Motion_Picture_and_Sound_Recording,Motion picture and sound recording industries,16017700
Broadcasting_(Except_Internet)_and_Telecommunications,Broadcasting (except internet),52639813
Telephone_Communication,Tele- communications,190986736
Cable_Television,Tele- communications,190986736
Other_Telecommunication,Tele- communications,190986736
Information_and_Data_Processing,Data processing services,4434658
Information_and_Data_Processing,Other information services,13253092
Depository_Credit_Intermediation,Depository credit intermediation,2063692
Nondepository_Credit_Intermediation,Nondepository credit intermediation,12880549
Other_Intermediation,Activities related to credit intermediation,9587543
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities","Securities, commodity contracts and other financial investments and related activities",148099847
Insurance_Carriers,Insurance carriers and related activities,19161377
Insurance_Agencies_and_Brokers_and_Related_Services,Insurance carriers and related activities,19161377
"Funds,_Trusts,_and_Other_Financial_Vehicles_","Funds, trusts, and other financial vehicles",4510973
Real_Estate,Real estate,91609195
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Rental and leasing services,23088740
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Lessors of nonfinancial intangible assets (except copyrighted works),6249635
Legal_Services,Legal services,138644668
"Other_Professional,_Scientific,_and_Technical_Services","Accounting, tax preparation, bookkeeping and payroll services",62629035
"Other_Professional,_Scientific,_and_Technical_Services","Architectural, engineering and related services",26605863
"Other_Professional,_Scientific,_and_Technical_Services",Specialized design services,2928409
Computer_Systems_Design_and_Related_Services,Computer systems design and related services,24241878
"Other_Professional,_Scientific,_and_Technical_Services","Other professional, scientific, and technical services",128660134
Management_Of_Companies_and_Enterprises,Management of companies (holding companies),15200179
Administrative_and_Support_Services,Administrative and support services,76080936
Waste_Management_and_Remediation_Services,Waste management and remediation services,11122668
Educational_Services,Educational services,4601924
Ambulatory_Health_Care_Services,Offices of physicians and dentists,60176020
Ambulatory_Health_Care_Services,Offices of other health practitioners,9056260
Ambulatory_Health_Care_Services,Outpatient care centers,27617431
Ambulatory_Health_Care_Services,Medical and diagnostic laboratories,12284294
Ambulatory_Health_Care_Services,Home health care services,5896967
Ambulatory_Health_Care_Services,Other ambulatory health care services,1473059
Hospitals,Hospitals,44867842
Nursing_and_Residential_Care_Facilities,Nursing and residential care facilities,50110610
Social_Assistance,Social assistance,2940375
"Independent_Artists,_Writers,_and_Performers","Performing arts, spectator sports and related industries",26001122
"Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities","Performing arts, spectator sports and related industries",26001122
"Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities","Museums, historical sites, and similar institutions",225343
Amusement_Parks,"Amusement, gambling, and recreation industries",26079620
Gambling_and_Bowling,"Amusement, gambling, and recreation industries",26079620
Other_Recreation_Services,"Amusement, gambling, and recreation industries",26079620
Accomodation,Accommodation,62811500
Food_Services_and_Drinking_Places,Food services and drinking places,96473509
Other_Services_(Except_Public_Administration),Other services,25997535
