detailed_industry,soi_industry,business_receipts,remainder,use_total_receipts,weight
Computer_and_Electronic_Product_Manufacturing,"Navigational, measuring, electromedical, and control instruments",100313152,NA,NA,NA
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing",Electrical lighting equipment and household appliance,120963010,NA,NA,NA
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing",Electrical equipment,56118401,NA,NA,NA
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing",Other electrical equipment and component,41042733,NA,NA,NA
Motor_Vehicle_and_Parts_Manufacturing,Motor vehicles and parts,938509649,NA,NA,NA
Other_Transportation_Equipment_Manufacturing,Aerospace product and parts,329718199,NA,NA,NA
Ships_and_Boats_Manufacturing,Ship and boat building,39745260,NA,NA,NA
Other_Transportation_Equipment_Manufacturing,Other transportation equipment and railroad rolling stock,30180520,NA,NA,NA
Furniture_and_Related_Products_Manufacturing,Furniture and related product manufacturing,45921694,NA,NA,NA
Medical_and_Dental_Supplies_Manufacturing,Medical equipment and supplies,132672869,NA,NA,NA
Other_Miscellaneous_Manufacturing,Other miscellaneous manufacturing,51337349,NA,NA,NA
Wholesale_Durable_Goods,Motor vehicle and motor vehicle parts and supplies,252193024,NA,NA,NA
Wholesale_Durable_Goods,Lumber and other construction materials,54392753,NA,NA,NA
Wholesale_Durable_Goods,Professional and commercial equipment and supplies,217839091,NA,NA,NA
Wholesale_Durable_Goods,Metal and mineral (except petroleum),53753428,NA,NA,NA
Wholesale_Durable_Goods,Electrical and electronic goods,358394208,NA,NA,NA
Wholesale_Durable_Goods,"Hardware, plumbing, heating equipment, and supplies",64083493,NA,NA,NA
Wholesale_Durable_Goods,"Machinery, equipment, and supplies",197010680,NA,NA,NA
Wholesale_Durable_Goods,"Furniture, sports, toys, recycle, jewelry, and other durable goods",153684729,NA,NA,NA
Wholesale_Nondurable_Goods,Paper and paper product,31909093,NA,NA,NA
Wholesale_Nondurable_Goods,Drugs and druggists' sundries,693834143,NA,NA,NA
Wholesale_Nondurable_Goods,"Apparel, piece goods, and notions",101727790,NA,NA,NA
Wholesale_Nondurable_Goods,Grocery and related product,461951073,NA,NA,NA
Wholesale_Nondurable_Goods,Farm product raw material,118856053,NA,NA,NA
Wholesale_Nondurable_Goods,Chemical and allied products,52215256,NA,NA,NA
Wholesale_Nondurable_Goods,Petroleum and petroleum products,246468799,NA,NA,NA
Wholesale_Nondurable_Goods,"Beer, wine, and distilled alcoholic beverage",29037504,NA,NA,NA
Wholesale_Nondurable_Goods,Miscellaneous nondurable goods,97941787,NA,NA,NA
Motor_Vehicle_and_Parts_Dealers,New and used car dealers,214811618,NA,NA,NA
Motor_Vehicle_and_Parts_Dealers,Other motor vehicle and parts dealers,72396297,NA,NA,NA
Other_Non_Gas_Stations_Retail,Furniture and home furnishings stores,53989195,NA,NA,NA
Other_Non_Gas_Stations_Retail,Electronics and appliance stores,69912940,NA,NA,NA
Other_Non_Gas_Stations_Retail,Home centers; paint and wallpaper stores,152336708,NA,NA,NA
Other_Non_Gas_Stations_Retail,Hardware stores,5930165,NA,NA,NA
Other_Non_Gas_Stations_Retail,Other building materials dealers,25821567,NA,NA,NA
Other_Non_Gas_Stations_Retail,Lawn and garden equipment and supplies stores,6474758,NA,NA,NA
Food_and_Beverages_Stores,Food and beverage stores,519168747,NA,NA,NA
Food_and_Beverages_Stores,"Beer, wine, and liquor stores",7115824,NA,NA,NA
Other_Non_Gas_Stations_Retail,Health and personal care stores,345496606,NA,NA,NA
Gas_Stations,Gasoline stations,121205017,NA,NA,NA
Other_Non_Gas_Stations_Retail,Clothing and clothing accessories stores,205171179,NA,NA,NA
Other_Non_Gas_Stations_Retail,"Sporting goods, hobby, book, and music stores",51376900,NA,NA,NA
General_Merchandise_Stores,General merchandise stores,716579948,NA,NA,NA
Other_Non_Gas_Stations_Retail,Miscellaneous store retailers,62735873,NA,NA,NA
