detailed_industry,soi_industry,business_receipts,remainder,use_total_receipts,weight
Farms,Agricultural production,54916022,NA,NA,NA
"Forestry,_Fishing,_and_Related_Activites",Forestry and logging,4054236,NA,NA,NA
"Forestry,_Fishing,_and_Related_Activites","Support activities and fishing, hunting and trapping",14702615,NA,NA,NA
Oil_and_Gas_Extraction,Mining,402279537,NA,NA,NA
Mining_(Except_Oil_and_Gas),Mining,402279537,NA,NA,NA
Support_Activities_For_Mining,Mining,402279537,NA,NA,NA
Hydroelectric_Power_Generation,Utilities,498829493,NA,NA,NA
Nuclear_Electric_Power_Generation,Utilities,498829493,NA,NA,NA
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Utilities,498829493,NA,NA,NA
"Fossil_Fuel_Electric_Power_Generation,_Combustion",Utilities,498829493,NA,NA,NA
Other_Electric_Power_Generation,Utilities,498829493,NA,NA,NA
Electric_Power_Transmission_and_Distribution,Utilities,498829493,NA,NA,NA
Natural_Gas_Distribution_and_Transmission,Utilities,498829493,NA,NA,NA
Water_and_Sewer_Systems,Utilities,498829493,NA,NA,NA
Construction,Construction,402752987,NA,NA,NA
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Food manufacturing,524118117,NA,NA,NA
Other_Food_Products_Manufacturing,Food manufacturing,524118117,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Beverage and tobacco product manufacturing,134252962,NA,NA,NA
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile mills and textile product mills,24767936,NA,NA,NA
Other_Textile_and_Textile_Product_Mills,Textile mills and textile product mills,24767936,NA,NA,NA
Apparel_Manufacturing,Apparel manufacturing,32172309,NA,NA,NA
Leather_and_Allied_Products_Manufacturing,Leather and allied product manufacturing,4450503,NA,NA,NA
Wood_Product_Manufacturing,Wood product manufacturing,37666737,NA,NA,NA
Paper_Manufacturing,Paper manufacturing,140117728,NA,NA,NA
Printing_and_Related_Support_Activities,Printing and related support activities,40228384,NA,NA,NA
Petroleum_Refining,Petroleum and coal products manufacturing,2293687585,NA,NA,NA
Other_Petroleum_and_Coal_Products_Manufacturing,Petroleum and coal products manufacturing,2293687585,NA,NA,NA
Chemical_Manufacturing,Chemical manufacturing,805111873,NA,NA,NA
Plastics_and_Rubber_Products_Manufacturing,Plastics and rubber products manufacturing,141608649,NA,NA,NA
Glass_Products_Manufacturing,Nonmetallic mineral product manufacturing,83566541,NA,NA,NA
Cement_Manufacturing,Nonmetallic mineral product manufacturing,83566541,NA,NA,NA
Other_Nonmetalic_Mineral_Products_Manufacturing,Nonmetallic mineral product manufacturing,83566541,NA,NA,NA
Primary_Ferrous_Metal_Manufacturing,Primary metal manufacturing,238206465,NA,NA,NA
Primary_Nonferrous_Metal_Manufacturing,Primary metal manufacturing,238206465,NA,NA,NA
Fabricated_Metal_Product_Manufacturing,Fabricated metal product manufacturing,187768178,NA,NA,NA
Machinery_Manufacturing,Machinery manufacturing,426877328,NA,NA,NA
Computer_and_Electronic_Product_Manufacturing,Computer and electronic product manufacturing,625426452,NA,NA,NA
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing","Electrical equipment, appliance, and component manufacturing",215011230,NA,NA,NA
Motor_Vehicle_and_Parts_Manufacturing,Transportation equipment manufacturing,1020499849,NA,NA,NA
Ships_and_Boats_Manufacturing,Transportation equipment manufacturing,1020499849,NA,NA,NA
Other_Transportation_Equipment_Manufacturing,Transportation equipment manufacturing,1020499849,NA,NA,NA
Furniture_and_Related_Products_Manufacturing,Furniture and related product manufacturing,37607220,NA,NA,NA
Medical_and_Dental_Supplies_Manufacturing,Miscellaneous manufacturing,160329993,NA,NA,NA
Other_Miscellaneous_Manufacturing,Miscellaneous manufacturing,160329993,NA,NA,NA
Wholesale_Durable_Goods,Durable goods,1271244579,NA,NA,NA
Wholesale_Nondurable_Goods,Nondurable goods,1719917893,NA,NA,NA
Motor_Vehicle_and_Parts_Dealers,Motor vehicle dealers and parts dealers,234925340,NA,NA,NA
Other_Non_Gas_Stations_Retail,Furniture and home furnishings stores,44125524,NA,NA,NA
Other_Non_Gas_Stations_Retail,Electronics and appliance stores,66567354,NA,NA,NA
Other_Non_Gas_Stations_Retail,Building material and garden equipment and supplies dealers,152793517,NA,NA,NA
Food_and_Beverages_Stores,"Food, beverage and liquor stores",448471559,NA,NA,NA
Other_Non_Gas_Stations_Retail,Health and personal care stores,268403872,NA,NA,NA
Gas_Stations,Gasoline stations,119259167,NA,NA,NA
Other_Non_Gas_Stations_Retail,Clothing and clothing accessories stores,185235078,NA,NA,NA
Other_Non_Gas_Stations_Retail,"Sporting goods, hobby, book, and music stores",59111140,NA,NA,NA
General_Merchandise_Stores,General merchandise stores,668142983,NA,NA,NA
Other_Non_Gas_Stations_Retail,Miscellaneous store retailers,67042323,NA,NA,NA
Other_Non_Gas_Stations_Retail,Nonstore retailers,148305263,NA,NA,NA
Air_Transportation,"Air, rail, and water transportation",237645736,NA,NA,NA
Rail_Transportation,"Air, rail, and water transportation",237645736,NA,NA,NA
Water_Transportation,"Air, rail, and water transportation",237645736,NA,NA,NA
Truck_Transportation,Truck transportation,117232723,NA,NA,NA
Transit_and_Ground_Passenger_Transportation,Transit and ground passenger transportation,14548709,NA,NA,NA
Pipeline_Transportation,Pipeline transportation,6368433,NA,NA,NA
Other_Transportation_and_Support_Activities,Other transportation and support activities,194163450,NA,NA,NA
Warehousing_and_Storage,Warehousing and storage,14767169,NA,NA,NA
Publishing_Industries_(Except_Internet),Publishing industries (except Internet),193064105,NA,NA,NA
Movie_Theaters,Motion picture and sound recording industries,88288815,NA,NA,NA
Other_Motion_Picture_and_Sound_Recording,Motion picture and sound recording industries,88288815,NA,NA,NA
Broadcasting_(Except_Internet)_and_Telecommunications,Broadcasting (except Internet),96422798,NA,NA,NA
Telephone_Communication,"Telecommunications (including paging, cellular, satellite, cable, etc.)",401715302,NA,NA,NA
Cable_Television,"Telecommunications (including paging, cellular, satellite, cable, etc.)",401715302,NA,NA,NA
Other_Telecommunication,"Telecommunications (including paging, cellular, satellite, cable, etc.)",401715302,NA,NA,NA
Information_and_Data_Processing,"Internet service providers, web search portals, and data processing services",35569400,NA,NA,NA
Information_and_Data_Processing,Other information services,74662677,NA,NA,NA
Depository_Credit_Intermediation,Credit intermediation,127748187,NA,NA,NA
Other_Intermediation,Credit intermediation,127748187,NA,NA,NA
Nondepository_Credit_Intermediation,Credit intermediation,127748187,NA,NA,NA
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities","Securities, commodity contracts, other financial investments, and related activities",156195702,NA,NA,NA
Insurance_Carriers,Insurance carriers and related activities,1742654706,NA,NA,NA
Insurance_Agencies_and_Brokers_and_Related_Services,Insurance carriers and related activities,1742654706,NA,NA,NA
"Funds,_Trusts,_and_Other_Financial_Vehicles_","Funds, trusts, and other financial vehicles",634043,NA,NA,NA
Real_Estate,Real estate,57424744,NA,NA,NA
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Rental and leasing services,84523772,NA,NA,NA
