detailed_industry,soi_industry,business_receipts
"Forestry,_Fishing,_and_Related_Activites","Agriculture, forestry, hunting, and fishing",15699149
Farms,Animal production (including breeding of cats and dogs),0
Oil_and_Gas_Extraction,Oil and gas extraction,7252889
Mining_(Except_Oil_and_Gas),Other mining,716600
Support_Activities_For_Mining,Support activities for mining,2063284
Hydroelectric_Power_Generation,Utilities,216492
Nuclear_Electric_Power_Generation,Utilities,216492
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Utilities,216492
"Fossil_Fuel_Electric_Power_Generation,_Combustion",Utilities,216492
Other_Electric_Power_Generation,Utilities,216492
Electric_Power_Transmission_and_Distribution,Utilities,216492
Natural_Gas_Distribution_and_Transmission,Utilities,216492
Water_and_Sewer_Systems,Utilities,216492
Construction,Construction,172700955
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Food manufacturing,2747196
Other_Food_Products_Manufacturing,Food manufacturing,2747196
Beverage_and_Tobacco_Products_Manufacturing,Food manufacturing,2747196
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile and textile product mills,332827
Other_Textile_and_Textile_Product_Mills,Textile and textile product mills,332827
Apparel_Manufacturing,Apparel,933968
Leather_and_Allied_Products_Manufacturing,Leather and allied products,111031
Wood_Product_Manufacturing,Wood products,2489622
Paper_Manufacturing,Paper products,66624
Printing_and_Related_Support_Activities,Printing and related support activities,2670010
Petroleum_Refining,Petroleum and coal products,61547
Other_Petroleum_and_Coal_Products_Manufacturing,Petroleum and coal products,61547
Chemical_Manufacturing,Chemical manufacturing,1014654
Plastics_and_Rubber_Products_Manufacturing,Plastic and rubber products,353409
Glass_Products_Manufacturing,Nonmetallic mineral products,1147368
Cement_Manufacturing,Nonmetallic mineral products,1147368
Other_Nonmetalic_Mineral_Products_Manufacturing,Nonmetallic mineral products,1147368
Primary_Ferrous_Metal_Manufacturing,Primary metal industries,390596
Primary_Nonferrous_Metal_Manufacturing,Primary metal industries,390596
Fabricated_Metal_Product_Manufacturing,Fabricated metal products,2994047
Machinery_Manufacturing,Machinery,1806160
Computer_and_Electronic_Product_Manufacturing,Computer and electronic products,374952
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing","Electrical equipment, appliances, and components",780356
Motor_Vehicle_and_Parts_Manufacturing,Transportation equipment,741298
Other_Transportation_Equipment_Manufacturing,Transportation equipment,741298
Ships_and_Boats_Manufacturing,Transportation equipment,741298
Furniture_and_Related_Products_Manufacturing,Furniture and related products,1602114
Medical_and_Dental_Supplies_Manufacturing,Miscellaneous manufacturing,3590896
Other_Miscellaneous_Manufacturing,Miscellaneous manufacturing,3590896
Wholesale_Durable_Goods,"Durable goods, including machinery, wood, metals, etc.",18154630
Wholesale_Nondurable_Goods,"Nondurable goods, including food, fiber, chemicals, etc.",19144454
Motor_Vehicle_and_Parts_Dealers,Motor vehicle and parts dealers,34066040
Other_Non_Gas_Stations_Retail,Furniture and home furnishing stores,3749799
Other_Non_Gas_Stations_Retail,Electronic and appliance stores,4182374
Other_Non_Gas_Stations_Retail,Building material and garden equipment and supplies dealers,8133185
Food_and_Beverages_Stores,Food and beverage stores,27835689
Other_Non_Gas_Stations_Retail,Health and personal care stores,8420842
Gas_Stations,Gasoline stations,23435375
