detailed_industry,soi_industry,business_receipts
Farms,Agricultural production,108983081
"Forestry,_Fishing,_and_Related_Activites",Forestry and logging,10813687
"Forestry,_Fishing,_and_Related_Activites","Support activities and fishing, hunting, and trapping",27227741
Oil_and_Gas_Extraction,Oil and gas extraction,187749477
Mining_(Except_Oil_and_Gas),Coal mining,33537150
Mining_(Except_Oil_and_Gas),Metal ore mining,53570826
Mining_(Except_Oil_and_Gas),Nonmetallic mineral mining and quarrying,22344573
Support_Activities_For_Mining,Support activities for mining,78003953
Electric_Power_Transmission_and_Distribution,"Electric power generation, transmission, and distribution",308262448
Hydroelectric_Power_Generation,"Electric power generation, transmission, and distribution",308262448
Nuclear_Electric_Power_Generation,"Electric power generation, transmission, and distribution",308262448
"Fossil_Fuel_Electric_Power_Generation,_Combustion","Electric power generation, transmission, and distribution",308262448
Other_Electric_Power_Generation,"Electric power generation, transmission, and distribution",308262448
Natural_Gas_Distribution_and_Transmission,Natural gas distribution,78411371
Water_and_Sewer_Systems,"Water, sewage, and other systems",9184210
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Combination gas and electric,188736305
Construction,Construction,1066377781
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing","Animal food manufacturing, grain and oilseed milling",121429375
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Sugar and confectionery product,60228481
Other_Food_Products_Manufacturing,"Fruit and vegetable preserving, and specialty food",50856204
Other_Food_Products_Manufacturing,Dairy product,49120428
Other_Food_Products_Manufacturing,Meat and seafood processing,123335687
Other_Food_Products_Manufacturing,Bakeries and tortilla manufacturing,45951653
Other_Food_Products_Manufacturing,Other food,121197136
Beverage_and_Tobacco_Products_Manufacturing,Beverage and tobacco product manufacturing,140064064
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile mills,12259094
Other_Textile_and_Textile_Product_Mills,Textile product mills,21624949
Apparel_Manufacturing,Apparel manufacturing,48630698
Leather_and_Allied_Products_Manufacturing,Leather and allied product manufacturing,7229426
Wood_Product_Manufacturing,Wood product manufacturing,64778200
Paper_Manufacturing,Paper manufacturing,174040170
Printing_and_Related_Support_Activities,Printing and related support activities,73907636
Petroleum_Refining,Petroleum refineries (including integrated),1783351216
Other_Petroleum_and_Coal_Products_Manufacturing,"Asphalt paving, roofing, other petroleum and coal products",15682868
Chemical_Manufacturing,Chemical manufacturing,782683246
Plastics_and_Rubber_Products_Manufacturing,Plastics and rubber products manufacturing,169595318
Other_Nonmetalic_Mineral_Products_Manufacturing,"Clay, refractory, and other nonmetallic mineral product",17533927
Glass_Products_Manufacturing,Glass and glass product,23657842
Cement_Manufacturing,"Cement, concrete, lime and gypsum product",51980810
Primary_Ferrous_Metal_Manufacturing,"Iron, steel mills and steel product",126823269
Primary_Nonferrous_Metal_Manufacturing,Nonferrous metal production and processing,88888696
Primary_Ferrous_Metal_Manufacturing,Foundries,21281444
Primary_Nonferrous_Metal_Manufacturing,Foundries,21281444
Fabricated_Metal_Product_Manufacturing,Fabricated metal product manufacturing,276351715
Machinery_Manufacturing,Machinery manufacturing,358285767
Computer_and_Electronic_Product_Manufacturing,Computer and electronic product manufacturing,610700888
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing","Electrical equipment, appliance, and component manufacturing",234915765
Motor_Vehicle_and_Parts_Manufacturing,Motor vehicles and parts,539648988
Other_Transportation_Equipment_Manufacturing,Aerospace product and parts,294788140
Ships_and_Boats_Manufacturing,Ship and boat building,38362167
Other_Transportation_Equipment_Manufacturing,Other transportation equipment and railroad rolling stock,27099412
Furniture_and_Related_Products_Manufacturing,Furniture and related product manufacturing,51305219
Medical_and_Dental_Supplies_Manufacturing,Medical equipment and supplies,154873904
Other_Miscellaneous_Manufacturing,Other miscellaneous manufacturing,74376339
