detailed_industry,soi_industry,business_receipts
Insurance_Carriers,Life insurance,656678604
Insurance_Carriers,Property and casualty companies (Form 1120-PC),1200978091
Insurance_Agencies_and_Brokers_and_Related_Services,Insurance agencies and brokerages,84981485
Insurance_Agencies_and_Brokers_and_Related_Services,"Other insurance related activities (including third-party administration of insurance, etc.)",37654267
"Funds,_Trusts,_and_Other_Financial_Vehicles_","Funds, trusts, and other financial vehicles",1285083
Real_Estate,Real estate,153034516
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Rental and leasing services,127142134
Legal_Services,Legal services,103437725
"Other_Professional,_Scientific,_and_Technical_Services","Accounting, tax preparation, bookkeeping, and payroll services",60402152
"Other_Professional,_Scientific,_and_Technical_Services","Architectural, engineering, and related services",245295374
"Other_Professional,_Scientific,_and_Technical_Services",Specialized design services,23394208
Computer_Systems_Design_and_Related_Services,Computer systems design and related services,315237427
"Other_Professional,_Scientific,_and_Technical_Services","Management, scientific, and technical consulting services",280649248
"Other_Professional,_Scientific,_and_Technical_Services",Scientific research and development services,54357011
"Other_Professional,_Scientific,_and_Technical_Services",Advertising and related services,105788424
"Other_Professional,_Scientific,_and_Technical_Services","Other professional, scientific, and technical services",107214060
Management_Of_Companies_and_Enterprises,Management of companies (holding companies),189918996
Administrative_and_Support_Services,Administrative and support services,467613656
Waste_Management_and_Remediation_Services,Waste management and remediation services,78987132
Educational_Services,Educational services,61269081
Ambulatory_Health_Care_Services,Offices of health practitioners and outpatient care centers,455879545
Social_Assistance,Miscellaneous health care and social assistance,116871620
Hospitals,"Hospitals, nursing, and residential care facilities",156933162
Nursing_and_Residential_Care_Facilities,"Hospitals, nursing, and residential care facilities",156933162
"Independent_Artists,_Writers,_and_Performers","Other arts, entertainment, and recreation",64432900
"Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities","Other arts, entertainment, and recreation",64432900
Amusement_Parks,"Amusement, gambling, and recreation industries",58082131
Gambling_and_Bowling,"Amusement, gambling, and recreation industries",58082131
Other_Recreation_Services,"Amusement, gambling, and recreation industries",58082131
Accomodation,Accommodation,96440594
Food_Services_and_Drinking_Places,Food services and drinking places,422161762
Other_Services_(Except_Public_Administration),Other services,224783378
