detailed_industry,soi_industry,business_receipts
"Forestry,_Fishing,_and_Related_Activites","Agriculture, forestry, hunting, and fishing",23900795
Farms,Animal production (including breeding of cats and dogs),0
Oil_and_Gas_Extraction,Oil and gas extraction,4193082
Mining_(Except_Oil_and_Gas),Other mining,903744
Support_Activities_For_Mining,Support activities for mining,1847791
Hydroelectric_Power_Generation,Utilities,1009790
Nuclear_Electric_Power_Generation,Utilities,1009790
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Utilities,1009790
"Fossil_Fuel_Electric_Power_Generation,_Combustion",Utilities,1009790
Other_Electric_Power_Generation,Utilities,1009790
Electric_Power_Transmission_and_Distribution,Utilities,1009790
Natural_Gas_Distribution_and_Transmission,Utilities,1009790
Water_and_Sewer_Systems,Utilities,1009790
Construction,Construction,294232197
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Food manufacturing,6795702
Other_Food_Products_Manufacturing,Food manufacturing,6795702
Beverage_and_Tobacco_Products_Manufacturing,Food manufacturing,6795702
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile and textile product mills,494242
Other_Textile_and_Textile_Product_Mills,Textile and textile product mills,494242
Apparel_Manufacturing,Apparel,1254142
Leather_and_Allied_Products_Manufacturing,Leather and allied products,233840
Wood_Product_Manufacturing,Wood products,3403923
Paper_Manufacturing,Paper products,61555
Printing_and_Related_Support_Activities,Printing and related support activities,1775943
Petroleum_Refining,Petroleum and coal products,85191
Other_Petroleum_and_Coal_Products_Manufacturing,Petroleum and coal products,85191
Chemical_Manufacturing,Chemical manufacturing,2178110
Plastics_and_Rubber_Products_Manufacturing,Plastic and rubber products,1032687
Glass_Products_Manufacturing,Nonmetallic mineral products,1102403
Cement_Manufacturing,Nonmetallic mineral products,1102403
Other_Nonmetalic_Mineral_Products_Manufacturing,Nonmetallic mineral products,1102403
Primary_Ferrous_Metal_Manufacturing,Primary metal industries,280033
Primary_Nonferrous_Metal_Manufacturing,Primary metal industries,280033
Fabricated_Metal_Product_Manufacturing,Fabricated metal products,4775990
Machinery_Manufacturing,Machinery,1705318
Computer_and_Electronic_Product_Manufacturing,Computer and electronic products,770866
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing","Electrical equipment, appliances, and components",706201
Motor_Vehicle_and_Parts_Manufacturing,Transportation equipment,1146566
Other_Transportation_Equipment_Manufacturing,Transportation equipment,1146566
Ships_and_Boats_Manufacturing,Transportation equipment,1146566
Furniture_and_Related_Products_Manufacturing,Furniture and related products,1663508
Medical_and_Dental_Supplies_Manufacturing,Miscellaneous manufacturing,6147579
Other_Miscellaneous_Manufacturing,Miscellaneous manufacturing,6147579
Wholesale_Durable_Goods,"Durable goods, including machinery, wood, metals, etc.",21077481
Wholesale_Nondurable_Goods,"Nondurable goods, including food, fiber, chemicals, etc.",23015763
Motor_Vehicle_and_Parts_Dealers,Motor vehicle and parts dealers,41226741
Other_Non_Gas_Stations_Retail,Furniture and home furnishing stores,4999477
Other_Non_Gas_Stations_Retail,Electronic stores and household appliance stores,3677336
Other_Non_Gas_Stations_Retail,Building material and garden equipment and supplies dealers,7580966
Food_and_Beverages_Stores,Food and beverage stores,23399687
Other_Non_Gas_Stations_Retail,Health and personal care stores,8376043
Gas_Stations,Gasoline stations,13859994
Other_Non_Gas_Stations_Retail,Clothing and accessories stores,9975237
Other_Non_Gas_Stations_Retail,"Sporting goods, hobby, book, and music stores",6847901
General_Merchandise_Stores,General merchandise stores,3296568
Other_Non_Gas_Stations_Retail,Miscellaneous store retailers,35697841
Other_Non_Gas_Stations_Retail,Electronic shopping and mail-order houses,14413044
Other_Non_Gas_Stations_Retail,Nonstore retailers,21671636
Air_Transportation,Air and rail transportation,2022809
Rail_Transportation,Air and rail transportation,2022809
Water_Transportation,Water transportation,1037493
Truck_Transportation,Truck transportation,89346568
Transit_and_Ground_Passenger_Transportation,"Taxi, limousine service, and ridesharing service",21383832
