detailed_industry,soi_industry,business_receipts
Farms,Agricultural production,127815924
"Forestry,_Fishing,_and_Related_Activites",Forestry and logging,16193227
"Forestry,_Fishing,_and_Related_Activites","Support activities and fishing, hunting, and trapping",41353728
Oil_and_Gas_Extraction,Oil and gas extraction,234495476
Mining_(Except_Oil_and_Gas),Coal mining,18841775
Mining_(Except_Oil_and_Gas),Metal ore mining,33194978
Mining_(Except_Oil_and_Gas),Nonmetallic mineral mining and quarrying,34105765
Support_Activities_For_Mining,Support activities for mining,90897115
Electric_Power_Transmission_and_Distribution,"Electric power generation, transmission, and distribution",311852507
Hydroelectric_Power_Generation,"Electric power generation, transmission, and distribution",311852507
Nuclear_Electric_Power_Generation,"Electric power generation, transmission, and distribution",311852507
"Fossil_Fuel_Electric_Power_Generation,_Combustion","Electric power generation, transmission, and distribution",311852507
Other_Electric_Power_Generation,"Electric power generation, transmission, and distribution",311852507
Natural_Gas_Distribution_and_Transmission,Natural gas distribution,72085827
Water_and_Sewer_Systems,"Water, sewage, and other systems",12314989
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Combination gas and electric,199595304
Construction,Construction,1942647481
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing","Animal food manufacturing, grain and oilseed milling",132750744
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Sugar and confectionery product,37052349
Other_Food_Products_Manufacturing,"Fruit and vegetable preserving, and specialty food",81774919
Other_Food_Products_Manufacturing,Dairy product,62965414
Other_Food_Products_Manufacturing,Meat and seafood processing,157889073
Other_Food_Products_Manufacturing,Bakeries and tortilla manufacturing,42713619
Other_Food_Products_Manufacturing,Other food,154181751
Beverage_and_Tobacco_Products_Manufacturing,Beverage and tobacco product manufacturing,163819231
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile mills,17784552
Other_Textile_and_Textile_Product_Mills,Textile product mills,24320130
Apparel_Manufacturing,Apparel manufacturing,31912669
Leather_and_Allied_Products_Manufacturing,Leather and allied product manufacturing,10046163
