detailed_industry,soi_industry,business_receipts
"Forestry,_Fishing,_and_Related_Activites","Agriculture, forestry, hunting, and fishing",23126181
Farms,Animal production (including breeding of cats and dogs),0
Oil_and_Gas_Extraction,Oil and gas extraction,5982576
Mining_(Except_Oil_and_Gas),Other mining,707449
Support_Activities_For_Mining,Support activities for mining,3457510
Hydroelectric_Power_Generation,Utilities,919837
Nuclear_Electric_Power_Generation,Utilities,919837
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Utilities,919837
"Fossil_Fuel_Electric_Power_Generation,_Combustion",Utilities,919837
Other_Electric_Power_Generation,Utilities,919837
Electric_Power_Transmission_and_Distribution,Utilities,919837
Natural_Gas_Distribution_and_Transmission,Utilities,919837
Water_and_Sewer_Systems,Utilities,919837
Construction,Construction,265543261
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Food manufacturing,6483663
Other_Food_Products_Manufacturing,Food manufacturing,6483663
Beverage_and_Tobacco_Products_Manufacturing,Food manufacturing,6483663
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile and textile product mills,633891
Other_Textile_and_Textile_Product_Mills,Textile and textile product mills,633891
Apparel_Manufacturing,Apparel,1392252
Leather_and_Allied_Products_Manufacturing,Leather and allied products,166578
Wood_Product_Manufacturing,Wood products,3763571
Paper_Manufacturing,Paper products,190316
Printing_and_Related_Support_Activities,Printing and related support activities,1852591
Petroleum_Refining,Petroleum and coal products,301873
Other_Petroleum_and_Coal_Products_Manufacturing,Petroleum and coal products,301873
Chemical_Manufacturing,Chemical manufacturing,1147904
Plastics_and_Rubber_Products_Manufacturing,Plastic and rubber products,721332
Glass_Products_Manufacturing,Nonmetallic mineral products,829469
Cement_Manufacturing,Nonmetallic mineral products,829469
Other_Nonmetalic_Mineral_Products_Manufacturing,Nonmetallic mineral products,829469
Primary_Ferrous_Metal_Manufacturing,Primary metal industries,508750
Primary_Nonferrous_Metal_Manufacturing,Primary metal industries,508750
Fabricated_Metal_Product_Manufacturing,Fabricated metal products,4160715
Machinery_Manufacturing,Machinery,2054771
Computer_and_Electronic_Product_Manufacturing,Computer and electronic products,574275
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing","Electrical equipment, appliances, and components",1142079
Motor_Vehicle_and_Parts_Manufacturing,Transportation equipment,1512675
Other_Transportation_Equipment_Manufacturing,Transportation equipment,1512675
Ships_and_Boats_Manufacturing,Transportation equipment,1512675
Furniture_and_Related_Products_Manufacturing,Furniture and related products,2423684
Medical_and_Dental_Supplies_Manufacturing,Miscellaneous manufacturing,4996507
Other_Miscellaneous_Manufacturing,Miscellaneous manufacturing,4996507
Wholesale_Durable_Goods,"Durable goods, including machinery, wood, metals, etc.",22003303
Wholesale_Nondurable_Goods,"Nondurable goods, including food, fiber, chemicals, etc.",21359662
Motor_Vehicle_and_Parts_Dealers,Motor vehicle and parts dealers,38893899
Other_Non_Gas_Stations_Retail,Furniture and home furnishing stores,3640381
Other_Non_Gas_Stations_Retail,Electronic stores and household appliance stores,2785192
Other_Non_Gas_Stations_Retail,Building material and garden equipment and supplies dealers,6498911
Food_and_Beverages_Stores,Food and beverage stores,23564902
Other_Non_Gas_Stations_Retail,Health and personal care stores,8457345
Gas_Stations,Gasoline stations,16562541
Other_Non_Gas_Stations_Retail,Clothing and accessories stores,10453017
Other_Non_Gas_Stations_Retail,"Sporting goods, hobby, book, and music stores",6429885
General_Merchandise_Stores,General merchandise stores,2587349
Other_Non_Gas_Stations_Retail,Miscellaneous store retailers,30837440
Other_Non_Gas_Stations_Retail,Electronic shopping and mail-order houses,10301474
Other_Non_Gas_Stations_Retail,Nonstore retailers,19815340
Air_Transportation,Air and rail transportation,2132266
Rail_Transportation,Air and rail transportation,2132266
Water_Transportation,Water transportation,862074
Truck_Transportation,Truck transportation,76370095
Transit_and_Ground_Passenger_Transportation,Taxi and limousine service,21538304
Transit_and_Ground_Passenger_Transportation,Other transit and ground transportation,4957601
Pipeline_Transportation,Pipeline transportation,66733
Other_Transportation_and_Support_Activities,Scenic and sightseeing transportation,658336
Other_Transportation_and_Support_Activities,Support activities for transportation (including motor vehicle towing),5085539
Other_Transportation_and_Support_Activities,Couriers and messengers,6444938
Warehousing_and_Storage,Warehousing and storage facilities,481704
Publishing_Industries_(Except_Internet),Publishing industries (except internet),1685801
Movie_Theaters,Motion picture and sound recording,4266818
Other_Motion_Picture_and_Sound_Recording,Motion picture and sound recording,4266818
Broadcasting_(Except_Internet)_and_Telecommunications,Broadcasting (except internet) and telecommunications and internet service providers,4166520
Telephone_Communication,Broadcasting (except internet) and telecommunications and internet service providers,4166520
Cable_Television,Broadcasting (except internet) and telecommunications and internet service providers,4166520
Other_Telecommunication,Broadcasting (except internet) and telecommunications and internet service providers,4166520
Information_and_Data_Processing,"Data processing, internet publishing and broadcasting, and web search portals",3481926
Depository_Credit_Intermediation,Credit intermediation and related activities,3008193
Nondepository_Credit_Intermediation,Credit intermediation and related activities,3008193
Other_Intermediation,Credit intermediation and related activities,3008193
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities","Securities, commodity contracts, and other financial investments",47100269
Insurance_Carriers,"Insurance agents, brokers, and related activities",0
Insurance_Agencies_and_Brokers_and_Related_Services,Insurance agencies and brokerages,27210286
"Funds,_Trusts,_and_Other_Financial_Vehicles_","Funds, trusts, and other financial vehicles",121559
Real_Estate,Real estate,88013639
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Rental and leasing services,5323004
Legal_Services,Legal services,43621622
"Other_Professional,_Scientific,_and_Technical_Services",Offices of certified public accountants,3963646
"Other_Professional,_Scientific,_and_Technical_Services",Other accounting services,10422122
"Other_Professional,_Scientific,_and_Technical_Services","Architectural, engineering, and related services",16623942
"Other_Professional,_Scientific,_and_Technical_Services",Specialized design services,10377770
Computer_Systems_Design_and_Related_Services,Computer systems design services,12532933
"Other_Professional,_Scientific,_and_Technical_Services","Other professional, scientific, and technical services",102955022
Management_Of_Companies_and_Enterprises,Management of companies and enterprises,400662
Administrative_and_Support_Services,Administrative and support services,81176119
Waste_Management_and_Remediation_Services,Waste management and remediation services,2864512
Educational_Services,Educational services,13700895
Ambulatory_Health_Care_Services,Ambulatory health care services,97582983
Nursing_and_Residential_Care_Facilities,Home health care services,8219796
Hospitals,Hospitals,1296034
Social_Assistance,Social assistance,18317981
"Independent_Artists,_Writers,_and_Performers","Performing arts, spectator sports, and related industries",35095491
"Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities","Performing arts, spectator sports, and related industries",35095491
"Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities","Museums, historical sites, and similar institutions",331375
Amusement_Parks,"Amusement, gambling, and recreation industries",13937111
Gambling_and_Bowling,"Amusement, gambling, and recreation industries",13937111
Other_Recreation_Services,"Amusement, gambling, and recreation industries",13937111
Accomodation,Accommodation,8205401
Food_Services_and_Drinking_Places,Restaurants (full & limited service) and drinking places,60918051
Other_Services_(Except_Public_Administration),Other services,113122996
