detailed_industry,soi_industry,business_receipts,remainder,use_total_receipts,weight
Farms,Agricultural production,64148477,NA,NA,NA
"Forestry,_Fishing,_and_Related_Activites",Forestry and logging,3054327,NA,NA,NA
"Forestry,_Fishing,_and_Related_Activites","Support activities and fishing, hunting, and trapping",15206495,NA,NA,NA
Oil_and_Gas_Extraction,Oil and gas extraction,246940001,NA,NA,NA
Mining_(Except_Oil_and_Gas),Coal mining,NA,79741161,FALSE,NA
Mining_(Except_Oil_and_Gas),Metal ore mining,NA,79741161,FALSE,NA
Mining_(Except_Oil_and_Gas),Nonmetallic mineral mining and quarrying,23673161,NA,NA,NA
Support_Activities_For_Mining,Support activities for mining,40018301,NA,NA,NA
Electric_Power_Transmission_and_Distribution,"Electric power generation, transmission, and distribution",361075522,NA,NA,NA
Hydroelectric_Power_Generation,"Electric power generation, transmission, and distribution",361075522,NA,NA,NA
Nuclear_Electric_Power_Generation,"Electric power generation, transmission, and distribution",361075522,NA,NA,NA
"Fossil_Fuel_Electric_Power_Generation,_Combustion","Electric power generation, transmission, and distribution",361075522,NA,NA,NA
Other_Electric_Power_Generation,"Electric power generation, transmission, and distribution",361075522,NA,NA,NA
Natural_Gas_Distribution_and_Transmission,Natural gas distribution,70446895,NA,NA,NA
Water_and_Sewer_Systems,"Water, sewage, and other systems",11014230,NA,NA,NA
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Combination gas and electric,200276681,NA,NA,NA
Construction,Construction,687121935,NA,NA,NA
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Animal food manufacturing and grain and oilseed milling,157279286,NA,NA,NA
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Sugar and confectionery product,21630414,NA,NA,NA
Other_Food_Products_Manufacturing,Fruit and vegetable preserving and specialty food manufacturing,64899721,NA,NA,NA
Other_Food_Products_Manufacturing,Dairy product,36081804,NA,NA,NA
Other_Food_Products_Manufacturing,Meat and seafood processing,151393305,NA,NA,NA
Other_Food_Products_Manufacturing,Bakeries and tortilla manufacturing,32317431,NA,NA,NA
Other_Food_Products_Manufacturing,Other food,145942420,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Soft drink and ice,54409743,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Breweries,28479994,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Wineries and distilleries,22076583,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Tobacco manufacturing,55176628,NA,NA,NA
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile mills,9875801,NA,NA,NA
Other_Textile_and_Textile_Product_Mills,Textile product mills,17163635,NA,NA,NA
Apparel_Manufacturing,Apparel knitting mills,1947208,NA,NA,NA
Apparel_Manufacturing,Cut and sew apparel contractors and manufacturers,16606471,NA,NA,NA
Apparel_Manufacturing,Apparel accessories and other apparel,372543,NA,NA,NA
Leather_and_Allied_Products_Manufacturing,Leather and allied product manufacturing,6216706,NA,NA,NA
Wood_Product_Manufacturing,Wood product manufacturing,86331115,NA,NA,NA
Paper_Manufacturing,"Pulp, paper, and paperboard mills",56550256,NA,NA,NA
Paper_Manufacturing,Converted paper product,80337588,NA,NA,NA
Printing_and_Related_Support_Activities,Printing and related support activities,29900137,NA,NA,NA
Petroleum_Refining,Petroleum refineries (including integrated),1283039051,NA,NA,NA
Other_Petroleum_and_Coal_Products_Manufacturing,"Asphalt paving, roofing, other petroleum and coal products",17174639,NA,NA,NA
Chemical_Manufacturing,Basic chemical,236632994,NA,NA,NA
Chemical_Manufacturing,"Resin, synthetic rubber, and artificial and synthetic fibers and filaments",55108315,NA,NA,NA
Chemical_Manufacturing,Pharmaceutical and medicine,506234653,NA,NA,NA
Chemical_Manufacturing,"Paint, coating, and adhesive",52766923,NA,NA,NA
Chemical_Manufacturing,"Soap, cleaning compound, and toilet preparation",111148246,NA,NA,NA
Chemical_Manufacturing,Other chemical product and preparation,83630801,NA,NA,NA
Plastics_and_Rubber_Products_Manufacturing,Plastics product,111826660,NA,NA,NA
Plastics_and_Rubber_Products_Manufacturing,Rubber product,57629556,NA,NA,NA
Other_Nonmetalic_Mineral_Products_Manufacturing,"Clay, refractory, and other nonmetallic mineral product",29318797,NA,NA,NA
Glass_Products_Manufacturing,Glass and glass product,19500229,NA,NA,NA
