detailed_industry,soi_industry,business_receipts,remainder,use_total_receipts,weight
Farms,Agricultural production,56993442,NA,NA,NA
"Forestry,_Fishing,_and_Related_Activites",Forestry and logging,3873336,NA,NA,NA
"Forestry,_Fishing,_and_Related_Activites","Support activities and fishing, hunting, and trapping",12168348,NA,NA,NA
Oil_and_Gas_Extraction,Oil and gas extraction,170193844,NA,NA,NA
Mining_(Except_Oil_and_Gas),Coal mining,NA,49735216,FALSE,NA
Mining_(Except_Oil_and_Gas),Metal ore mining,NA,49735216,FALSE,NA
Mining_(Except_Oil_and_Gas),Nonmetallic mineral mining and quarrying,21995497,NA,NA,NA
Support_Activities_For_Mining,Support activities for mining,56252710,NA,NA,NA
Electric_Power_Transmission_and_Distribution,"Electric power generation, transmission, and distribution",286939165,NA,NA,NA
Hydroelectric_Power_Generation,"Electric power generation, transmission, and distribution",286939165,NA,NA,NA
Nuclear_Electric_Power_Generation,"Electric power generation, transmission, and distribution",286939165,NA,NA,NA
"Fossil_Fuel_Electric_Power_Generation,_Combustion","Electric power generation, transmission, and distribution",286939165,NA,NA,NA
Other_Electric_Power_Generation,"Electric power generation, transmission, and distribution",286939165,NA,NA,NA
Natural_Gas_Distribution_and_Transmission,Natural gas distribution,62142843,NA,NA,NA
Water_and_Sewer_Systems,"Water, sewage, and other systems",9201078,NA,NA,NA
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Combination gas and electric,173095634,NA,NA,NA
Construction,Construction,524931878,NA,NA,NA
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Animal food manufacturing and grain and oilseed milling,115228583,NA,NA,NA
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Sugar and confectionery product,32863728,NA,NA,NA
Other_Food_Products_Manufacturing,Fruit and vegetable preserving and specialty food manufacturing,69113984,NA,NA,NA
Other_Food_Products_Manufacturing,Dairy product,42492074,NA,NA,NA
Other_Food_Products_Manufacturing,Meat and seafood processing,119655142,NA,NA,NA
Other_Food_Products_Manufacturing,Bakeries and tortilla manufacturing,29832004,NA,NA,NA
Other_Food_Products_Manufacturing,Other food,137862759,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Soft drink and ice,49905990,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Breweries,19400170,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Wineries and distilleries,33160662,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Tobacco manufacturing,49867660,NA,NA,NA
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile mills,11678863,NA,NA,NA
Other_Textile_and_Textile_Product_Mills,Textile product mills,16245863,NA,NA,NA
Apparel_Manufacturing,Apparel knitting mills,NA,2649996,FALSE,NA
