detailed_industry,soi_industry,business_receipts
"Forestry,_Fishing,_and_Related_Activites","Agriculture, forestry, hunting, and fishing",17590294
Farms,Animal production (including breeding of cats and dogs),0
Oil_and_Gas_Extraction,Oil and gas extraction,13944820
Mining_(Except_Oil_and_Gas),Coal mining,354224
Mining_(Except_Oil_and_Gas),Metal ore mining,57369
Mining_(Except_Oil_and_Gas),Nonmetallic mineral mining and quarrying,652198
Support_Activities_For_Mining,Support activities for mining,2644392
Hydroelectric_Power_Generation,Utilities,321981
Nuclear_Electric_Power_Generation,Utilities,321981
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Utilities,321981
"Fossil_Fuel_Electric_Power_Generation,_Combustion",Utilities,321981
Other_Electric_Power_Generation,Utilities,321981
Electric_Power_Transmission_and_Distribution,Utilities,321981
Natural_Gas_Distribution_and_Transmission,Utilities,321981
Water_and_Sewer_Systems,Utilities,321981
Construction,Construction,206688428
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Food manufacturing,4156833
Other_Food_Products_Manufacturing,Food manufacturing,4156833
Beverage_and_Tobacco_Products_Manufacturing,Food manufacturing,4156833
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile and textile product mills,342315
Other_Textile_and_Textile_Product_Mills,Textile and textile product mills,342315
Apparel_Manufacturing,Apparel,875515
Leather_and_Allied_Products_Manufacturing,Leather and allied products,61881
Wood_Product_Manufacturing,Wood products,2332029
Paper_Manufacturing,Paper products,28050
Printing_and_Related_Support_Activities,Printing and related support activities,2566657
Petroleum_Refining,Petroleum and coal products,99206
Other_Petroleum_and_Coal_Products_Manufacturing,Petroleum and coal products,99206
Chemical_Manufacturing,Chemical manufacturing,1081306
Plastics_and_Rubber_Products_Manufacturing,"Plastics, rubber, clay, refractory, and glass products",378462
Glass_Products_Manufacturing,Nonmetallic mineral products,713751
Cement_Manufacturing,Nonmetallic mineral products,713751
Other_Nonmetalic_Mineral_Products_Manufacturing,Nonmetallic mineral products,713751
Primary_Ferrous_Metal_Manufacturing,Primary metal industries,602321
Primary_Nonferrous_Metal_Manufacturing,Primary metal industries,602321
Fabricated_Metal_Product_Manufacturing,Fabricated metal products,3734667
Machinery_Manufacturing,Machinery,3051994
Computer_and_Electronic_Product_Manufacturing,Computer and electronic products,413813
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing","Electrical equipment, appliances, and components",500680
Motor_Vehicle_and_Parts_Manufacturing,Transportation equipment,936764
Other_Transportation_Equipment_Manufacturing,Transportation equipment,936764
Ships_and_Boats_Manufacturing,Transportation equipment,936764
Furniture_and_Related_Products_Manufacturing,Furniture and related products,2486626
Medical_and_Dental_Supplies_Manufacturing,Medical equipment and supplies,646131
Other_Miscellaneous_Manufacturing,Other miscellaneous manufacturing,3100965
Wholesale_Durable_Goods,"Durable goods, including machinery, wood, metals, etc.",23705289
Wholesale_Nondurable_Goods,"Nondurable goods, including food, fiber, chemicals, etc.",22368567
Motor_Vehicle_and_Parts_Dealers,Motor vehicle and parts dealers,39539674
Other_Non_Gas_Stations_Retail,Furniture and home furnishing stores,4331050
Other_Non_Gas_Stations_Retail,Electronic and appliance stores,4836187
Other_Non_Gas_Stations_Retail,Building material and garden equipment and supplies dealers,8367667
Food_and_Beverages_Stores,Food and beverage stores,28514563
Other_Non_Gas_Stations_Retail,Health and personal care stores,8894781
Gas_Stations,Gasoline stations,28899287
Other_Non_Gas_Stations_Retail,Clothing and accessories stores,11609824
