id,tax_law,years,start_year,expensing_takeup,usage,nol_schedule,investment_shifting
baseline,baseline_cprates,2022:2056,2026,baseline,baseline,baseline,baseline
temp4_bonus_cprates,temp4_bonus_cprates_2026,2022:2056,2026,baseline,baseline,baseline,baseline
temp4_bonus_r&d_cprates,temp4_bonus_r&d_cprates_2026,2022:2056,2026,baseline,baseline,baseline,baseline
temp4_bonus_r&d_factories_cprates,temp4_bonus_r&d_factories_cprates_2026,2022:2056,2026,baseline,baseline,baseline,baseline
