id,tax_law,years,start_year,expensing_takeup,usage,nol_schedule,investment_shifting
baseline,baseline,2022:2056,2026,baseline,baseline,baseline,baseline
expensing,perm_expensing_2025,2022:2056,2026,full_2025,baseline,baseline,baseline
