asset_class,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Construction_tractors,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606,1.9924606
Mining_and_oilfield_machinery,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309,1.841309
Service_industry_machinery,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754,1.9568754
Household_appliances,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057,1.9980057
Other_electrical_equipment,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795,1.8280795
Other_nonresidential_equipment,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029,1.9441029
Office_and_medical_buildings,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671,1.006671
Hospitals_and_special_care_facilities,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Warehouses,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mobile_structures,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Other_commercial_buildings,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887,1.1285887
Manufacturing_buildings,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Electric_power_structures,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152,1.5006152
Wind_and_solar_power_structures,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Gas_power_structures,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912,1.5044912
Petroleum_pipelines,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739,1.5514739
Communication_structures,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224,1.5503224
Depreciable_petroleum_and_natural_gas_structures,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Depreciable_mining_structures,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Religious_buildings,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Educational_and_vocational_buildings,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lodging_buildings,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Amusement_and_recreation_buildings,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156,1.0648156
Track_replacement,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Other_railroad_structures,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Other_transportation_structures,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Farm_buildings,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Water_supply_and_sewer_and_waste_disposal_facilities,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Public_safety_highways_conservation_and_development,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665,1.5197665
Prepackaged_software,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Custom_software,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Own_account_software,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Research_and_development,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Theatrical_movies,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Long_lived_television_programs,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247,1.7807247
Books,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255,1.2088255
Music,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315,2.0830315
Other_entertainment_originals,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103,1.0610103
Residential_equipment,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Residential_buildings,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
