asset_class,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Computers_and_peripheral_equipment,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Communication_equipment,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858,6.8626858
Nonelectronic_medical_instruments,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008,5.153008
Electronic_medical_instruments,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639,5.0372639
Nonmedical_instruments,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132,7.2204132
Photocopy_and_related_equipment,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Office_and_accounting_equipment,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Nuclear_fuel,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Other_fabricated_metal_products,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437,6.8707437
Steam_engines,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
