form,year,bonus_takeup,s179_takeup
ccorp,2000,0.6,0.5
ccorp,2001,0.6,0.5
ccorp,2002,0.6,0.5
ccorp,2003,0.6,0.5
ccorp,2004,0.6,0.5
ccorp,2005,0.6,0.5
ccorp,2006,0.6,0.5
ccorp,2007,0.6,0.5
ccorp,2008,0.6,0.5
ccorp,2009,0.6,0.5
ccorp,2010,0.6,0.5
ccorp,2011,0.6,0.5
ccorp,2012,0.6,0.5
ccorp,2013,0.6,0.5
ccorp,2014,0.6,0.5
ccorp,2015,0.6,0.5
ccorp,2016,0.6,0.5
ccorp,2017,0.6,0.5
ccorp,2018,0.6,0.5
ccorp,2019,0.6,0.5
ccorp,2020,0.6,0.5
ccorp,2021,0.6,0.5
ccorp,2022,0.6,0.5
ccorp,2023,1,1
pt,2000,0.8,0.7
pt,2001,0.8,0.7
pt,2002,0.8,0.7
pt,2003,0.8,0.7
pt,2004,0.8,0.7
pt,2005,0.8,0.7
pt,2006,0.8,0.7
pt,2007,0.8,0.7
pt,2008,0.8,0.7
pt,2009,0.8,0.7
pt,2010,0.8,0.7
pt,2011,0.8,0.7
pt,2012,0.8,0.7
pt,2013,0.8,0.7
pt,2014,0.8,0.7
pt,2015,0.8,0.7
pt,2016,0.8,0.7
pt,2017,0.8,0.7
pt,2018,0.8,0.7
pt,2019,0.8,0.7
pt,2020,0.8,0.7
pt,2021,0.8,0.7
pt,2022,0.8,0.7
pt,2023,1,1
