year,Aircraft,Autos,Communication_equipment,Computers_and_peripheral_equipment,Construction_tractors,Electric_transmission_distribution_and_industrial_apparatus,Electronic_medical_instruments,Farm_tractors,General_industrial_equipment,Household_appliances,Household_furniture,Internal_combustion_engines,Light_trucks_(including_utility_vehicles),Metalworking_machinery,Mining_and_oilfield_machinery,Nonelectronic_medical_instruments,Nonmedical_instruments,Nuclear_fuel,Office_and_accounting_equipment,Other_agricultural_machinery,Other_construction_machinery,Other_electrical_equipment,Other_fabricated_metal_products,Other_furniture_and_fixtures,Other_nonresidential_equipment,Other_trucks_buses_and_truck_trailers,Photocopy_and_related_equipment,Railroad_equipment,Service_industry_machinery,Ships_and_boats,Special_industrial_machinery,Steam_engines,Equipment_nonresidential,Books,Custom_software,Long_lived_television_programs,Music,Other_entertainment_originals,Own_account_software,Prepackaged_software,Research_and_development,Theatrical_movies,Intelectual_property,Amusement_and_recreation_buildings,Communication_structures,Depreciable_mining_structures,Depreciable_petroleum_and_natural_gas_structures,Educational_and_vocational_buildings,Electric_power_structures,Farm_buildings,Gas_power_structures,Hospitals_and_special_care_facilities,Lodging_buildings,Manufacturing_buildings,Mobile_structures,Office_and_medical_buildings,Other_commercial_buildings,Other_railroad_structures,Other_transportation_structures,Petroleum_pipelines,Public_safety_highways_conservation_and_development,Religious_buildings,Track_replacement,Warehouses,Water_supply_and_sewer_and_waste_disposal_facilities,Wind_and_solar_power_structures,Structures_nonresidential,Nonresidential,Residential,Residential_equipment,Residential_buildings,Owner_occupied,Tenant_occupied
2023,52.01341837904961,15.684173491810963,163.18994076881924,158.69118139180188,4.7804382445385345,65.13848122387101,69.0557883665902,12.891268818272986,124.8251235365115,1.6373408474301117,5.546409250733712,5.365438890264758,150.4464252706143,42.36967701064879,35.07146155335286,67.66308574533461,46.16536411485399,2.5009464499081373,5.709464584955692,32.06783347130497,46.1637244705939,9.873570355737403,24.93216681351569,55.61681342265024,94.13281614122808,68.28538673401344,10.127905831417893,12.638512359050358,41.7373267363434,7.780212433396534,56.77145661653628,6.917872546106549,1495.8053596495827,11.753263595335307,243.77160020642842,63.41670708991634,11.209181813519294,5.065417059573325,93.03834194110044,278.01449590459293,724.4330349497079,24.36519726881485,1455.0625467985421,22.338255416192716,29.112616246030107,11.781550098536345,101.3061994695427,24.1434310187292,62.06286073275744,10.353270259180057,22.68853011297001,35.38861557320382,39.997522491624785,103.62528713700495,0.5893620992002604,126.7944961537407,46.95155082061212,2.1557441010683442,9.033894016706512,7.120060493807619,1.010069101638577,4.195516327075482,9.849058635004674,55.92593333794117,1.6083302685363698,37.19459930671027,765.2320935518752,3716.1,1074.2,19.96148168774526,1054.1676659045909,875.545324882809,206.26960137766505
2024,54.47545123415976,16.42657711851895,170.91446663766973,166.20276041465323,5.006718238945124,68.22178330058556,72.32451449712578,13.501471499883873,130.7336672328793,1.7148436743354578,5.808946154262697,5.619409639382805,157.56774229790128,44.37522750341625,36.73155414699533,70.86588889449754,48.35058182907127,2.619327677684258,5.979719642810354,33.58575061766878,48.34886457295322,10.340931574642763,26.112320238476645,58.249411436978214,98.58855262820153,71.51764623362673,10.607305911003051,13.236750922048383,43.71294520003458,8.148485452700227,59.45870917132456,7.245327076625141,1566.608664932638,12.309599287706202,255.310424370555,66.41850972631372,11.739763628055513,5.305186403987886,97.44227196113208,291.1741928529038,758.7237620150867,25.518513433499475,1523.9373085062098,23.39562715745595,30.49064945226156,12.339224720406731,106.10148498034505,25.286249973061555,65.00057963238125,10.843337867314869,23.762481956803985,37.06372051637719,41.89078806743728,108.53034566809916,0.6172593014416763,132.7962592584588,49.17398234542191,2.257785323688274,9.461509516165266,7.4570855041304736,1.0578802894371362,4.394109293339193,10.315259602120015,58.5731634109058,1.6844598921298004,38.955189715485695,801.4540265611524,3892,1158.1,21.520565949150793,1136.5030477416742,943.9294737914552,222.38021351282245
2025,56.72753245296149,17.10567173783285,177.9802779639804,173.07378409161052,5.2137020428110725,71.0421545577963,75.3144976375645,14.059638705518847,136.1383555827689,1.7857373914990178,6.049095033045037,5.851722848780722,164.08178385384483,46.209753224202395,38.25008114140734,73.79557068358405,50.349453518767454,2.727613860453887,6.2269285047137934,34.97422627912379,50.3476652691989,10.768438226842152,27.19183522469733,60.65751274741238,102.66432295653595,74.47427246152769,11.045824801311477,13.78397425795732,45.520091367219976,8.485353723342433,61.91680431666529,7.544857684700421,1631.3741670363538,12.818493050653768,265.8652669402421,69.1643314670547,12.225099693768291,5.524509243762205,101.47065365654475,303.21168710522454,790.090322474549,26.573479726266708,1586.9387249858214,24.362830757053757,31.75116987797299,12.849343234670206,110.48784904338142,26.331614212698142,67.68778242345272,11.291614604943584,24.744851778707826,38.59597967133225,43.62260404895081,113.01712177755373,0.6427775495408453,138.28621766408216,51.20689441103815,2.351124907085356,9.85265979395329,7.7653704624076045,1.101614343540537,4.575767100455914,10.741704943841782,60.99464902057043,1.7540975068892262,40.56564450099999,834.587107977825,4052.9,1272.6,23.648279273714966,1248.8677821915678,1037.254682969524,244.3666865697417
2026,58.66748557245135,17.69064696615421,184.06680033704848,178.9925154876719,5.3919988434066,73.4716353300114,77.89008286605927,14.540446503536293,140.79397898422755,1.8468055655131221,6.255960381704032,6.051838515794714,169.69300920905786,47.79002211730966,39.558147278296744,76.31921205069025,52.0712907853423,2.820892076313866,6.439875355303083,36.17026559968106,52.069441381688954,11.13669442320533,28.121734398657466,62.7318622913911,106.1752102623604,77.02112389214966,11.423566990228492,14.255354956260483,47.07677538693344,8.775533600974564,64.03421877996065,7.80287472807664,1687.1634684134513,13.25685647852532,274.9572568728626,71.52959494291983,12.643170412896886,5.713434946638032,104.94072017602392,313.5808400161732,817.1096219132157,27.482232542783414,1641.208434893057,25.195984386042294,32.83698796997799,13.288761668958072,114.26628322073903,27.232095776487025,70.00255126647636,11.677762248419905,25.591069661342214,39.91587475446942,45.114398300273216,116.88205135350401,0.6647590858152072,143.01529308371792,52.95805421398663,2.431528053504471,10.18959844219083,8.030928543310093,1.1392870588838018,4.732247970974107,11.109046922478429,63.08052786146239,1.8140836685154313,41.95289765993275,863.1280966934919,4191.5,1425.4,26.487708059683573,1398.8182749771026,1161.796970850825,273.70758685880077
2027,60.678822248286075,18.297147256989554,190.3772856545801,185.12903570133727,5.576856348785946,75.99051258085778,80.56044071118696,15.03894636338555,145.62091320348878,1.9101208368394338,6.470437658776886,6.259317746313549,175.51070822452763,49.42843943289057,40.9143457189245,78.93571468022243,53.856485700254304,2.917602607476052,6.660657912515787,37.410315025107316,53.85457289225766,11.518501172248538,29.0858506417893,64.88254071469372,109.8152860621221,79.6616906351538,11.815208783499596,14.744080831773934,48.69073998745886,9.0763910931516,66.22954676246819,8.070385905083585,1745.005622871524,13.711350162400802,284.3838005475925,73.98189192330813,13.076624686625452,5.909312461091542,108.53847312587352,324.3315418437586,845.123137997894,28.424424315752034,1697.4750821778314,26.059795183197078,33.96276040735979,13.744349179832286,118.18375069033706,28.165711943272466,72.40249558640781,12.078118787868299,26.46842543143284,41.28433740560082,46.66108541365727,120.88919695281177,0.6875494664979329,147.9183821010459,54.77365063306091,2.514889757259354,10.538935265796418,8.306258241908127,1.1783459996834207,4.894486795602279,11.489905813748893,65.24315981987637,1.876277113145198,43.3911969307743,892.7192949506443,4335.2,1531.1,28.451894071966827,1502.5471171723318,1247.949587533112,294.00426984671657
2028,62.57398568536348,18.86861656373351,196.32328225857307,190.9111152902746,5.7510366287328045,78.36390144491207,83.07656076846108,15.508653259861472,150.16904746436543,1.9697790674419575,6.6725268954899315,6.454813138187248,180.99238147918743,50.9722230413085,42.19221119464474,81.40109015717901,55.53856914826465,3.008727213734647,6.86868824130215,38.57874016221738,55.536596598110144,11.878255061047776,29.994280282151518,66.90899762850843,113.24511392077024,82.14974030114381,12.184229652037576,15.204578281631425,50.21148325058443,9.359871291069279,68.2980743117481,8.322445845005232,1799.5068595703628,14.139592645328714,293.2658744067326,76.29254614143323,13.485042979338381,6.093876242977452,111.92842266943398,334.46129151289614,871.5186152272987,29.312195826259703,1750.4918117697487,26.873712941963664,35.02350910618719,14.173622311164012,121.87494829217128,29.045403167926256,74.6638209929403,12.455351045636654,27.29510581605547,42.573758720584756,48.11843708486257,124.66489294547897,0.7090234925552822,152.53827251820812,56.4843796180481,2.593436553977595,10.868094666744204,8.565685111707529,1.215148926505052,5.047354832169115,11.84876659230158,67.28087984193101,1.9348783128868157,44.746421156744695,920.6013286598891,4470.6,1588.4,29.516679866705058,1558.7785519669076,1294.6529454886,305.0071074551137
2029,64.38096943519133,19.413496087371946,201.99261875469924,196.4241616339364,5.9171125086525915,80.62685936477476,85.4756087698945,15.956505256427505,154.5055624797212,2.0266614719529303,6.865213161809384,6.64121236337849,186.21899903588294,52.44417624549427,43.41061911868818,83.75175466290348,57.14238726597613,3.095611901090514,7.067039167788999,39.69279987566574,57.14035775339489,12.221270031830503,30.860441778242812,68.84116592668774,116.51535599278996,84.52202399301461,12.536080421079326,15.643649336111496,51.66146814917756,9.630161494549135,70.27035574906002,8.562777737500685,1851.4722189338784,14.547909517898821,301.73467599620807,78.49568838338263,13.874458057545462,6.26985249291446,115.16064191665447,344.11971604971774,896.6859424822184,30.15866039056206,1801.041736365882,27.649760081230763,36.034902437196166,14.582921877300832,125.39439888594376,29.884163412407815,76.81992963388079,12.815031137792445,28.08332175146744,43.803184804516995,49.50797992646229,128.26491032105747,0.7294983578728875,156.94320496175052,58.11551043017399,2.668328662222239,11.181938674590281,8.813041159647723,1.2502394571747162,5.193110101894215,12.19093000818896,69.22378718939963,1.9907528689181508,46.03858842094541,947.1860447002397,4599.7,1635.1,30.38448958074127,1604.6076620001827,1332.716589755987,313.9745161167568
2030,66.35451481649054,20.00860075687636,208.1845354545737,202.44538188534085,6.098496699734622,83.09840906811047,88.09579287680477,16.445638730601097,159.24180273661636,2.088787103525721,7.075660594427843,6.844793236747703,191.92738846651093,54.05180910211855,44.74133575145446,86.31909544762192,58.89403989647435,3.1905053241515318,7.283673409730484,40.90954983380842,58.89194817086313,12.595902958866636,31.806443102401396,70.95143494328947,120.08703788399664,87.11297674711055,12.920363600280618,16.12319247074891,53.245107736331946,9.925366131967102,72.42443539786699,8.825262608467833,1908.2275688196703,14.993863654478107,310.98410298393884,80.90190880255278,14.29976809648581,6.462049636532726,118.69079616807267,354.6684213920249,924.1731085778317,31.08314918658555,1856.2511815096063,28.497340612885772,37.13952257408437,15.029949288805804,129.23826049494392,30.800237730548023,79.17478105427281,13.207865320549741,28.944192757610647,45.1459352137691,51.02560611287253,132.19676508447012,0.7518605268100089,161.75416913324145,59.89699334659343,2.7501240709170096,11.524711758295137,9.083197648877528,1.2885645139092066,5.352300597875928,12.564632886888582,71.34578514441961,2.0517777519577964,47.44986327959995,976.2212496707233,4740.7,1683,31.274598473724886,1651.6143937045488,1371.7583148182532,323.17235069690025
2031,68.63179023164928,20.695292457077546,215.32939252598914,209.3932722038054,6.307796046465447,85.95033202366166,91.11922517605511,17.01005019335318,164.70695372808333,2.160473913858295,7.318496036179781,7.079705350912035,198.5143030790157,55.90685779554245,46.27685061777412,89.28155179991758,60.91527310911306,3.30000291232194,7.533647815148069,42.31355847345249,60.91310959584244,13.028192159070741,32.89803470127091,73.38647585819089,124.20840415136776,90.10267896761698,13.363788233302252,16.676537633908538,55.07247057909803,10.266002972448687,74.91002943234142,9.12814408723631,1973.7176073049066,15.50845044895647,321.6570233449587,83.67844825077253,14.7905336520574,6.683826056863873,122.76424366243961,366.8405799678644,955.8905690300039,32.14991746398287,1919.9573994165848,29.475364389483428,38.4141445334582,15.545774535982106,133.6736951317122,31.8572965359481,81.89204577837056,13.661156962639188,29.937552422146105,46.695335863310355,52.776796045701936,136.7337350845214,0.7776642494062476,167.30554410275613,61.952647747312895,2.8445078510208335,11.92023786268365,9.394931413400144,1.332787824056026,5.535990624090287,12.995848903657576,73.79436008968023,2.122194407777303,49.07833433990558,1009.7249932785084,4903.4,1715.3,31.87481804039233,1683.3120436847369,1398.0849895470883,329.37464833653775
2032,71.02803824071613,21.417859261468724,222.84752117151052,216.7041438849433,6.528029901169304,88.95124911026502,94.30061183636035,17.60394842582495,170.45762274922131,2.2359058863778816,7.574018025288151,7.326890070917775,205.44534045861508,57.858820526422434,47.892585990324385,92.39877692292325,63.04210240231374,3.415221025996027,7.796681731604682,43.79091728787821,63.039863350952835,13.483065613741566,34.04665474875992,75.94873157196548,128.545084575301,93.2485733754271,13.8303788735807,17.258791425751987,56.995301056550744,10.62443583717178,77.52547933216948,9.446849122056,2042.6290675917692,16.04992100344139,332.887533276161,86.60004353986425,15.306938465295609,6.917188829824493,127.05050187409067,379.64865340476507,989.265057225529,33.27241733546671,1986.9918462861285,30.504483446358165,39.75535706846005,16.088548244135662,138.34085192221454,32.96957967967579,84.75126963064797,14.138130098015425,30.982808565775308,48.32568245950866,54.619474081967425,141.50773179016855,0.8048160460164262,173.14694173509125,64.11569650824205,2.9438225600176047,12.336427592685576,9.72295120741534,1.3793215099634357,5.729277240487942,13.449593108149598,76.37085689747754,2.1962898686027454,50.79188225339252,1044.979086122103,5074.6,1726.8,32.08851850530489,1694.5975846993551,1407.4582638313486,331.5828967221672
2033,73.50966658188172,22.16617172886682,230.63352706433136,224.27550807341143,6.7561108733596855,92.05909139679991,97.59535397930495,18.219007751860254,176.41319294459373,2.314025563525794,7.838644477793488,7.582882190409699,212.62333652989403,59.88033333124146,49.565891373228354,95.62707139902662,65.24471241215298,3.5345444579727525,8.069087767748123,45.320915639500164,65.24239513121609,13.954146592206147,35.23620109466996,78.6022826119902,133.03628457041407,96.50655864706685,14.313594530831686,17.86179140994499,58.98664360124913,10.995639966350543,80.23411991183953,9.776909885335966,2113.9959011715623,16.610684609225128,344.51819572243517,89.62573772652287,15.84174321638868,7.158866514672142,131.4894830710867,392.9130892713683,1023.8287065074596,34.43491282153029,2056.4147868817477,31.5702708808435,41.1443581342067,16.650661436049358,143.17430343480837,34.12149440737974,87.71237003373666,14.63209818739747,32.065308064989424,50.01411967624907,56.52780828658115,146.4518300139491,0.8329352839777852,179.19647327839152,66.3558165159099,3.046675935631667,12.767446512833596,10.062658622595794,1.4275132302402096,5.929450821605371,13.919504600301671,79.03915645368349,2.273025413020683,52.56648532033898,1081.4893119466897,5251.9,1734.4,32.22974663863841,1702.0558552829289,1413.652775532251,333.04226087267017
2034,76.11866558240777,22.95289166075067,238.81915311295975,232.23547583838868,6.995898201144725,95.32644504716713,101.0592002029083,18.865635266654284,182.67443538349627,2.396154767250391,8.116852998645124,7.852013217331836,220.1697463871214,62.005601164395834,51.32507988633215,99.02105950024306,67.56037234353502,3.6599922172534174,8.35547516276864,46.92944182530013,67.55797281785496,14.44940600780569,36.48680142674911,81.39202831904385,137.75799736843481,99.9317614368788,14.82161144291056,18.495740631905377,61.08019267249436,11.385896309717278,83.08178265324109,10.123911161564878,2189.0256686801554,17.200229652192352,356.7458070026694,92.80672698987973,16.40399705510131,7.412948412334871,136.15629691835164,406.85832810687225,1060.16635019698,35.657073896557094,2129.4008902490546,32.690760321272535,42.60465028680217,17.241625333244585,148.2558339590469,35.33253166199914,90.82545020934711,15.15141940488655,33.203367324174486,51.789216671175254,58.53408857840292,151.64968624019107,0.862497754118774,185.556499672476,68.71091166215518,3.1548083057075904,13.220587667461862,10.419801669350656,1.4781784116253798,6.139898399271977,14.41353450519252,81.84440765095812,2.353699442797917,54.43217066539719,1119.8734410707902,5438.3,1744.7,32.421147924603574,1712.1637746264564,1422.0479690216318,335.0200833397991
2035,79.5653063204575,23.992194844124768,249.63284533743166,242.75106023179063,7.31267132840363,99.64281090039299,105.63514427272351,19.71986814845438,190.9459039645023,2.5046522635252852,8.484382775945331,8.207551092615024,230.13899652278468,64.81320465199377,53.64907111589953,103.50471689212014,70.6194949623484,3.825716066724657,8.73380971266407,49.05439928181126,70.61698678653768,15.103672750477456,38.13891783257886,85.07744606002099,143.9956569764867,104.45665526361734,15.492731586857039,19.333224745093244,63.84589381481181,11.901447833906783,86.8437121943264,10.582320204483128,2288.144393221397,17.979053239934782,372.8991988433692,97.00900042125089,17.146767360969978,7.748605505000975,142.32143179177805,425.2808067136443,1108.170509278598,37.2716203754161,2225.819814566981,34.17099260620578,44.53378188921943,18.022323310660063,154.96883389233633,36.93238292151495,94.93801175188145,15.837473199453177,34.70681037042749,54.13422393850983,61.18450254343124,158.51635925013807,0.9015515114735166,193.95846765349214,71.8221305132914,3.297657510222579,13.819213716499734,10.891608586106205,1.5451100885357951,6.417911995391926,15.066176992088181,85.55030905415528,2.4602745689197696,56.89685045767131,1170.5811274696775,5684.545335258055,1850.5182440377173,34.387531224350596,1816.0086557727632,1508.2969625559192,355.3394717368801
2036,82.54824616788581,24.89167323913728,258.9916952686419,251.8519088812566,7.586826732378155,103.378465608331,109.59545430874392,20.459175055024193,198.1045535314994,2.598552826299844,8.802466179800646,8.5152559496209,238.76701311597253,67.24308143795481,55.660399412237474,107.38515622796304,73.26705223662097,3.9691439177332004,9.061244246841985,50.893471222539155,73.26445002814808,15.669916373149622,39.568763364529545,88.26703855587266,149.39412023787105,108.3727832058636,16.073561203848847,20.058036213035745,66.23950567357633,12.347638574917253,90.09952281811391,10.979056245302997,2373.9279765802016,18.65309619670333,386.8793609359266,100.64591236563861,17.789607538190154,8.03910428131156,147.65712758266562,441.2247793238071,1149.7163302242045,38.668950527684544,2309.266820870534,35.452078800491215,46.20337380933347,18.69798848223726,160.77868659201852,38.31699490595649,98.49728138065295,16.43122733770728,36.007984618586796,56.163740836809886,63.4783376220873,164.4592103034862,0.9353510913714719,201.23005961569112,74.51477514627271,3.421288203615448,14.337302380534402,11.299939990289277,1.603036974824573,6.658522461356041,15.63101488157108,88.75762940065954,2.552511391558111,59.02993949197722,1214.4667511322496,5897.661548582985,1919.895022231732,35.676735550802455,1884.0916536658603,1564.8437078577263,368.66131160184574
