"year","gdp","gdp_c","gdp_i","gdp_g","gdp_nx","gdp_comp","gdp_wages","gdp_proprietors","gdp_rent","gdp_interest","gdp_div","gdp_corp","gdp_fy","rgdp","pce_deflator","cpiu","ccpiu","cpiu_irs","ccpiu_irs","gdp_deflator","awi","u3","lfpr","emp_hh","emp_est","tsy_10y","tsy_3m","ffr","avg_rate_debt","rev","rev_iit","rev_payroll","rev_corp","rev_excise","rev_estate","rev_customs","rev_misc","outlays","outlays_disc","outlays_mand","outlays_mand_oasdi","outlays_mand_health","outlays_mand_other","outlays_ni","unmarried_0","unmarried_1","unmarried_2","unmarried_3","unmarried_4","unmarried_5","unmarried_6","unmarried_7","unmarried_8","unmarried_9","unmarried_10","unmarried_11","unmarried_12","unmarried_13","unmarried_14","unmarried_15","unmarried_16","unmarried_17","unmarried_18","unmarried_19","unmarried_20","unmarried_21","unmarried_22","unmarried_23","unmarried_24","unmarried_25","unmarried_26","unmarried_27","unmarried_28","unmarried_29","unmarried_30","unmarried_31","unmarried_32","unmarried_33","unmarried_34","unmarried_35","unmarried_36","unmarried_37","unmarried_38","unmarried_39","unmarried_40","unmarried_41","unmarried_42","unmarried_43","unmarried_44","unmarried_45","unmarried_46","unmarried_47","unmarried_48","unmarried_49","unmarried_50","unmarried_51","unmarried_52","unmarried_53","unmarried_54","unmarried_55","unmarried_56","unmarried_57","unmarried_58","unmarried_59","unmarried_60","unmarried_61","unmarried_62","unmarried_63","unmarried_64","unmarried_65","unmarried_66","unmarried_67","unmarried_68","unmarried_69","unmarried_70","unmarried_71","unmarried_72","unmarried_73","unmarried_74","unmarried_75","unmarried_76","unmarried_77","unmarried_78","unmarried_79","unmarried_80","unmarried_81","unmarried_82","unmarried_83","unmarried_84","unmarried_85","unmarried_86","unmarried_87","unmarried_88","unmarried_89","unmarried_90","unmarried_91","unmarried_92","unmarried_93","unmarried_94","unmarried_95","unmarried_96","unmarried_97","unmarried_98","unmarried_99","unmarried_100","married_0","married_1","married_2","married_3","married_4","married_5","married_6","married_7","married_8","married_9","married_10","married_11","married_12","married_13","married_14","married_15","married_16","married_17","married_18","married_19","married_20","married_21","married_22","married_23","married_24","married_25","married_26","married_27","married_28","married_29","married_30","married_31","married_32","married_33","married_34","married_35","married_36","married_37","married_38","married_39","married_40","married_41","married_42","married_43","married_44","married_45","married_46","married_47","married_48","married_49","married_50","married_51","married_52","married_53","married_54","married_55","married_56","married_57","married_58","married_59","married_60","married_61","married_62","married_63","married_64","married_65","married_66","married_67","married_68","married_69","married_70","married_71","married_72","married_73","married_74","married_75","married_76","married_77","married_78","married_79","married_80","married_81","married_82","married_83","married_84","married_85","married_86","married_87","married_88","married_89","married_90","married_91","married_92","married_93","married_94","married_95","married_96","married_97","married_98","married_99","married_100"
2024,28792.1,19587.5,5114.4,4974.9,-884.700000000001,15048.5,12478.4,1926.7,1033.3,2096.6,1922.5,3426.7,28467.2,1,1,1,1,1,1,1,1,3.882,62.459,161.704,158.653,4.453,5.196,5.33,3.119,,,,525.402,89.162,32.367,73.379,44.334,6880.031,1796.57,4191.156,1451.934,1653.518,1085.704,892.305,3806224,3776966,3774898,3846351,3867764,3922385,3999550,4105421,4154555,4183079,4147985,4185078,4198715,4310966,4409950,4599432,4636104,4597738,4508380,4478059,4368212,4299378,4212471,4149365,3806161,3594770,3357794,3215222,2979424,2903513,2789798,2732578,2613891,2529885,2427730,2287348,2097214,2073754,2006861,1876157,1735560,1763467,1706475,1642696,1519068,1435409,1444736,1333703,1361572,1391367,1318950,1380112,1401101,1510552,1414309,1431889,1458934,1442133,1474224,1549497,1524735,1537233,1525663,1558442,1555407,1529592,1499981,1458967,1465824,1414050,1333248,1293156,1266625,1182875,1142818,1151655,1132167,1055710,818198,846272,884880,788186,685916,647165,620950,566465,526687,469843,422072,396045,333172,290718,235525,229458,174739,145689,107791,83883,59682,46684,84183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17282,27502,47031,66456,171846,220780,343880,517446,803645,1024573,1208888,1386468,1652188,1768540,1948256,2106559,2273944,2409904,2371244,2400091,2479302,2462596,2545118,2585915,2706306,2759457,2731109,2851193,2798615,2740783,2704816,2661418,2598583,2553363,2551885,2642173,2797411,2860365,2755667,2609769,2523485,2572284,2654087,2753318,2765817,2752328,2728566,2711091,2596047,2500747,2529565,2424053,2272413,2231453,2108998,2056903,1902027,1816619,1746893,1625820,1665135,1368835,1120013,1043836,960567,913033,740713,629994,512892,475838,380705,314805,280681,195678,154912,136172,111659,65295,49408,32246,27156,14138,12018,4588,10704
2025,30009.4,20371.2,5398.8,5150.5,-911.099999999999,15749.9,13049,2005.4,1051.3,2460.1,2018.8,3545.9,29710.7,1.02057360410514,1.02196815224779,1.02430732240993,1.02138381290448,1.02430732240993,1.02138381290448,1.02124894353283,1.0344922451896,3.973,62.253,163.649,160.376,4.09,4.543,4.835,3.196,,,,490.086,96.433,34.589,76.187,53.275,6975.482,1832.435,4127.36,1549.11,1689.509,888.741,1015.687,3860648,3839944,3830845,3829557,3895573,3914561,3972615,4048223,4154812,4206944,4238596,4205338,4244276,4260017,4374097,4477112,4664277,4691368,4664465,4571678,4481296,4397079,4288886,4145697,4037817,3641348,3445299,3208233,3091359,2860354,2794524,2690207,2621539,2547505,2484305,2404058,2269114,2083396,2059465,1973194,1860793,1721288,1777821,1706354,1655689,1506508,1428882,1423219,1343710,1369770,1390845,1329226,1401886,1416515,1518738,1421379,1406299,1445191,1443717,1479545,1563963,1506462,1515848,1508695,1546063,1536820,1534715,1496047,1469996,1470714,1421641,1344412,1300216,1268512,1175040,1149001,1134907,1125647,1062484,803864,826737,862968,755294,661779,615889,590189,536228,492531,428419,379422,347112,284192,247097,199982,190378,141084,114099,79688,63906,42803,87643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,43235,49560,74560,152188,240867,331041,509201,726417,1064994,1268244,1448915,1596023,1851133,1951867,2115641,2279031,2396577,2506705,2441468,2460220,2530929,2510898,2608977,2628804,2745540,2766704,2750329,2854444,2825721,2759813,2736147,2659432,2596473,2558260,2544304,2620566,2779021,2845718,2739557,2623354,2522242,2552129,2626057,2711248,2752838,2738609,2706746,2680274,2570130,2449895,2483489,2360721,2212911,2166233,2038843,1986804,1834042,1754954,1666593,1563803,1583930,1277878,1059837,981793,893064,853615,678139,574298,456772,416391,327711,272292,239643,165933,131591,109880,84460,45838,34193,21527,20809,7469,8319,9668
2026,31131.7,21040.8,5684.1,5322,-915.199999999999,16404.6,13589.3,2097.4,1079,2661.4,2095,3597.8,30856.3,1.03930024480977,1.04231802440366,1.04718031243639,1.04148927670551,1.04718031243639,1.04148927670551,1.04035305936947,1.06929827986975,4.158,62.081,165.049,161.58,3.663,3.565,3.835,3.188,,,,470.452,98.984,35.429,79.779,53.708,7244.423,1898.258,4285.418,1647.112,1746.503,891.803,1060.747,3903388,3886587,3882702,3874401,3868912,3932967,3954719,4011563,4087715,4196623,4251109,4284140,4252276,4292815,4310037,4427237,4518339,4707616,4747451,4706062,4548938,4495949,4369361,4226249,4024880,3885275,3458637,3287810,3070584,2956202,2713259,2660268,2595453,2507936,2512913,2420953,2357759,2270460,2033340,2041418,1938575,1861729,1713155,1778619,1687306,1668233,1496528,1417996,1436773,1346839,1370811,1397899,1333498,1398039,1429430,1517464,1416302,1396117,1443984,1445907,1487248,1540962,1509616,1511329,1495033,1550183,1549330,1523090,1499117,1473722,1476499,1420587,1332770,1312804,1275222,1152725,1132794,1120172,1113356,1044478,794563,817506,832002,731110,627817,593788,559284,510417,450308,406848,344560,307964,247366,209505,163487,159635,113046,88095,60426,48250,91280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16578,29043,57113,79135,166842,213354,344437,467870,703181,951246,1318322,1493509,1650928,1791103,2054257,2137193,2256569,2434326,2468826,2603826,2518158,2486220,2605465,2550379,2662753,2645301,2768558,2778333,2779880,2850653,2843003,2776095,2726010,2658475,2596162,2550131,2537551,2619249,2757821,2834342,2729587,2616135,2503223,2526469,2590795,2701573,2713487,2703101,2676850,2630229,2510834,2412245,2426881,2301154,2149164,2106010,1987117,1905864,1755679,1702427,1603278,1494439,1502575,1206249,989564,904492,830171,781591,622645,507130,399540,352744,284096,212258,193850,130542,101559,84075,65373,25746,21012,13250,12998,2807,7881
2027,32252.3,21753.1,5930.8,5486.2,-917.799999999999,17063.5,14119.1,2184,1106.6,2765.8,2155.7,3666.7,31971.7,1.05744317538311,1.0622552351361,1.06975435070222,1.06149201602502,1.06975435070222,1.06149201602502,1.05931365513722,1.10543133037066,4.322,61.936,165.812,162.392,3.593,3.048,3.256,3.157,,,,459.399,99.646,49.449,83.017,57.089,7511.989,1944.25,4483.809,1740.634,1847.474,895.701,1083.93,3934813,3920499,3916633,3913538,3902461,3895650,3961583,3982512,4039727,4117436,4227846,4283181,4317074,4286251,4327733,4347163,4454050,4547401,4740390,4771036,4661072,4536842,4441590,4268889,4082885,3851622,3700005,3259185,3128685,2918752,2792867,2590525,2508971,2486668,2424904,2465348,2353945,2338827,2226779,2012821,2006092,1926513,1841484,1695634,1773574,1672760,1660413,1491555,1411831,1419701,1341991,1375357,1406584,1326788,1398546,1423182,1513305,1426553,1397832,1438729,1449013,1491977,1539073,1501073,1517676,1491044,1545395,1537163,1508450,1494765,1468466,1459602,1394320,1334593,1307162,1260076,1143598,1121133,1110545,1095703,1025245,775012,795294,800373,709300,594441,573973,520400,483393,415984,370723,313973,265634,214018,177900,132574,124753,83332,62787,41027,92780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13484,32213,44765,82293,171332,229506,316476,491248,656738,921452,1180267,1559920,1692754,1840448,1989841,2209198,2317466,2391204,2539924,2536235,2688215,2552637,2543628,2637673,2596001,2683673,2672749,2791654,2787107,2797305,2859760,2847888,2780989,2740388,2659867,2586593,2534879,2536264,2608157,2749567,2819711,2698937,2591906,2483555,2495336,2553849,2666272,2681443,2652566,2635224,2587195,2472719,2374214,2374204,2247298,2104506,2066517,1916677,1837584,1693831,1631443,1530240,1414483,1420786,1129887,924566,835696,763669,703720,563510,435550,349684,290757,234064,168736,147039,103126,73563,58870,47441,17306,17049,11406,11592,7770
2028,33413.8,22552.9,6126.7,5641.5,-907.299999999998,17745.9,14664.4,2264.8,1136.7,2909.2,2223.5,3715.3,33115.1,1.07570371919187,1.08264556429427,1.09297081721962,1.0820711538242,1.09297081721962,1.0820711538242,1.07883238450621,1.14330201928631,4.426,61.811,166.358,163.077,3.664,2.845,3.029,3.146,,,,461.554,99.664,52.664,85.427,60.355,7769.84,1986.49,4647.742,1838.483,1958.511,850.748000000001,1135.608,3954950,3944157,3939376,3936322,3931691,3919874,3914194,3979543,4000692,4058819,4137328,4248152,4303870,4338296,4307962,4350726,4361771,4461944,4560538,4736404,4677036,4628923,4436153,4314391,4067764,3832262,3610050,3450778,3039782,2944956,2765163,2620137,2433402,2384559,2394718,2341910,2381414,2291213,2281817,2183382,1992067,1988532,1913379,1833439,1693138,1762602,1658763,1654882,1501769,1407603,1433738,1333065,1386422,1423336,1317599,1404873,1436420,1502829,1432711,1385183,1417374,1441789,1490481,1523802,1496887,1509436,1483953,1549168,1546681,1504894,1483157,1474755,1448901,1398419,1352698,1306625,1267150,1139077,1097080,1089082,1064429,993794,759918,764933,757097,669568,567557,535077,478613,443916,367572,322069,265662,221939,177858,141983,110847,93011,62981,44736,90096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10385,33221,48850,78000,204009,231981,355541,466151,713828,928530,1183326,1448921,1798171,1894384,2011675,2178289,2380223,2453842,2492915,2630585,2626384,2755889,2613752,2589982,2660891,2615285,2697149,2680255,2792510,2795487,2807915,2860298,2831936,2778792,2718845,2660328,2565709,2506730,2532799,2585817,2716417,2806533,2667752,2577795,2475868,2470299,2519022,2640250,2641125,2614713,2594858,2532032,2409396,2321498,2325323,2178134,2049081,1991234,1824405,1758765,1604451,1550731,1464174,1340847,1345904,1059570,850449,770459,704633,639479,494721,381519,302236,241798,199129,140026,122178,82175,54214,44350,27131,13368,10512,8432,12447
2029,34666.9,23462.9,6311.9,5799.3,-907.2,18455.2,15233.4,2346.6,1169.4,3048.8,2309.7,3791.5,34345.8,1.0952405844071,1.10371557109104,1.11704597496438,1.1033579491628,1.11704597496438,1.1033579491628,1.09931588767163,1.18281148228007,4.472,61.697,167.003,163.746,3.774,2.816,2.98,3.168,,,,460.858,99.604,54.73,87.107,66.026,8198.919,2031.52,4968.632,1938.394,2076.801,953.437,1198.767,3975085,3964496,3963271,3959314,3954686,3949253,3938545,3932241,3997743,4019850,4078881,4157829,4269046,4325275,4360184,4331158,4365573,4364882,4472402,4548786,4668865,4638040,4541484,4316147,4148776,3856582,3600274,3364306,3231055,2881614,2774689,2599671,2483025,2329787,2308508,2341125,2305555,2334826,2233859,2225483,2151447,1984437,1968584,1917287,1805117,1667761,1771512,1659879,1649875,1509703,1416607,1427730,1335778,1375570,1417362,1330964,1396261,1439271,1504111,1437298,1384968,1410561,1434574,1484223,1511550,1493364,1522020,1474121,1546342,1552320,1500891,1499433,1491430,1458037,1407010,1344025,1302540,1262280,1136786,1069501,1075740,1059662,964496,759836,732089,727047,639777,539589,500063,435294,396714,324597,271804,226318,188876,146880,109074,81991,67514,48948,94830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10366,35290,52942,90346,173592,271769,344999,498324,653403,945934,1180629,1448241,1687102,1974096,2082203,2193333,2329486,2495972,2539842,2554415,2672993,2677749,2816893,2672820,2624369,2670451,2635879,2692644,2707057,2815621,2782961,2802014,2859126,2817250,2762397,2715925,2647794,2565201,2499728,2504312,2575756,2691313,2779141,2635911,2549021,2451237,2442917,2486524,2608705,2599452,2555237,2554595,2480695,2347007,2266451,2245324,2094465,1968854,1906174,1753824,1678366,1522095,1462662,1396392,1252789,1237798,981801,757010,703771,627982,561777,425536,323183,256969,201571,161120,117216,93765,56781,35907,33858,21412,10426,3769,9494
2030,35990,24435,6507.8,5963.2,-916,19181,15817.1,2430.7,1199.5,3215.4,2400.4,3906.8,35654,1.11544392462298,1.12529533611678,1.14190667616528,1.12526109139055,1.14190667616528,1.12526109139055,1.12060469789026,1.22369437413285,4.484,61.577,167.645,164.34,3.898,2.816,2.984,3.193,,,,462.811,99.308,57.313,88.577,72.79,8546.851,2073.657,5195.327,2040.598,2203.365,951.364,1277.867,3994111,3984800,3983760,3983394,3977868,3972411,3968043,3956672,3950490,4016887,4039958,4099470,4178829,4290566,4347253,4383514,4345144,4368929,4380884,4468296,4476608,4629440,4538957,4403745,4096722,3913527,3636266,3378582,3158581,3032904,2709825,2623980,2448286,2385246,2246801,2224458,2269998,2271721,2267590,2184590,2204385,2093008,1964815,1960794,1882261,1779487,1666907,1748894,1670593,1658046,1499953,1411972,1429273,1341151,1360208,1426084,1332482,1410980,1454422,1505186,1437089,1381256,1421599,1436650,1462146,1499815,1499457,1523625,1459171,1547443,1541313,1497279,1482917,1477559,1448048,1395954,1347154,1291495,1240089,1121791,1048834,1067103,1039316,921713,720021,705452,691173,599833,508443,456265,384597,350423,296268,239343,185798,145539,111870,83219,62215,52150,97542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11388,35207,49824,87160,191019,242176,396773,505846,739774,909689,1186217,1421439,1672322,1902753,2163450,2249044,2359309,2439612,2589092,2632008,2631853,2711458,2748485,2868431,2696166,2684733,2690908,2643359,2726071,2730527,2813178,2800536,2785332,2843728,2819247,2758213,2704062,2631057,2567634,2475540,2485121,2540125,2651548,2749663,2606599,2521348,2406478,2403904,2467450,2575966,2547382,2504125,2516731,2422464,2298468,2207840,2193933,2036301,1902450,1835472,1666269,1599851,1451777,1381996,1315208,1153430,1139356,912328,699398,626437,553367,492510,359022,274235,219897,162735,112909,81961,72970,48129,28442,23990,13613,3802,7722
2031,37367.4,25462.4,6706,6135.6,-936.6,19926.7,16415.2,2518.7,1228.9,3397.9,2493.6,4038.3,37018.3,1.13585635503515,1.14732821956824,1.16744160899654,1.14768926985721,1.16744160899654,1.14768926985721,1.14258718844185,1.26501701713987,4.479,61.447,168.287,164.983,4.009,2.816,2.984,3.244,,,,465.987,98.682,60.416,90.273,162.587,8943.979,2115.812,5455.361,2146.676,2340.43,968.255,1372.806,4011152,4003974,4004182,4004000,4002097,3995745,3991343,3986260,3974974,3969663,4036977,4060564,4120528,4200428,4312630,4370656,4400665,4345477,4392288,4377076,4407945,4420091,4527960,4389452,4192631,3855366,3700143,3405281,3173391,2921791,2840354,2544944,2476113,2355822,2294481,2203855,2178712,2209556,2224025,2220121,2165557,2142335,2061551,1961609,1941113,1873480,1787808,1665494,1754054,1668582,1650630,1503325,1423417,1417174,1338542,1346942,1411467,1333105,1402806,1458755,1504957,1421201,1386945,1426147,1427921,1455668,1495993,1495020,1514448,1442949,1536015,1527897,1489057,1470473,1473971,1437470,1404714,1344546,1273548,1209156,1097963,1023250,1042141,1000089,895732,698370,672960,642705,555342,469469,408183,342235,301026,254426,198274,149753,113497,85782,63151,46024,100454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8280,39348,42487,84000,176331,277131,369958,569674,739242,1002472,1143267,1436317,1645079,1926653,2112762,2344547,2411509,2464659,2540763,2640375,2684306,2697208,2762543,2798105,2889285,2759951,2717008,2693983,2661722,2732613,2719018,2809877,2789144,2780350,2842883,2806664,2736557,2704265,2620735,2565488,2472120,2464674,2525121,2620401,2719153,2590520,2481982,2365910,2373381,2432122,2534549,2503265,2461104,2477231,2373942,2249137,2149725,2133343,1962462,1831299,1739570,1579344,1522783,1384740,1303478,1232141,1064675,1053987,821338,619105,551093,489508,427157,300899,230230,176623,131618,83778,61709,54401,35284,19543,15541,8463,7762
2032,38791.9,26555.4,6891.7,6304.6,-959.8,20693.1,17027.1,2612.3,1261.8,3588.3,2589.3,4183.3,38431.6,1.15636461845395,1.16981422144545,1.1936157897415,1.17061965690023,1.1936157897415,1.17061965690023,1.1651038925832,1.30696768735041,4.469,61.32,168.895,165.64,4.083,2.813,2.98,3.311,,,,471.01,97.385,63.972,92.085,181.329,9386.894,2161.24,5742.113,2255.005,2486.06,1001.048,1483.541,4025618,4021166,4023479,4024544,4022815,4020119,4014838,4009702,4004658,3994214,3989801,4057570,4081646,4142194,4222587,4336142,4382742,4409401,4363830,4395863,4309684,4371544,4340460,4404224,4204377,3983589,3611267,3508087,3209705,2996668,2747057,2697664,2458569,2378701,2297923,2227397,2165883,2141539,2162905,2175738,2201293,2141265,2108758,2051594,1948385,1915557,1850838,1788613,1664675,1750888,1660969,1653160,1509923,1417113,1424997,1327823,1346065,1403635,1337718,1393151,1465984,1494196,1424060,1377380,1405566,1411480,1442235,1496618,1488721,1511996,1453542,1529172,1521434,1480686,1461458,1484650,1442564,1390504,1333925,1264913,1185856,1078138,1012192,995482,965750,855009,661493,628564,596601,526278,419125,370096,300458,256858,214642,159382,118431,91192,62806,48789,100313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13435,27917,51760,69373,180485,242567,383341,517287,777147,969872,1267077,1354677,1650364,1839487,2118991,2271595,2445619,2521817,2533483,2616454,2685126,2726631,2747536,2812892,2818671,2914916,2794161,2726812,2706064,2685333,2751991,2713616,2804818,2785055,2779962,2830602,2789437,2731082,2682948,2616047,2548406,2459760,2438060,2509488,2584146,2696659,2553371,2455563,2348195,2349934,2403010,2486132,2458350,2408467,2408151,2317615,2188698,2086722,2063840,1868898,1739043,1661350,1494946,1430760,1303052,1213953,1128738,991983,958438,739507,550085,485790,422557,346935,254639,178279,137348,101068,59246,45895,38502,20588,14571,7812,8959
2033,40262.4,27672.2,7079.1,6496.2,-985.099999999999,21482.1,17655.1,2713.8,1300,3763.1,2687.6,4330.2,39890.4,1.17688595001002,1.19274525034793,1.22042603806228,1.19404654560396,1.22042603806228,1.19404654560396,1.18818670366295,1.35006135739597,4.451,61.209,169.493,166.267,4.102,2.802,2.968,3.339,,,,495.304,97.613,67.914,94.008,194.342,9836.705,2208.435,6033.999,2364.405,2659.369,1010.225,1594.271,4037146,4035800,4040815,4043981,4043490,4040964,4039377,4033372,4028261,4024016,4014445,4010470,4078667,4103368,4164453,4246238,4349423,4396816,4423801,4368613,4338105,4278774,4294922,4204552,4207398,3948846,3753342,3421808,3274097,3013149,2787177,2610880,2552074,2379433,2316710,2214889,2150542,2096843,2105160,2133933,2135779,2174301,2113200,2079416,2036250,1916883,1908977,1837065,1780963,1650704,1742413,1669475,1661812,1524206,1422315,1419190,1329523,1356029,1402382,1334073,1393967,1466363,1468287,1421980,1368594,1400865,1406943,1450569,1485327,1486135,1506666,1444734,1519553,1509917,1467447,1449846,1478097,1406598,1358909,1306802,1244030,1155509,1044983,993418,972515,925539,821179,616401,575827,548518,475296,380806,332748,260009,221183,171139,122570,89232,67350,48873,103513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12396,27880,44413,77575,156327,241551,346038,543160,736757,1054429,1220721,1476056,1607248,1864537,2066694,2271430,2431759,2537702,2594688,2625623,2700312,2759513,2766917,2778848,2854512,2846926,2943214,2823161,2740984,2735799,2688958,2761080,2715512,2811914,2785278,2762001,2810753,2762934,2712508,2672727,2596394,2518338,2438635,2417671,2481301,2552363,2686919,2518814,2426088,2313980,2313861,2349696,2447004,2406880,2355979,2355323,2259870,2128226,2023199,1991355,1787007,1682521,1594817,1421367,1343597,1221053,1131856,1027323,890454,862356,645859,487374,428037,358069,288967,198316,130342,102517,68969,45283,35330,28752,14848,6836,8004
