industry,detailed_industry
"Agriculture, forestry, fishing, and hunting",Farms
"Agriculture, forestry, fishing, and hunting","Forestry,_Fishing,_and_Related_Activites"
Mining,Oil_and_Gas_Extraction
Mining,Mining_(Except_Oil_and_Gas)
Mining,Support_Activities_For_Mining
Utilities,Hydroelectric_Power_Generation
Utilities,Nuclear_Electric_Power_Generation
Utilities,"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle"
Utilities,"Fossil_Fuel_Electric_Power_Generation,_Combustion"
Utilities,Other_Electric_Power_Generation
Utilities,Electric_Power_Transmission_and_Distribution
Utilities,Natural_Gas_Distribution_and_Transmission
Utilities,Water_and_Sewer_Systems
Construction,Construction
Manufacturing,"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing"
Manufacturing,Other_Food_Products_Manufacturing
Manufacturing,Beverage_and_Tobacco_Products_Manufacturing
Manufacturing,"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing"
Manufacturing,Other_Textile_and_Textile_Product_Mills
Manufacturing,Apparel_Manufacturing
Manufacturing,Leather_and_Allied_Products_Manufacturing
Manufacturing,Wood_Product_Manufacturing
Manufacturing,Paper_Manufacturing
Manufacturing,Printing_and_Related_Support_Activities
Manufacturing,Petroleum_Refining
Manufacturing,Other_Petroleum_and_Coal_Products_Manufacturing
Manufacturing,Chemical_Manufacturing
Manufacturing,Plastics_and_Rubber_Products_Manufacturing
Manufacturing,Glass_Products_Manufacturing
Manufacturing,Cement_Manufacturing
Manufacturing,Other_Nonmetalic_Mineral_Products_Manufacturing
Manufacturing,Primary_Ferrous_Metal_Manufacturing
Manufacturing,Primary_Nonferrous_Metal_Manufacturing
Manufacturing,Fabricated_Metal_Product_Manufacturing
Manufacturing,Machinery_Manufacturing
Manufacturing,Computer_and_Electronic_Product_Manufacturing
Manufacturing,"Electrical_Equipment,_Appliances,_and_Components_Manufacturing"
Manufacturing,Motor_Vehicle_and_Parts_Manufacturing
Manufacturing,Ships_and_Boats_Manufacturing
Manufacturing,Other_Transportation_Equipment_Manufacturing
Manufacturing,Furniture_and_Related_Products_Manufacturing
Manufacturing,Medical_and_Dental_Supplies_Manufacturing
Manufacturing,Other_Miscellaneous_Manufacturing
Wholesale trade,Wholesale_Durable_Goods
Wholesale trade,Wholesale_Nondurable_Goods
Retail trade,Motor_Vehicle_and_Parts_Dealers
Retail trade,Food_and_Beverages_Stores
Retail trade,General_Merchandise_Stores
Retail trade,Gas_Stations
Retail trade,Other_Non_Gas_Stations_Retail
Transportation and warehousing,Air_Transportation
Transportation and warehousing,Rail_Transportation
Transportation and warehousing,Water_Transportation
Transportation and warehousing,Truck_Transportation
Transportation and warehousing,Transit_and_Ground_Passenger_Transportation
Transportation and warehousing,Pipeline_Transportation
Transportation and warehousing,Other_Transportation_and_Support_Activities
Transportation and warehousing,Warehousing_and_Storage
Information,Publishing_Industries_(Except_Internet)
Information,Movie_Theaters
Information,Other_Motion_Picture_and_Sound_Recording
Information,Broadcasting_(Except_Internet)_and_Telecommunications
Information,Telephone_Communication
Information,Cable_Television
Information,Other_Telecommunication
Information,Information_and_Data_Processing
Finance and insurance,Depository_Credit_Intermediation
Finance and insurance,Other_Intermediation
Finance and insurance,Nondepository_Credit_Intermediation
Finance and insurance,"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities"
Finance and insurance,Insurance_Carriers
Finance and insurance,Insurance_Agencies_and_Brokers_and_Related_Services
Finance and insurance,"Funds,_Trusts,_and_Other_Financial_Vehicles_"
Real estate and rental and leasing,Real_Estate
Real estate and rental and leasing,Rental_and_Leasing_(Including_Nonfinancial_Intangibles)
"Professional, scientific, and technical services",Legal_Services
"Professional, scientific, and technical services",Computer_Systems_Design_and_Related_Services
"Professional, scientific, and technical services","Other_Professional,_Scientific,_and_Technical_Services"
Management of companies (holding companies),Management_Of_Companies_and_Enterprises
Administrative and support and waste management and remediation services,Administrative_and_Support_Services
Administrative and support and waste management and remediation services,Waste_Management_and_Remediation_Services
Educational and Other services,Educational_Services
Health care and social assistance,Ambulatory_Health_Care_Services
Health care and social assistance,Hospitals
Health care and social assistance,Nursing_and_Residential_Care_Facilities
Health care and social assistance,Social_Assistance
"Arts, entertainment, and recreation","Independent_Artists,_Writers,_and_Performers"
"Arts, entertainment, and recreation","Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities"
"Arts, entertainment, and recreation",Amusement_Parks
"Arts, entertainment, and recreation",Gambling_and_Bowling
"Arts, entertainment, and recreation",Other_Recreation_Services
Accommodation and food services,Accomodation
Accommodation and food services,Food_Services_and_Drinking_Places
Educational and Other services,Other_Services_(Except_Public_Administration)
