industry,detailed_industry
Agricultural production,Farms
Forestry and logging,"Forestry,_Fishing,_and_Related_Activites"
"Support activities and fishing, hunting, and trapping","Forestry,_Fishing,_and_Related_Activites"
Oil and gas extraction,Oil_and_Gas_Extraction
Coal mining,Mining_(Except_Oil_and_Gas)
Metal ore mining,Mining_(Except_Oil_and_Gas)
Nonmetallic mineral mining and quarrying,Mining_(Except_Oil_and_Gas)
Support activities for mining,Support_Activities_For_Mining
"Electric power generation, transmission, and distribution",Electric_Power_Transmission_and_Distribution
"Electric power generation, transmission, and distribution",Hydroelectric_Power_Generation
"Electric power generation, transmission, and distribution",Nuclear_Electric_Power_Generation
"Electric power generation, transmission, and distribution","Fossil_Fuel_Electric_Power_Generation,_Combustion"
"Electric power generation, transmission, and distribution",Other_Electric_Power_Generation
Natural gas distribution,Natural_Gas_Distribution_and_Transmission
"Water, sewage, and other systems",Water_and_Sewer_Systems
Combination gas and electric,"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle"
Construction,Construction
Animal food manufacturing and grain and oilseed milling,"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing"
Sugar and confectionery product,"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing"
Fruit and vegetable preserving and specialty food manufacturing,Other_Food_Products_Manufacturing
Dairy product,Other_Food_Products_Manufacturing
Meat and seafood processing,Other_Food_Products_Manufacturing
Bakeries and tortilla manufacturing,Other_Food_Products_Manufacturing
Other food,Other_Food_Products_Manufacturing
Soft drink and ice,Beverage_and_Tobacco_Products_Manufacturing
Breweries,Beverage_and_Tobacco_Products_Manufacturing
Wineries and distilleries,Beverage_and_Tobacco_Products_Manufacturing
Tobacco manufacturing,Beverage_and_Tobacco_Products_Manufacturing
Textile mills,"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing"
Textile product mills,Other_Textile_and_Textile_Product_Mills
Apparel knitting mills,Apparel_Manufacturing
Cut and sew apparel contractors and manufacturers,Apparel_Manufacturing
Apparel accessories and other apparel,Apparel_Manufacturing
Leather and allied product manufacturing,Leather_and_Allied_Products_Manufacturing
Wood product manufacturing,Wood_Product_Manufacturing
"Pulp, paper, and paperboard mills",Paper_Manufacturing
Converted paper product,Paper_Manufacturing
Printing and related support activities,Printing_and_Related_Support_Activities
Petroleum refineries (including integrated),Petroleum_Refining
"Asphalt paving, roofing, other petroleum and coal products",Other_Petroleum_and_Coal_Products_Manufacturing
