industry,detailed_industry
Basic chemical,Chemical_Manufacturing
"Resin, synthetic rubber, and artificial and synthetic fibers and filaments",Chemical_Manufacturing
Pharmaceutical and medicine,Chemical_Manufacturing
"Paint, coating, and adhesive",Chemical_Manufacturing
"Soap, cleaning compound, and toilet preparation",Chemical_Manufacturing
Other chemical product and preparation,Chemical_Manufacturing
Plastics product,Plastics_and_Rubber_Products_Manufacturing
Rubber product,Plastics_and_Rubber_Products_Manufacturing
"Clay, refractory, and other nonmetallic mineral product",Other_Nonmetalic_Mineral_Products_Manufacturing
Glass and glass product,Glass_Products_Manufacturing
"Cement, concrete, lime, and gypsum product",Cement_Manufacturing
"Iron, steel mills, and steel product",Primary_Ferrous_Metal_Manufacturing
Nonferrous metal production and processing,Primary_Nonferrous_Metal_Manufacturing
Foundries,Primary_Ferrous_Metal_Manufacturing
Foundries,Primary_Nonferrous_Metal_Manufacturing
Forging and stamping,Fabricated_Metal_Product_Manufacturing
"Cutlery, hardware, spring and wire: machine shops, screw, nut, and bolt",Fabricated_Metal_Product_Manufacturing
Architectural and structural metals,Fabricated_Metal_Product_Manufacturing
"Boiler, tank, and shipping container",Fabricated_Metal_Product_Manufacturing
"Coating, engraving, heat treating, and allied activities",Fabricated_Metal_Product_Manufacturing
Other fabricated metal product,Fabricated_Metal_Product_Manufacturing
"Agriculture, construction, and mining machinery",Machinery_Manufacturing
Industrial machinery,Machinery_Manufacturing
Commercial and service industry machinery,Machinery_Manufacturing
"Ventilation, heating, air-conditioning, and commercial refrigeration equipment",Machinery_Manufacturing
Metalworking machinery,Machinery_Manufacturing
"Engine, turbine, and power transmission equipment",Machinery_Manufacturing
Other general purpose machinery,Machinery_Manufacturing
Computer and peripheral equipment,Computer_and_Electronic_Product_Manufacturing
Communications equipment,Computer_and_Electronic_Product_Manufacturing
Audio and video equipment manufacturing and reproducing magnetic and optical media,Computer_and_Electronic_Product_Manufacturing
Semiconductor and other electronic component,Computer_and_Electronic_Product_Manufacturing
"Navigational, measuring, electromedical, and control instruments",Computer_and_Electronic_Product_Manufacturing
Electrical lighting equipment and household appliance,"Electrical_Equipment,_Appliances,_and_Components_Manufacturing"
Electrical equipment,"Electrical_Equipment,_Appliances,_and_Components_Manufacturing"
Other electrical equipment and component,"Electrical_Equipment,_Appliances,_and_Components_Manufacturing"
Motor vehicles and parts,Motor_Vehicle_and_Parts_Manufacturing
Aerospace product and parts,Other_Transportation_Equipment_Manufacturing
Ship and boat building,Ships_and_Boats_Manufacturing
Other transportation equipment and railroad rolling stock,Other_Transportation_Equipment_Manufacturing
Furniture and related product manufacturing,Furniture_and_Related_Products_Manufacturing
Medical equipment and supplies,Medical_and_Dental_Supplies_Manufacturing
Other miscellaneous manufacturing,Other_Miscellaneous_Manufacturing
Motor vehicle and motor vehicle parts and supplies,Wholesale_Durable_Goods
Lumber and other construction materials,Wholesale_Durable_Goods
Professional and commercial equipment and supplies,Wholesale_Durable_Goods
Metal and mineral (except petroleum),Wholesale_Durable_Goods
Electrical and electronic goods,Wholesale_Durable_Goods
"Hardware, plumbing, heating equipment, and supplies",Wholesale_Durable_Goods
"Machinery, equipment, and supplies",Wholesale_Durable_Goods
"Furniture, sports, toys, recycle, jewelry, and other durable goods",Wholesale_Durable_Goods
Paper and paper product,Wholesale_Nondurable_Goods
Drugs and druggists' sundries,Wholesale_Nondurable_Goods
"Apparel, piece goods, and notions",Wholesale_Nondurable_Goods
Grocery and related product,Wholesale_Nondurable_Goods
Farm product raw material,Wholesale_Nondurable_Goods
Chemical and allied products,Wholesale_Nondurable_Goods
Petroleum and petroleum products,Wholesale_Nondurable_Goods
"Beer, wine, and distilled alcoholic beverage",Wholesale_Nondurable_Goods
Miscellaneous nondurable goods,Wholesale_Nondurable_Goods
New and used car dealers,Motor_Vehicle_and_Parts_Dealers
Other motor vehicle and parts dealers,Motor_Vehicle_and_Parts_Dealers
Furniture and home furnishings stores,Other_Non_Gas_Stations_Retail
Electronics and appliance stores,Other_Non_Gas_Stations_Retail
Home centers; paint and wallpaper stores,Other_Non_Gas_Stations_Retail
Hardware stores,Other_Non_Gas_Stations_Retail
Other building materials dealers,Other_Non_Gas_Stations_Retail
Lawn and garden equipment and supplies stores,Other_Non_Gas_Stations_Retail
Food and beverage stores,Food_and_Beverages_Stores
"Beer, wine, and liquor stores",Food_and_Beverages_Stores
Health and personal care stores,Other_Non_Gas_Stations_Retail
Gasoline stations,Gas_Stations
Clothing and clothing accessories stores,Other_Non_Gas_Stations_Retail
"Sporting goods, hobby, book, and music stores",Other_Non_Gas_Stations_Retail
General merchandise stores,General_Merchandise_Stores
Miscellaneous store retailers,Other_Non_Gas_Stations_Retail
Nonstore retailers,Other_Non_Gas_Stations_Retail
Air transportation,Air_Transportation
Rail transportation,Rail_Transportation
Water transportation,Water_Transportation
Truck transportation,Truck_Transportation
Transit and ground passenger transportation,Transit_and_Ground_Passenger_Transportation
Pipeline transportation,Pipeline_Transportation
Other transportation and support activities,Other_Transportation_and_Support_Activities
Warehousing and storage,Warehousing_and_Storage
Newspaper publishers,Publishing_Industries_(Except_Internet)
Periodical publishers,Publishing_Industries_(Except_Internet)
Book publishers,Publishing_Industries_(Except_Internet)
Database directory and other publishers,Publishing_Industries_(Except_Internet)
Motion picture and video industries (except video rental),Movie_Theaters
Motion picture and video industries (except video rental),Other_Motion_Picture_and_Sound_Recording
Sound recording industries,Other_Motion_Picture_and_Sound_Recording
Broadcasting (except internet),Broadcasting_(Except_Internet)_and_Telecommunications
"Telecommunications (paging, cellular, cable, satellite, & internet service providers",Telephone_Communication
"Telecommunications (paging, cellular, cable, satellite, & internet service providers",Cable_Television
"Telecommunications (paging, cellular, cable, satellite, & internet service providers",Other_Telecommunication
"Data processing, hosting, and related services",Information_and_Data_Processing
Other information services,Information_and_Data_Processing
Commercial banking,Depository_Credit_Intermediation
"Savings institutions, credit unions, and other depository credit intermediation",Depository_Credit_Intermediation
Credit card issuing and other consumer credit,Nondepository_Credit_Intermediation
Real estate credit (including mortgage bankers and originators),Nondepository_Credit_Intermediation
"International, secondary financing, and other nondepository credit intermediation",Nondepository_Credit_Intermediation
"Activities related to credit intermediation (loan brokers, check clearing, etc.)",Other_Intermediation
Investment banking and securities dealing,"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities"
Securities brokerage,"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities"
Commodity contracts dealing and brokerage,"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities"
"Securities, commodity exchanges, and other financial investment activities","Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities"
Life insurance,Insurance_Carriers
Property and casualty insurance,Insurance_Carriers
Insurance agencies and brokerages,Insurance_Agencies_and_Brokers_and_Related_Services
"Other insurance related activities (third-party administrator of insurance, etc.)",Insurance_Agencies_and_Brokers_and_Related_Services
Other financial vehicles,"Funds,_Trusts,_and_Other_Financial_Vehicles_"
Lessors of buildings,Real_Estate
"Lessors of miniwarehouses, self-storage units, and other real estate",Real_Estate
Offices of real estate agents and brokers,Real_Estate
Other real estate activities,Real_Estate
Automotive equipment rental and leasing,Rental_and_Leasing_(Including_Nonfinancial_Intangibles)
Other consumer goods and general rental centers,Rental_and_Leasing_(Including_Nonfinancial_Intangibles)
Commercial and industrial machinery and equipment rental and leasing,Rental_and_Leasing_(Including_Nonfinancial_Intangibles)
Lessors of nonfinancial intangible assets (except copyrighted works),Rental_and_Leasing_(Including_Nonfinancial_Intangibles)
Legal services,Legal_Services
"Accounting, tax preparation, bookkeeping, and payroll services","Other_Professional,_Scientific,_and_Technical_Services"
"Architectural, engineering, and related services","Other_Professional,_Scientific,_and_Technical_Services"
Specialized design services,"Other_Professional,_Scientific,_and_Technical_Services"
Computer systems design and related services,Computer_Systems_Design_and_Related_Services
"Management, scientific, and technical consulting services","Other_Professional,_Scientific,_and_Technical_Services"
Scientific research and development services,"Other_Professional,_Scientific,_and_Technical_Services"
Advertising and related services,"Other_Professional,_Scientific,_and_Technical_Services"
"Other professional, scientific, and technical services","Other_Professional,_Scientific,_and_Technical_Services"
Offices of bank holding companies,Management_Of_Companies_and_Enterprises
Offices of other holding companies,Management_Of_Companies_and_Enterprises
Employment services,Administrative_and_Support_Services
Travel arrangement and reservation services,Administrative_and_Support_Services
Other administrative and support services,Administrative_and_Support_Services
Waste management and remediation services,Waste_Management_and_Remediation_Services
Educational services,Educational_Services
Offices of physicians,Ambulatory_Health_Care_Services
Offices of dentists,Ambulatory_Health_Care_Services
Offices of other health practitioners,Ambulatory_Health_Care_Services
Outpatient care centers,Ambulatory_Health_Care_Services
Miscellaneous health care and social assistance,Social_Assistance
"Hospitals, nursing, and residential care facilities",Hospitals
"Hospitals, nursing, and residential care facilities",Nursing_and_Residential_Care_Facilities
"Other arts, entertainment, and recreation","Independent_Artists,_Writers,_and_Performers"
"Other arts, entertainment, and recreation","Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities"
"Amusement, gambling, and recreation industries",Amusement_Parks
"Amusement, gambling, and recreation industries",Gambling_and_Bowling
"Amusement, gambling, and recreation industries",Other_Recreation_Services
Accommodation,Accomodation
Food services and drinking places,Food_Services_and_Drinking_Places
Other services,Other_Services_(Except_Public_Administration)
