type,year,cw_file
sp,2021,21sp.csv
sp,2020,21sp.csv
sp,2019,21sp.csv
sp,2018,21sp.csv
sp,2017,17sp.csv
sp,2016,16sp.csv
sp,2015,16sp.csv
sp,2014,16sp.csv
sp,2013,16sp.csv
sp,2012,16sp.csv
sp,2011,11sp.csv
sp,2010,11sp.csv
sp,2009,11sp.csv
sp,2008,08sp.csv
sp,2007,08sp.csv
sp,2006,06sp.csv
sp,2005,06sp.csv
sp,2004,06sp.csv
sp,2003,
sp,2002,
sp,2001,
sp,2000,
pa,2021,21pa.csv
pa,2020,21pa.csv
pa,2019,21pa.csv
pa,2018,21pa.csv
pa,2017,21pa.csv
pa,2016,21pa.csv
pa,2015,21pa.csv
pa,2014,14pa.csv
pa,2013,14pa.csv
pa,2012,12pa.csv
pa,2011,12pa.csv
pa,2010,12pa.csv
pa,2009,12pa.csv
pa,2008,08pa.csv
pa,2007,07pa.csv
pa,2006,06pa.csv
pa,2005,06pa.csv
pa,2004,06pa.csv
pa,2003,
pa,2002,
pa,2001,
pa,2000,
allcorp,2021,21allcorp.csv
allcorp,2020,21allcorp.csv
allcorp,2019,21allcorp.csv
allcorp,2018,21allcorp.csv
allcorp,2017,21allcorp.csv
allcorp,2016,21allcorp.csv
allcorp,2015,21allcorp.csv
allcorp,2014,14allcorp.csv
allcorp,2013,13allcorp.csv
allcorp,2012,12allcorp.csv
allcorp,2011,12allcorp.csv
allcorp,2010,12allcorp.csv
allcorp,2009,12allcorp.csv
allcorp,2008,12allcorp.csv
allcorp,2007,12allcorp.csv
allcorp,2006,12allcorp.csv
allcorp,2005,12allcorp.csv
allcorp,2004,
allcorp,2003,
allcorp,2002,
allcorp,2001,
allcorp,2000,
ccorp,2021,21ccorp.csv
ccorp,2020,21ccorp.csv
ccorp,2019,21ccorp.csv
ccorp,2018,18ccorp.csv
ccorp,2017,17ccorp.csv
ccorp,2016,16ccorp.csv
ccorp,2015,16ccorp.csv
ccorp,2014,16ccorp.csv
ccorp,2013,13ccorp.csv
ccorp,2012,13ccorp.csv
ccorp,2011,13ccorp.csv
ccorp,2010,13ccorp.csv
ccorp,2009,09ccorp.csv
ccorp,2008,08ccorp.csv
ccorp,2007,08ccorp.csv
ccorp,2006,08ccorp.csv
ccorp,2005,
ccorp,2004,
ccorp,2003,
ccorp,2002,
ccorp,2001,
ccorp,2000,
