industry,detailed_industry
Miscellaneous manufacturing,Medical_and_Dental_Supplies_Manufacturing
Miscellaneous manufacturing,Other_Miscellaneous_Manufacturing
Durable goods,Wholesale_Durable_Goods
Nondurable goods,Wholesale_Nondurable_Goods
Motor vehicle dealers and parts dealers,Motor_Vehicle_and_Parts_Dealers
Furniture and home furnishings stores,Other_Non_Gas_Stations_Retail
Electronics and appliance stores,Other_Non_Gas_Stations_Retail
Building material and garden equipment and supplies dealers,Other_Non_Gas_Stations_Retail
"Food, beverage and liquor stores",Food_and_Beverages_Stores
Health and personal care stores,Other_Non_Gas_Stations_Retail
Gasoline stations,Gas_Stations
Clothing and clothing accessories stores,Other_Non_Gas_Stations_Retail
"Sporting goods, hobby, book, and music stores",Other_Non_Gas_Stations_Retail
General merchandise stores,General_Merchandise_Stores
Miscellaneous store retailers,Other_Non_Gas_Stations_Retail
Nonstore retailers,Other_Non_Gas_Stations_Retail
"Air, rail, and water transportation",Air_Transportation
"Air, rail, and water transportation",Rail_Transportation
"Air, rail, and water transportation",Water_Transportation
Truck transportation,Truck_Transportation
Transit and ground passenger transportation,Transit_and_Ground_Passenger_Transportation
Pipeline transportation,Pipeline_Transportation
Other transportation and support activities,Other_Transportation_and_Support_Activities
Warehousing and storage,Warehousing_and_Storage
Publishing industries (except Internet),Publishing_Industries_(Except_Internet)
Motion picture and sound recording industries,Movie_Theaters
Motion picture and sound recording industries,Other_Motion_Picture_and_Sound_Recording
Broadcasting (except Internet),Broadcasting_(Except_Internet)_and_Telecommunications
"Telecommunications (including paging, cellular, satellite, cable, internet service providers, etc.)",Telephone_Communication
"Telecommunications (including paging, cellular, satellite, cable, internet service providers, etc.)",Cable_Television
"Telecommunications (including paging, cellular, satellite, cable, internet service providers, etc.)",Other_Telecommunication
Data processing services,Information_and_Data_Processing
Other information services,Information_and_Data_Processing
Credit intermediation,Depository_Credit_Intermediation
Credit intermediation,Other_Intermediation
Credit intermediation,Nondepository_Credit_Intermediation
"Securities, commodity contracts, other financial investments, and related activities","Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities"
Insurance carriers and related activities,Insurance_Carriers
Insurance carriers and related activities,Insurance_Agencies_and_Brokers_and_Related_Services
"Funds, trusts, and other financial vehicles","Funds,_Trusts,_and_Other_Financial_Vehicles_"
Real estate,Real_Estate
Rental and leasing services,Rental_and_Leasing_(Including_Nonfinancial_Intangibles)
Lessors of nonfinancial intangible assets (except copyrighted works),Rental_and_Leasing_(Including_Nonfinancial_Intangibles)
"Professional, scientific, and technical services",Legal_Services
"Professional, scientific, and technical services",Computer_Systems_Design_and_Related_Services
"Professional, scientific, and technical services","Other_Professional,_Scientific,_and_Technical_Services"
Management of companies (holding companies),Management_Of_Companies_and_Enterprises
Administrative and support services,Administrative_and_Support_Services
Waste management and remediation services,Waste_Management_and_Remediation_Services
Educational services,Educational_Services
Offices of health practitioners and outpatient care centers,Ambulatory_Health_Care_Services
Miscellaneous health care and social assistance,Social_Assistance
"Hospitals, nursing, and residential care facilities",Hospitals
"Hospitals, nursing, and residential care facilities",Nursing_and_Residential_Care_Facilities
"Other arts, entertainment, and recreation","Independent_Artists,_Writers,_and_Performers"
"Other arts, entertainment, and recreation","Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities"
"Amusement, gambling, and recreation industries",Amusement_Parks
"Amusement, gambling, and recreation industries",Gambling_and_Bowling
"Amusement, gambling, and recreation industries",Other_Recreation_Services
Accommodation,Accomodation
Food services and drinking places,Food_Services_and_Drinking_Places
Other services,Other_Services_(Except_Public_Administration)
