industry,detailed_industry
Furniture and home furnishing stores,Other_Non_Gas_Stations_Retail
Electronic and appliance stores,Other_Non_Gas_Stations_Retail
Building material and garden equipment and supplies dealers,Other_Non_Gas_Stations_Retail
Food and beverage stores,Food_and_Beverages_Stores
Health and personal care stores,Other_Non_Gas_Stations_Retail
Gasoline stations,Gas_Stations
Clothing and accessories stores,Other_Non_Gas_Stations_Retail
"Sporting goods, hobby, book, and music stores",Other_Non_Gas_Stations_Retail
General merchandise stores,General_Merchandise_Stores
Miscellaneous store retailers,Other_Non_Gas_Stations_Retail
Nonstore retailers,Other_Non_Gas_Stations_Retail
Air and rail transportation,Air_Transportation
Air and rail transportation,Rail_Transportation
Water transportation,Water_Transportation
"General freight trucking, local",Truck_Transportation
"General freight trucking, long distance and specialized freight trucking",Truck_Transportation
Urban transit,Transit_and_Ground_Passenger_Transportation
Interurban and rural bus transportation,Transit_and_Ground_Passenger_Transportation
Taxi and limousine service,Transit_and_Ground_Passenger_Transportation
"School, employee, and charter bus industry",Transit_and_Ground_Passenger_Transportation
Other transit and ground passenger transportation,Transit_and_Ground_Passenger_Transportation
Pipeline transportation,Pipeline_Transportation
Scenic and sightseeing transportation,Other_Transportation_and_Support_Activities
Support activities for transportation (including motor vehicle towing),Other_Transportation_and_Support_Activities
Couriers and messengers,Other_Transportation_and_Support_Activities
Warehousing and storage facilities,Warehousing_and_Storage
Publishing industries (except internet),Publishing_Industries_(Except_Internet)
Motion picture and sound recording,Movie_Theaters
Motion picture and sound recording,Other_Motion_Picture_and_Sound_Recording
Broadcasting (except internet) and telecommunications,Broadcasting_(Except_Internet)_and_Telecommunications
Broadcasting (except internet) and telecommunications,Telephone_Communication
Broadcasting (except internet) and telecommunications,Cable_Television
Broadcasting (except internet) and telecommunications,Other_Telecommunication
Internet publishing and broadcasting,Information_and_Data_Processing
"Internet service providers, web search portals, and data processing",Information_and_Data_Processing
Credit intermediation and related activities,Depository_Credit_Intermediation
Credit intermediation and related activities,Nondepository_Credit_Intermediation
Credit intermediation and related activities,Other_Intermediation
"Securities, commodity contracts, and other financial investments","Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities"
"Insurance agents, brokers, and related activities",Insurance_Carriers
Insurance agencies and brokerages,Insurance_Agencies_and_Brokers_and_Related_Services
Other insurance related activities,Insurance_Agencies_and_Brokers_and_Related_Services
Other insurance related activities,"Funds,_Trusts,_and_Other_Financial_Vehicles_"
Real estate,Real_Estate
Rental and leasing services,Rental_and_Leasing_(Including_Nonfinancial_Intangibles)
Legal services,Legal_Services
Offices of certified public accountants,"Other_Professional,_Scientific,_and_Technical_Services"
Other accounting services,"Other_Professional,_Scientific,_and_Technical_Services"
"Architectural, engineering, and related services","Other_Professional,_Scientific,_and_Technical_Services"
Specialized design services,"Other_Professional,_Scientific,_and_Technical_Services"
Computer systems design services,Computer_Systems_Design_and_Related_Services
"Other professional, scientific, and technical services","Other_Professional,_Scientific,_and_Technical_Services"
Administrative and support services,Management_Of_Companies_and_Enterprises
Administrative and support services,Administrative_and_Support_Services
Waste management and remediation services,Waste_Management_and_Remediation_Services
Educational services,Educational_Services
Ambulatory health care services,Ambulatory_Health_Care_Services
Hospitals,Hospitals
Home health care services,Nursing_and_Residential_Care_Facilities
Social assistance,Social_Assistance
Child day care services,Social_Assistance
"Performing arts, spectator sports, and related industries","Independent_Artists,_Writers,_and_Performers"
"Performing arts, spectator sports, and related industries","Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities"
"Museums, historical sites, and similar institutions","Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities"
"Amusement, gambling, and recreation industries",Amusement_Parks
"Amusement, gambling, and recreation industries",Gambling_and_Bowling
"Amusement, gambling, and recreation industries",Other_Recreation_Services
Accommodation,Accomodation
Food services and drinking places,Food_Services_and_Drinking_Places
Other services,Other_Services_(Except_Public_Administration)
